Year,Team,Conf,Round,Wins,Conf Tourney,Region,Seed,WinStreak,Last10,WinStreak_Avg,WinStreak_SD
2007,Creighton,MVC,1,22,1,Midwest,10,4,7,1.375,1.340475661845451
2007,Memphis,CUSA,4,30,1,Midwest,2,22,10,8.151515151515152,7.054425699285529
2007,North Texas,Sun Belt,1,23,1,Midwest,15,5,7,1.4242424242424243,1.326428401711472
2008,North Carolina,ACC,5,32,1,West,1,11,10,7.147058823529412,5.122799975089315
2008,Mount St Marys,NEC,1,19,1,West,16,5,8,1.46875,1.7497209598961774
2008,Indiana,Big Ten,1,25,0,West,8,0,6,3.6875,3.7867986149252775
2008,Arkansas,SEC,2,22,0,West,9,0,5,1.606060606060606,1.6318681233740921
2008,Notre Dame,Big East,2,24,0,West,5,0,7,2.774193548387097,2.755752662474005
2008,George Mason,CAA,1,23,1,West,12,3,6,1.303030303030303,1.1930314960623956
2008,Washington State,Pac-10,3,24,0,West,4,0,7,3.84375,4.272801883717522
2008,Winthrop,Big South,1,22,1,West,13,3,8,1.4242424242424243,1.3932804766754727
2008,Oklahoma,Big 12,2,22,0,West,6,0,7,1.4848484848484849,1.3952562949359197
2008,Saint Josephs,A-10,1,21,0,West,11,0,5,1.5151515151515151,1.6899204234665073
2008,Louisville,Big East,4,24,0,West,3,0,8,2.40625,2.3960824145884465
2008,Boise State,WAC,1,25,1,West,14,3,8,1.878787878787879,1.5908369392008106
2008,Butler,Horizon,2,29,1,West,7,4,9,3.96875,2.6158695375534307
2008,South Alabama,Sun Belt,1,26,0,West,10,0,8,3.84375,3.7840898426834424
2008,Tennessee,SEC,3,29,0,West,2,0,8,4.121212121212121,3.0920972166846297
2008,American,Patriot,1,21,1,West,15,4,9,1.4375,1.5599979967935855
2008,Ucla,Pac-10,5,31,1,Midwest,1,10,10,4.205882352941177,2.7841928998914978
2008,Mississippi Valley State,SWAC,1,17,1,Midwest,16,9,9,1.875,2.55868618630734
2008,Brigham Young,MWC,1,27,0,Midwest,8,0,8,2.7058823529411766,2.4438327150401165
2008,Texas Am,Big 12,2,24,0,Midwest,9,0,4,2.4705882352941178,2.4160650326956294
2008,Drake,MVC,1,28,1,Midwest,5,4,7,7.625,6.808771915698161
2008,Western Kentucky,Sun Belt,3,27,1,Midwest,12,6,9,3.121212121212121,3.042701906923932
2008,Connecticut,Big East,1,24,0,Midwest,4,0,7,2.625,2.7698149757700423
2008,San Diego,WCC,2,21,1,Midwest,13,5,8,1.6176470588235294,1.9099538935357907
2008,Purdue,Big Ten,2,24,0,Midwest,6,0,7,2.75,3.1024184114977142
2008,Baylor,Big 12,1,21,0,Midwest,11,0,4,1.903225806451613,1.8378605849347247
2008,Xavier,A-10,4,27,0,Midwest,3,0,8,3.606060606060606,3.084068485064709
2008,Georgia,SEC,1,17,1,Midwest,14,4,5,0.9393939393939394,1.1265230482085518
2008,West Virginia,Big East,3,24,0,Midwest,7,0,7,1.9705882352941178,2.0932003939597745
2008,Arizona,Pac-10,1,19,0,Midwest,10,0,4,1.2424242424242424,1.576922646213053
2008,Duke,ACC,2,27,0,Midwest,2,0,6,4.5,3.61420807370024
2008,Belmont,A-Sun,1,25,1,Midwest,15,13,10,3.303030303030303,3.857184154942869
2008,Kansas,Big 12,7,31,1,East,1,7,8,7.205882352941177,6.086530025463199
2008,Portland State,Big Sky,1,23,1,East,16,5,9,2.3125,2.4677608777999542
2008,Nevada Las Vegas,MWC,2,26,1,East,8,4,8,1.878787878787879,1.4721160971504388
2008,Kent State,MAC,1,28,1,East,9,5,9,2.5294117647058822,1.9286583895005882
2008,Clemson,ACC,1,24,0,East,5,0,7,2.3333333333333335,2.7265992434429074
2008,Villanova,Big East,3,20,0,East,12,0,6,1.5,1.620185174601965
2008,Vanderbilt,SEC,1,26,0,East,4,0,7,5.0606060606060606,4.904786740116625
2008,Siena,MAAC,2,22,1,East,13,6,8,1.65625,1.6318964236433635
2008,Southern California,Pac-10,1,21,0,East,6,0,6,1.625,1.6153559979150107
2008,Kansas State,Big 12,2,20,0,East,11,0,4,1.5161290322580645,1.6038455347943292
2008,Wisconsin,Big Ten,3,29,1,East,3,10,10,4.0,3.0748244591432297
2008,Cal State Fullerton,Big West,1,24,1,East,14,6,9,1.8125,1.589762167747113
2008,Gonzaga,WCC,1,25,0,East,7,0,8,2.46875,2.193518506304426
2008,Davidson,Southern,4,26,1,East,10,22,10,8.0625,7.335434121440939
2008,Georgetown,Big East,2,27,0,East,2,0,8,3.15625,2.319878431620933
2008,Maryland Baltimore County,AEC,1,24,1,East,15,3,9,2.25,2.384848003542364
2008,Memphis,CUSA,6,33,1,South,1,7,9,11.147058823529411,7.889428343344979
2008,Texas Arlington,Southland,1,21,1,South,16,3,5,1.875,2.1469455046647083
2008,Mississippi State,SEC,2,22,0,South,8,0,7,2.09375,2.428468846310366
2008,Oregon,Pac-10,1,18,0,South,9,0,5,1.1935483870967742,1.280608596211562
2008,Michigan State,Big Ten,3,25,0,South,5,0,5,2.878787878787879,3.082281482412464
2008,Temple,A-10,1,21,1,South,12,7,8,1.5151515151515151,1.7773185816503247
2008,Pittsburgh,Big East,2,26,1,South,4,5,7,2.742857142857143,3.0457732505683266
2008,Oral Roberts,Summit,1,24,1,South,13,3,7,2.71875,3.114827192237155
2008,Marquette,Big East,2,24,0,South,6,0,7,2.0,1.8909673650694174
2008,Kentucky,SEC,1,18,0,South,11,0,7,1.2666666666666666,1.4126413400278062
2008,Stanford,Pac-10,3,26,0,South,3,0,6,2.484848484848485,2.105133870661625
2008,Cornell,Ivy,1,22,0,South,14,16,10,5.407407407407407,5.187301155558991
2008,Miami Fl,ACC,2,22,0,South,7,0,7,3.0,3.553167600887974
2008,Saint Marys Ca,WCC,1,25,0,South,10,0,7,2.6129032258064515,2.058458855941138
2008,Texas,Big 12,4,28,0,South,2,0,8,3.5588235294117645,3.107781282244601
2008,Austin Peay,OVC,1,24,1,South,15,6,9,2.0,1.8942637868358374
2009,Pittsburgh,Big East,4,28,0,South,1,0,8,5.40625,4.742489951228152
2009,East Tennessee State,A-Sun,1,23,1,South,16,5,6,1.6363636363636365,1.5338243314962137
2009,Oklahoma State,Big 12,2,22,0,South,8,0,8,1.9696969696969697,2.066835503633931
2009,Tennessee,SEC,1,21,0,South,9,0,6,1.2424242424242424,1.2799219443601744
2009,Florida State,ACC,1,25,0,South,5,0,6,1.7941176470588236,1.7620077412647248
2009,Wisconsin,Big Ten,2,19,0,South,12,0,7,1.3548387096774193,1.4266673798384504
2009,Xavier,A-10,3,25,0,South,4,0,5,3.71875,3.374855320973034
2009,Portland State,Big Sky,1,23,1,South,13,6,8,1.71875,1.5659337270459437
2009,Ucla,Pac-10,2,25,0,South,6,0,6,2.6666666666666665,2.7376905403915717
2009,Virginia Commonwealth,CAA,1,24,1,South,11,5,8,1.9090909090909092,1.896785739942888
2009,Villanova,Big East,5,26,0,South,3,0,7,2.4545454545454546,2.175495890399705
2009,American,Patriot,1,24,1,South,14,13,10,3.967741935483871,3.822546617515622
2009,Texas,Big 12,2,22,0,South,7,0,6,1.4242424242424243,1.498085708401003
2009,Minnesota,Big Ten,1,22,0,South,10,0,4,2.96875,3.566198737801919
2009,Duke,ACC,3,28,1,South,2,3,8,3.3529411764705883,2.858242497236786
2009,Binghamton,AEC,1,23,1,South,15,11,10,3.129032258064516,3.1799973167352342
2009,Connecticut,Big East,5,27,0,East,1,0,7,5.258064516129032,3.9428804104767803
2009,Chattanooga,Southern,1,18,1,East,16,3,7,1.1470588235294117,1.396052268977155
2009,Brigham Young,MWC,1,25,0,East,8,0,8,2.90625,2.742710509240813
2009,Texas Am,Big 12,2,23,0,East,9,0,6,2.8125,2.8442650632456883
2009,Purdue,Big Ten,3,25,1,East,5,3,7,2.176470588235294,1.886025828456635
2009,Northern Iowa,MVC,1,23,1,East,12,5,6,2.696969696969697,3.1669203900094307
2009,Washington,Pac-10,2,25,0,East,4,0,8,2.606060606060606,2.473365930595377
2009,Mississippi State,SEC,1,23,1,East,13,6,7,1.6857142857142857,1.785199925921521
2009,Marquette,Big East,2,24,0,East,6,0,4,3.212121212121212,3.4532161184995647
2009,Utah State,WAC,1,30,1,East,11,4,7,6.382352941176471,5.871239501774495
2009,Missouri,Big 12,4,28,1,East,3,3,8,2.5294117647058822,2.0470250166241546
2009,Cornell,Ivy,1,21,0,East,14,2,7,2.1,2.481263119192857
2009,California,Pac-10,1,22,0,East,7,0,6,2.3125,2.517904634810461
2009,Maryland,ACC,2,20,0,East,10,0,5,1.4848484848484849,1.8442574611761138
2009,Memphis,CUSA,3,31,1,East,2,25,10,9.911764705882353,8.074533849443766
2009,Cal State Northridge,Big West,1,17,1,East,15,2,7,1.2666666666666666,1.5691469727919758
2009,Louisville,Big East,4,28,1,West,1,10,10,3.6363636363636362,2.9931050242098776
2009,Morehead State,OVC,1,20,1,West,16,3,6,1.1764705882352942,1.2478354962115543
2009,Ohio State,Big Ten,1,22,0,West,8,0,5,2.28125,2.465187302721641
2009,Siena,MAAC,2,26,1,West,9,4,8,2.4242424242424243,2.0893714152652367
2009,Utah,MWC,1,24,1,West,5,4,8,2.272727272727273,2.1640692207705605
2009,Arizona,Pac-10,3,19,0,West,12,0,5,1.53125,1.870567677872148
2009,Wake Forest,ACC,1,24,0,West,4,0,7,5.033333333333333,5.075978285567774
2009,Cleveland State,Horizon,2,25,1,West,13,4,8,2.0285714285714285,1.9046666642855952
2009,West Virginia,Big East,1,23,0,West,6,0,7,1.411764705882353,1.3529411764705883
2009,Dayton,A-10,2,26,0,West,11,0,5,2.787878787878788,2.3964313842142477
2009,Kansas,Big 12,3,25,0,West,3,0,7,2.34375,2.1155580676266013
2009,North Dakota State,Summit,1,26,1,West,14,7,9,3.28125,3.1547025909743063
2009,Boston College,ACC,1,22,0,West,7,0,5,2.4545454545454546,2.8186705343596326
2009,Southern California,Pac-10,2,21,1,West,10,5,6,1.4242424242424243,1.498085708401003
2009,Michigan State,Big Ten,6,26,0,West,2,0,8,3.1875,3.06632414300902
2009,Robert Morris,NEC,1,24,1,West,15,5,8,2.2941176470588234,2.4438327150401165
2009,North Carolina,ACC,7,28,0,Midwest,1,0,8,4.90625,3.810834677272159
2009,Radford,Big South,1,21,1,Midwest,16,3,9,2.21875,2.521586492171149
2009,Louisiana State,SEC,2,26,0,Midwest,8,0,7,3.272727272727273,2.915712161799981
2009,Butler,Horizon,1,26,0,Midwest,9,0,7,3.806451612903226,3.1358422734231577
2009,Illinois,Big Ten,1,24,0,Midwest,5,0,6,2.0,1.9847906537954927
2009,Western Kentucky,Sun Belt,2,24,1,Midwest,12,7,9,2.03125,1.8453382989305782
2009,Gonzaga,WCC,3,26,1,Midwest,4,9,9,3.838709677419355,2.8635278736996317
2009,Akron,MAC,1,23,1,Midwest,13,4,7,1.5142857142857142,1.778786561859815
2009,Arizona State,Pac-10,2,24,0,Midwest,6,0,6,2.212121212121212,2.1427478217774167
2009,Temple,A-10,1,22,1,Midwest,11,5,8,1.5454545454545454,1.5392030423273084
2009,Syracuse,Big East,3,26,0,Midwest,3,0,8,2.9714285714285715,2.7201440538084354
2009,Stephen F Austin,Southland,1,24,1,Midwest,14,8,9,2.4838709677419355,2.226974915366865
2009,Clemson,ACC,1,23,0,Midwest,7,0,4,4.741935483870968,5.142910823431916
2009,Michigan,Big Ten,2,20,0,Midwest,10,0,5,1.1818181818181819,1.2899270699268341
2009,Oklahoma,Big 12,4,27,0,Midwest,2,0,6,5.34375,4.172898984818588
2009,Morgan State,MEAC,1,23,1,Midwest,15,5,9,2.0,2.155703788448082
2010,Kentucky,SEC,4,32,1,South,1,5,9,7.088235294117647,5.479199421227325
2010,East Tennessee State,A-Sun,1,20,1,South,16,6,8,1.3235294117647058,1.5476849549321023
2010,Texas,Big 12,1,24,0,South,8,0,5,4.878787878787879,5.53094641338459
2010,Wake Forest,ACC,2,19,0,South,9,0,5,1.8275862068965518,1.9488098139234196
2010,Temple,A-10,1,29,1,South,5,10,10,3.3529411764705883,2.7319714164077933
2010,Cornell,Ivy,3,27,0,South,12,7,9,3.935483870967742,2.8617103375763713
2010,Wisconsin,Big Ten,2,23,0,South,4,0,7,1.7096774193548387,1.5490589940055444
2010,Wofford,Southern,1,26,1,South,13,13,10,3.6470588235294117,3.764246295476743
2010,Marquette,Big East,1,22,0,South,6,0,7,1.6666666666666667,1.7174093715520913
2010,Washington,Pac-10,3,24,1,South,11,7,8,2.0606060606060606,1.9217951509949003
2010,New Mexico,MWC,2,29,0,South,3,0,9,6.090909090909091,4.508333269682202
2010,Montana,Big Sky,1,22,1,South,14,3,8,1.5161290322580645,1.3882215994419362
2010,Clemson,ACC,1,21,0,South,7,0,6,1.6129032258064515,1.5999479700177088
2010,Missouri,Big 12,2,22,0,South,10,0,6,2.125,2.45903944661325
2010,West Virginia,Big East,5,27,1,South,2,6,8,3.4242424242424243,3.0553510241254487
2010,Morgan State,MEAC,1,27,1,South,15,7,8,2.9722222222222223,3.122375441080353
2010,Syracuse,Big East,3,28,0,East,1,0,7,5.21875,3.8869523328052273
2010,Vermont,AEC,1,25,1,East,16,4,9,2.4705882352941178,2.185988726595535
2010,Gonzaga,WCC,2,26,0,East,8,0,8,2.78125,2.3944515943113154
2010,Florida State,ACC,1,22,0,East,9,0,6,1.7419354838709677,1.795473554848483
2010,Butler,Horizon,6,28,1,East,5,20,10,6.96875,6.4734282600103015
2010,Texas El Paso,CUSA,1,26,0,East,12,0,9,5.0625,4.879405061070458
2010,Vanderbilt,SEC,1,24,0,East,4,0,7,2.5625,2.737899514226189
2010,Murray State,OVC,2,30,1,East,13,4,9,5.882352941176471,4.980932501180365
2010,Xavier,A-10,3,24,0,East,6,0,8,2.125,2.1028254801575903
2010,Minnesota,Big Ten,1,21,0,East,11,0,7,1.6176470588235294,1.8789030886687577
2010,Pittsburgh,Big East,2,24,0,East,3,0,8,2.3125,2.1423920626253263
2010,Oakland,Summit,1,26,1,East,14,11,10,3.5,3.3715941420674476
2010,Brigham Young,MWC,2,29,0,East,7,0,7,4.529411764705882,4.360486306646293
2010,Florida,SEC,1,21,0,East,10,0,4,1.878787878787879,2.1427478217774167
2010,Kansas State,Big 12,4,26,0,East,2,0,7,3.0,2.8176930172383825
2010,North Texas,Sun Belt,1,24,1,East,15,11,10,2.6875,3.1168644099479206
2010,Kansas,Big 12,2,32,1,West,1,5,9,6.205882352941177,4.128661738489248
2010,Lehigh,Patriot,1,22,1,West,16,5,8,1.71875,1.6814126315393256
2010,Nevada Las Vegas,MWC,1,25,0,West,8,0,6,2.484848484848485,2.0761446221770474
2010,Northern Iowa,MVC,3,28,1,West,9,4,8,4.84375,4.388261151925669
2010,Michigan State,Big Ten,5,24,0,West,5,0,5,2.65625,2.7341517766027548
2010,New Mexico State,WAC,1,22,1,West,12,3,7,1.5151515151515151,1.4589579536012995
2010,Maryland,ACC,2,23,0,West,4,0,8,1.967741935483871,1.8401239608969884
2010,Houston,CUSA,1,19,1,West,13,4,6,0.9117647058823529,1.0394468851218996
2010,Tennessee,SEC,4,25,0,West,6,0,7,2.1818181818181817,1.8822060791841861
2010,San Diego State,MWC,1,25,1,West,11,5,9,1.8181818181818181,1.526623238522424
2010,Georgetown,Big East,1,23,0,West,3,0,5,1.9090909090909092,2.094200308263151
2010,Ohio,MAC,2,21,1,West,14,5,7,1.2285714285714286,1.354056641265461
2010,Oklahoma State,Big 12,1,22,0,West,7,0,6,1.71875,1.6814126315393256
