Team,Conf,W,AdjO,AdjD,AdjT,Luck,OppO,OppD,Year
Pittsburgh,ACC,25,115.1,96.5,64.0,-0.047,107.1,100.8,2014
Ohio St.,B10,25,107.1,89.9,65.4,-0.028,108.2,101.6,2014
Gonzaga,WCC,28,111.5,93.7,66.1,-0.006,107.9,104.6,2014
San Diego St.,MWC,29,108.0,90.9,64.1,0.078,106.6,103.3,2014
Oklahoma St.,B12,21,114.0,96.0,68.5,-0.101,108.3,101.5,2014
Iowa St.,B12,26,115.9,97.8,71.7,0.072,110.2,101.4,2014
Cincinnati,Amer,27,107.9,91.4,63.2,0.05,106.1,102.8,2014
Connecticut,Amer,26,109.5,92.9,65.0,0.059,107.5,101.4,2014
North Carolina,ACC,23,111.0,94.5,70.9,0.006,109.2,102.0,2014
New Mexico,MWC,27,112.7,96.5,66.1,0.044,106.7,103.0,2014
Oklahoma,B12,23,116.9,100.3,71.3,-0.012,108.9,101.2,2014
Oregon,P12,23,117.1,100.6,68.8,-0.032,107.6,101.6,2014
Baylor,B12,24,118.6,102.0,62.6,0.012,109.0,100.9,2014
Harvard,Ivy,26,111.2,96.3,65.1,0.024,103.3,104.5,2014
Saint Louis,A10,26,104.6,91.2,67.2,0.024,106.1,102.3,2014
Stanford,P12,21,112.5,98.7,66.5,0.006,108.4,100.9,2014
Texas,B12,23,109.5,96.3,68.2,0.086,109.2,102.1,2014
Providence,BE,23,114.3,100.6,64.9,0.068,108.6,100.8,2014
Kansas St.,B12,20,108.0,95.5,65.4,0.012,109.0,102.6,2014
Memphis,Amer,23,110.4,97.8,69.4,0.039,106.9,101.7,2014
George Washington,A10,24,109.4,96.8,67.3,0.07,106.4,102.0,2014
Arizona St.,P12,21,108.3,96.0,69.3,0.019,107.6,101.4,2014
Nebraska,B10,19,108.2,96.0,66.2,0.052,106.8,99.8,2014
Saint Joseph's,A10,24,110.3,98.1,65.7,0.091,106.7,101.6,2014
BYU,WCC,23,113.7,101.2,72.2,-0.007,108.4,102.7,2014
Massachusetts,A10,24,108.4,96.8,71.6,0.053,107.1,100.5,2014
Dayton,A10,23,113.4,101.4,65.2,0.019,106.2,102.4,2014
North Dakota St.,Sum,25,114.7,103.2,64.2,0.071,105.9,105.3,2014
Stephen F. Austin,Slnd,31,111.6,100.8,63.6,0.051,101.5,108.9,2014
Colorado,P12,23,105.9,96.2,66.4,0.11,108.2,101.0,2014
North Carolina St.,ACC,21,113.6,103.4,66.1,0.081,107.6,101.1,2014
Manhattan,MAAC,25,106.0,96.7,69.5,-0.003,105.0,105.4,2014
Tulsa,CUSA,21,105.3,96.0,68.5,-0.025,104.4,103.6,2014
New Mexico St.,WAC,26,112.1,102.7,66.5,-0.017,103.3,105.8,2014
North Carolina Central,MEAC,28,107.5,99.0,64.3,0.037,98.3,107.0,2014
American,Pat,20,103.2,97.3,61.4,-0.032,103.1,105.4,2014
Mercer,ASun,26,107.5,101.6,65.0,0.007,102.7,107.9,2014
Delaware,CAA,25,110.9,105.6,72.1,0.059,104.8,105.3,2014
Western Michigan,MAC,23,106.7,102.3,66.9,0.086,103.3,105.4,2014
Louisiana Lafayette,SB,23,109.9,105.7,69.9,0.046,104.5,104.6,2014
Eastern Kentucky,OVC,24,111.3,108.3,66.1,0.041,103.7,108.4,2014
Milwaukee,Horz,21,104.5,104.9,67.5,0.12,104.0,103.7,2014
Weber St.,BSky,19,105.6,106.4,64.4,-0.001,103.4,109.3,2014
Cal Poly,BW,13,103.2,104.3,60.2,-0.059,107.0,104.5,2014
Albany,AE,18,101.9,103.4,63.2,-0.002,101.0,106.0,2014
Wofford,SC,20,100.9,102.8,62.0,0.024,103.2,108.5,2014
Coastal Carolina,BSth,21,97.3,102.5,67.2,0.042,101.7,109.9,2014
Kentucky,SEC,34,119.7,85.8,63.4,0.055,105.3,99.1,2015
Arizona,P12,31,116.0,86.4,66.7,-0.028,105.1,99.6,2015
Wisconsin,B10,31,124.7,94.3,58.7,0.009,106.0,98.4,2015
Virginia,ACC,29,112.2,85.4,58.2,0.032,105.6,99.0,2015
Villanova,BE,32,120.8,92.2,64.5,0.044,105.1,98.5,2015
Gonzaga,WCC,32,119.4,93.4,65.1,0.013,104.7,101.3,2015
Duke,ACC,29,122.0,96.1,66.2,0.067,107.1,99.2,2015
Utah,P12,24,113.0,90.6,61.2,-0.056,105.5,99.6,2015
Oklahoma,B12,22,109.3,88.9,67.6,-0.046,107.9,98.3,2015
Notre Dame,ACC,29,122.2,99.7,64.1,0.064,104.3,100.6,2015
Kansas,B12,26,110.8,90.5,67.4,0.079,108.5,96.4,2015
Northern Iowa,MVC,30,113.8,93.2,58.5,0.01,102.0,101.6,2015
Iowa St.,B12,25,118.9,97.7,69.6,0.023,106.4,97.5,2015
Wichita St.,MVC,28,113.0,92.9,62.1,0.018,102.0,100.4,2015
Baylor,B12,24,114.8,94.5,62.2,-0.018,106.4,97.4,2015
North Carolina,ACC,24,115.3,95.0,70.0,-0.034,108.1,97.5,2015
Michigan St.,B10,23,114.1,96.1,63.7,-0.053,107.1,99.9,2015
Louisville,ACC,24,105.9,89.4,65.5,0.027,106.2,99.2,2015
SMU,Amer,27,112.3,94.9,63.8,0.014,103.3,100.5,2015
Texas,B12,20,110.3,93.3,62.3,-0.071,106.2,98.0,2015
Ohio St.,B10,23,111.6,94.7,66.4,-0.051,105.1,100.7,2015
Georgetown,BE,21,110.3,93.7,64.4,-0.002,107.6,99.0,2015
Butler,BE,22,107.5,91.7,63.8,-0.014,107.0,100.0,2015
Iowa,B10,21,111.1,94.9,64.3,-0.003,105.5,99.3,2015
West Virginia,B12,23,111.2,95.4,68.7,0.05,106.3,98.4,2015
Xavier,BE,21,111.9,96.1,65.7,-0.063,106.7,98.0,2015
San Diego St.,MWC,26,102.4,88.3,60.7,0.014,103.6,100.8,2015
Providence,BE,22,110.7,95.5,65.7,0.043,107.2,98.2,2015
Arkansas,SEC,26,113.0,97.7,70.0,0.047,105.2,99.8,2015
VCU,A10,26,108.1,93.6,67.1,0.059,105.8,99.5,2015
Davidson,A10,24,118.5,103.1,67.0,0.037,103.0,100.4,2015
Maryland,B10,27,108.5,94.6,64.4,0.131,105.6,100.1,2015
Cincinnati,Amer,22,106.7,93.3,60.0,-0.027,102.2,99.8,2015
Stephen F. Austin,Slnd,29,113.0,99.1,66.8,0.03,101.1,104.9,2015
Georgia,SEC,21,107.0,93.9,64.2,0.01,106.1,98.6,2015
Oklahoma St.,B12,18,109.4,96.2,63.3,-0.034,105.7,96.6,2015
North Carolina St.,ACC,20,111.5,98.2,64.4,-0.02,106.4,99.2,2015
Dayton,A10,25,107.1,94.7,64.0,0.022,102.8,100.5,2015
UCLA,P12,20,110.2,97.4,66.0,0.026,105.2,98.2,2015
St. John's,BE,21,108.1,95.7,67.1,0.058,106.4,99.6,2015
LSU,SEC,22,106.8,94.7,69.8,-0.027,103.8,99.7,2015
Mississippi,SEC,20,112.9,100.1,66.4,-0.056,104.5,98.7,2015
Oregon,P12,25,113.3,100.6,66.5,0.127,105.5,99.9,2015
Purdue,B10,21,108.5,97.1,64.5,0.01,106.2,100.5,2015
Indiana,B10,20,116.6,104.7,66.6,-0.032,104.9,100.2,2015
Buffalo,MAC,23,109.8,98.5,69.3,0.011,104.6,101.9,2015
Valparaiso,Horz,28,103.8,94.3,62.8,0.07,102.0,104.3,2015
Georgia St.,SB,24,108.4,99.2,63.3,-0.008,100.0,101.9,2015
Harvard,Ivy,22,102.0,94.5,61.5,0.114,102.3,102.3,2015
New Mexico St.,WAC,23,104.1,97.9,63.7,-0.051,99.3,104.9,2015
Wofford,SC,28,103.3,97.5,61.5,0.141,102.3,105.5,2015
UC Irvine,BW,21,103.9,98.3,63.7,-0.007,102.6,101.7,2015
Wyoming,MWC,25,101.8,97.0,59.2,0.084,100.8,102.4,2015
Northeastern,CAA,23,106.0,102.4,63.7,0.037,102.1,103.5,2015
UAB,CUSA,19,103.8,100.3,65.0,0.011,101.5,101.5,2015
Albany,AE,24,104.2,101.7,61.3,0.06,98.4,103.9,2015
Eastern Washington,BSky,26,110.0,107.7,68.8,0.074,102.4,105.9,2015
