Feature,Importance Mean
Seed,0.012117132905289797
AdjEM,0.008887735435398256
Conf_SEC,0.004116998536915081
RankTempo,0.0032092581121321837
RankOff_2,0.0027833301112885132
OE,0.002681551851275834
DE,0.002571551634842826
Def_3,0.0025581090342424216
S16_Actual_6,0.0024175874150870543
Off_2,0.0020814732755818767
Conf_Big East,0.002066228752059575
S16_Actual_12,0.0019406488672108447
E8_Actual_Full,0.0018527225844977124
F4_Actual_6,0.0016892995782268954
S16_Actual_Full,0.0014083438559903813
Region_East,0.0013879249305481366
Conf_Pac-12,0.0013076954122074374
Tempo,0.0011409031739075515
E8_Actual_6,0.001020691381280639
Conf Tourney,0.0009515740074503912
RankDef_2,0.000939441943712824
Winner_Actual_12,0.0009323132389119673
Conf_WCC,0.0008916411147330911
RankDE,0.0008049282861386361
F4_Actual_Full,0.0008019449606132728
F4_Actual_12,0.0008005917163252565
AdjTempo,0.0006690942865268948
RankDef_3,0.0005977267319780421
E8_Actual_12,0.00048637020493783685
Region_South,0.00047585594045951253
RankAdjTempo,0.00042058954563599816
Conf_Big Ten,0.0003905012662001292
AdjDE,0.00023275957879748067
Winner_Actual_6,0.0002151383506821053
Winner_Actual_Full,0.00021495585049723375
Conf_Ivy,0.00012004637377038162
Conf_Horizon,0.00010770423559993802
Year,0.0
First_Year,0.0
Conf_MEAC,0.0
Conf_Mid-Cont,0.0
Conf_Southland,0.0
Conf_Pac-10,0.0
Conf_Patriot,-1.4747885837274045e-08
R32_Actual_6,-3.6662978809831603e-07
Conf_A-Sun,-1.2989325281763665e-05
Conf_Big West,-1.3086382596887436e-05
Conf_SWAC,-1.684703548822858e-05
Conf_CUSA,-2.102984086521209e-05
Def_2,-2.9308660660120057e-05
Conf_Sun Belt,-3.1476304356916895e-05
Conf_NEC,-3.594760401564423e-05
Conf_AEC,-3.687898650362314e-05
Conf_MAC,-4.989557219919033e-05
Conf_Southern,-5.424334144268239e-05
Conf_OVC,-7.035572563709181e-05
Conf_CAA,-9.473138579985163e-05
Conf_MAAC,-9.536242708834769e-05
Conf_Big Sky,-0.00010618160527646692
Conf_MWC,-0.00012272853417808705
Conf_Summit,-0.00013584393870366972
Conf_WAC,-0.000175904195244036
Conf_Big South,-0.00019315648312495797
RankOE,-0.00032179925026557974
R32_Actual_12,-0.0003871040775464113
Conf_MVC,-0.0004198875525500534
NCG_Actual_Full,-0.0004865436565106243
NCG_Actual_6,-0.0005790873589797996
Def_1,-0.0005848767485805087
Conf_AAC,-0.0006349883714725779
RankAdjDE,-0.0007207740337666907
R32_Actual_Full,-0.0008337400521453605
Conf_A-10,-0.0008422992042424557
NCG_Actual_12,-0.0009292906297147693
Conf_Big 12,-0.0010757901265280798
RankOff_1,-0.00149706864955208
AdjOE,-0.0015434969092881817
RankAdjEM,-0.0015469531259737726
RankDef_1,-0.0015513150998618715
Wins,-0.0016511278761164889
Off_1,-0.0016815198182480785
Region_Midwest,-0.0016831830543486584
Conf_ACC,-0.0017589434252326703
RankOff_3,-0.002446982407561875
RankAdjOE,-0.0027996477888665543
Region_West,-0.003137961403365699
Off_3,-0.004181858065303879
