Feature,Importance Mean
Conf_WCC,0.004753169609284814
Tempo,0.004730002772229001
Conf_ACC,0.004455643412914383
RankTempo,0.004316318111402821
E8_Actual_6,0.003936823328786645
F4_Actual_6,0.002222355451688924
Region_Midwest,0.0019992061841447016
F4_Actual_12,0.0019252740479574469
NCG_Actual_12,0.001913944834567081
AdjTempo,0.0016641193824210802
RankAdjTempo,0.001620676419917124
F4_Actual_Full,0.0015565365588964901
AdjOE,0.0014072894355193094
Winner_Actual_Full,0.0013696127875082065
Winner_Actual_6,0.0012380593809005504
NCG_Actual_Full,0.001217566297214359
NCG_Actual_6,0.001216395857977765
S16_Actual_12,0.0011806845813664183
E8_Actual_12,0.0009475702422670304
Winner_Actual_12,0.0008655313781503207
AdjEM,0.0007896058921483163
S16_Actual_Full,0.0007828982635581902
RankAdjOE,0.0007361975014762482
RankAdjEM,0.0006431934715086618
Seed,0.0004992365690534903
RankAdjDE,0.0004428160148874136
Off_3,0.0004239175902108748
S16_Actual_6,0.00041202696166624643
Conf_Big Ten,0.00035300595628079455
Def_1,0.00034175612032394013
RankOff_3,0.0002617364105237232
Conf_Big East,0.00024346698240302513
Off_2,0.00021400683540542454
RankDef_2,0.00018943334122755302
E8_Actual_Full,0.00016640276709613543
RankDef_3,0.00014588103022239335
RankOff_2,0.0001457915365438217
Conf_Big 12,0.00014049196740871652
OE,9.300175717086743e-05
Conf_Pac-12,6.27920812465808e-05
Conf_CUSA,4.4546841349701256e-05
RankDE,1.8184365160594742e-05
Off_1,1.5115068591902217e-05
Def_3,1.3279873861007288e-05
Region_East,1.309720867013399e-05
R32_Actual_Full,1.1887526923359242e-05
Conf_Patriot,8.436563674317117e-06
Conf_SWAC,5.87247198524498e-06
Conf_MAAC,4.699409021358802e-06
Conf_AEC,3.0277826294760474e-06
Conf_Ivy,2.5645773390059466e-06
Conf_WAC,2.286729626015428e-06
Conf_NEC,2.246255640256014e-06
Conf_Big South,1.9048645400026979e-06
Conf_Horizon,2.57904455492914e-07
Conf_MVC,2.486380692927337e-07
Conf_MEAC,0.0
Conf_Pac-10,0.0
Conf_Mid-Cont,0.0
Year,0.0
First_Year,0.0
Conf_Southland,0.0
Conf_OVC,-6.520136308912038e-07
Conf_Big Sky,-6.602934998088498e-07
Conf_Sun Belt,-9.215642527084754e-07
Conf_Big West,-9.752761639194446e-07
Conf_Summit,-2.1622329031912095e-06
Conf_A-Sun,-4.7944629548847535e-06
Conf_Southern,-6.160094852347715e-06
Conf_CAA,-7.525529735921705e-06
Conf_MAC,-8.54275164901254e-06
Conf_AAC,-1.1832136754900638e-05
Conf_MWC,-1.6569574350802832e-05
Conf_A-10,-2.6016789735854948e-05
R32_Actual_6,-0.00010543574060117446
RankOE,-0.0001249357952918623
RankOff_1,-0.00016358411717705152
AdjDE,-0.00021677360300106842
DE,-0.00028632990371089723
RankDef_1,-0.00038414805194552997
R32_Actual_12,-0.0003875834307242951
Region_South,-0.0004183152327536105
Region_West,-0.00045599675898305394
Def_2,-0.0004732328104690628
Conf_SEC,-0.0009905423731452416
Conf Tourney,-0.0011530709923198307
Wins,-0.0021199660937404243
