Feature,Importance Mean
RankDef_3,0.0033953423445683088
Conf_ACC,0.002385384044123015
RankTempo,0.0019207222386183906
Conf_Horizon,0.0015088060724910383
S16_Actual_Full,0.0012728452564541482
Region_Midwest,0.0010579572169944012
RankDef_2,0.0009947215873338637
AdjTempo,0.0009305335419224902
R32_Actual_6,0.0008754632144602653
RankAdjTempo,0.0007271802216798424
F4_Actual_Full,0.000724754956444021
RankOff_3,0.0006305896785033752
Off_2,0.0006246297845066046
RankDef_1,0.0005260555881023957
Conf_Big Ten,0.00035924289285450156
Conf_MVC,0.0003412817564050512
Conf_CAA,0.0003274274669231825
Winner_Actual_Full,0.00029926844331001803
F4_Actual_6,0.00023056705733229835
S16_Actual_12,0.00018207709578992425
RankOff_2,0.00013810787810770642
Region_West,7.630776625666774e-05
Conf_Pac-12,5.6289430964444194e-05
Year,0.0
First_Year,0.0
Conf_Southland,0.0
Conf_Pac-10,0.0
Conf_Mid-Cont,0.0
Conf_MEAC,0.0
Off_3,-9.35706291287204e-06
Conf_MAC,-3.569359385194621e-05
Conf_Patriot,-4.72146448429539e-05
Conf_CUSA,-7.463637353471886e-05
Conf_Big Sky,-8.428859937459218e-05
Conf_MAAC,-0.00011811076418271879
Conf_WAC,-0.00013470816102834467
Conf_Summit,-0.00013635816521053403
Conf_AEC,-0.00013715332808566323
Winner_Actual_12,-0.0001572748657109131
Conf_A-Sun,-0.00019232428468781703
Conf_Sun Belt,-0.0002098990961135442
Conf_Big West,-0.00021436013427801937
DE,-0.00026902629999203827
Conf_Southern,-0.0002691379292527965
Conf_SWAC,-0.00029453625039647555
Winner_Actual_6,-0.00029791549159267016
Conf_Big South,-0.0003266394853872709
Conf_MWC,-0.0003341877610624553
Conf_OVC,-0.00034384084704004183
Conf_AAC,-0.0003713150257441785
Tempo,-0.000379157433321875
Conf_NEC,-0.0003795185512781603
R32_Actual_Full,-0.00039419099251721294
Conf_Ivy,-0.0004053967269170601
Conf_Big East,-0.0004931839518276258
Conf_Big 12,-0.0009018510397739422
Def_3,-0.0009899585638399949
Conf_A-10,-0.0010323615340698373
NCG_Actual_6,-0.001252547943360552
Region_East,-0.0013591424895751047
NCG_Actual_12,-0.001380040297745158
Off_1,-0.0014827437464660215
RankOE,-0.0015190154492367549
Def_1,-0.0016618488500509943
Wins,-0.002010936453645451
RankAdjOE,-0.0020481644090803146
Def_2,-0.0022991759322706696
NCG_Actual_Full,-0.0025374203531393076
Conf_WCC,-0.0025673643419003656
R32_Actual_12,-0.0026105424575493075
E8_Actual_6,-0.003088247575258595
RankOff_1,-0.0032948909186920473
F4_Actual_12,-0.003603225928890704
AdjOE,-0.0036987685786149037
Conf Tourney,-0.003768924985277986
OE,-0.0038569268973011705
S16_Actual_6,-0.004359821578428611
RankDE,-0.0044593307082403085
Region_South,-0.004507863877138625
RankAdjDE,-0.0048006990062901805
E8_Actual_Full,-0.004919863759568318
E8_Actual_12,-0.006826747304625637
AdjDE,-0.007242712811444142
Conf_SEC,-0.00731986006405314
AdjEM,-0.007446108236070077
Seed,-0.008344335051613049
RankAdjEM,-0.009859643801914083
