Feature,Importance Mean
AdjEM,0.01233099273721781
Seed,0.009257962063747616
RankAdjEM,0.005334230983987113
RankAdjDE,0.003827724145965483
AdjDE,0.00298547232683529
S16_Actual_Full,0.0022663500924083074
S16_Actual_6,0.0021101619711760586
RankAdjOE,0.0014325660434082316
E8_Actual_6,0.0012545501130970262
E8_Actual_12,0.001242583308356729
S16_Actual_12,0.001239971612509832
E8_Actual_Full,0.0011967213269209562
OE,0.00107828712983929
F4_Actual_6,0.0008883993876239172
F4_Actual_Full,0.0008752802826486111
Conf_Pac-12,0.0008253660600201956
Conf_SEC,0.0008100118188102987
RankOE,0.0008028085349095602
F4_Actual_12,0.0007847494162688373
AdjOE,0.0007622394903623282
NCG_Actual_6,0.0007468260856804753
Conf_Big Ten,0.0007015542008636979
RankDE,0.0006615347546072633
Conf_MWC,0.0006293173333390284
NCG_Actual_12,0.0005685364847383665
R32_Actual_12,0.0005501013670588097
Conf_Southern,0.0005469654958074889
DE,0.0005295125253564158
NCG_Actual_Full,0.000512222640649211
Conf_AEC,0.0004820892810848962
Conf Tourney,0.0004686899602920661
Conf_WAC,0.00036744704422729676
Wins,0.00036541937393076165
RankAdjTempo,0.00033878125723450585
Conf_MVC,0.0002931035988145524
Off_1,0.00022128453968054017
Winner_Actual_12,0.00020445045141431279
RankDef_3,0.00020257777693080098
R32_Actual_Full,0.00012504413653054242
Conf_Patriot,0.00011751887760059129
R32_Actual_6,8.643105010011115e-05
Split,0.0
RankOff_2,-6.916980156450828e-05
RankOff_3,-0.00010867656585199003
Def_2,-0.00013482768224792413
Off_3,-0.00015889832962926134
RankDef_2,-0.00046475600245142576
