,importance,n,p99_high,p99_low,p_value,stddev
S16_AdjEM_Avg,0.01041666666666669,5.0,0.017163364130039077,0.0036699692032943015,0.09984769119386354,0.003276664485214362
Seed,0.005981182795698933,5.0,0.010947689436367898,0.0010146761550299669,0.17659232380676895,0.00241208028274723
Wins,0.004502688172043016,5.0,0.008463408314818564,0.0005419680292674694,0.03617760510727178,0.0019236005613357781
Pts1Rank,0.00413306451612907,5.0,0.01108356375993936,-0.0028174347276812214,0.6488375354113455,0.0033756447729195323
NCG_RankAdjEM_Avg,0.003830645161290325,5.0,0.010583824086587014,-0.002922533764006365,0.09980530462802928,0.0032798123329153945
S16_RankAdjEM_Avg,0.0037634408602150653,5.0,0.01076933353648412,-0.00324245181605399,0.05844673422626273,0.003402547667830285
R32_DE_Avg,0.003595430107526913,5.0,0.007739032876762401,-0.0005481726617085754,0.41203036731202775,0.002012421056153768
R32_RankAdjOE_Avg,0.003561827956989257,5.0,0.009188400624727219,-0.0020647447107487046,0.11533973981995255,0.0027326541517454146
R32_HgtEffRank_Avg,0.0033602150537634487,5.0,0.006942337049173359,-0.00022190694164646104,0.3284090558176102,0.0017397270275993412
NCG_OR1_Avg,0.002956989247311862,5.0,0.006990329054282998,-0.0010763505596592736,0.3358614672965179,0.0019588697098176394
E8_Actual_6,0.0029569892473118257,5.0,0.008001751479873252,-0.002087772985249601,0.18802181038356414,0.0024500866288321905
F4_DR5Rank_Avg,0.002721774193548391,5.0,0.007239714636924227,-0.001796166249827446,0.3790830900614312,0.002194225408430195
NCG_DE_Avg,0.0026881720430107724,5.0,0.0076092005246176965,-0.0022328564385961517,0.3572501869559131,0.002389992932682917
R32_Def_3_Avg,0.0025873655913978724,5.0,0.004423871690412628,0.0007508594923831161,0.23266908506182546,0.0008919348087254045
R32_AdjDE_Avg,0.002520161290322598,5.0,0.007718594957386211,-0.0026782723767410158,0.18675511325747982,0.0025247201416818345
E8_DR1Rank_Avg,0.002385752688172079,5.0,0.0062421024248937,-0.0014705970485495434,0.3263449500043396,0.0018729110492180445
S16_AdjOE_Avg,0.0022849462365591637,5.0,0.007054710128811187,-0.0024848176556928597,0.11354654935755255,0.002316528350863357
RankOff_2_Seed_Avg,0.0022513440860215304,5.0,0.004818629396255817,-0.00031594122421275684,0.3016307556159625,0.0012468519071925834
NCG_AdjEM_Avg,0.002217741935483889,5.0,0.007059350846146417,-0.0026238669751786382,0.15870060627951213,0.002351421277594297
NCG_RankTempo_Avg,0.0020833333333333554,5.0,0.005969399506913042,-0.0018027328402463307,0.4998514000026031,0.001887343413172195
F4_DE_Avg,0.002016129032258096,5.0,0.005572203642464993,-0.0015399455779488008,0.3415752683971802,0.0017270766097481234
RankAdjEM,0.001915322580645181,5.0,0.006826178375231906,-0.0029955332139415445,0.12267701571884336,0.00238505236991732
Pts5Rank_Seed_Avg,0.001747311827957021,5.0,0.004727633586162211,-0.0012330099302481688,0.6105657965654354,0.0014474510695994963
OR3Rank_Seed_Avg,0.0017137096774193876,5.0,0.00561440812217932,-0.002186988767340545,0.6031896194840981,0.001894449859485318
R32_RankAdjEM_Avg,0.0017137096774193729,5.0,0.006762360643601121,-0.003334941288762375,0.1684625940152539,0.002451975267742612
F4_Actual_6,0.0017137096774193581,5.0,0.005680703509797875,-0.00225328415495916,0.2811763496287059,0.0019266475003789048
RankAdjOE,0.0016801075268817467,5.0,0.00785813049262257,-0.004497915438859076,0.19129953998105118,0.0030004766851606975
F4_RankAdjDE_Avg,0.001680107526881732,5.0,0.006206270889167711,-0.002846055835404246,0.2538769393513915,0.00219821902849452
DR5,0.00161290322580648,5.0,0.005444781254879928,-0.002218974803266967,0.3310059149721722,0.0018610258897339192
Hgt1Rank,0.0015793010752688612,5.0,0.005899731105851481,-0.0027411289553137593,0.5753883097796803,0.002098300645452004
NCG_AdjOE_Avg,0.0015456989247312205,5.0,0.006768868724193713,-0.0036774708747312717,0.25811194501788703,0.0025367337241750457
E8_DR5_Avg,0.001478494623655931,5.0,0.00449232464559977,-0.0015353353982879073,0.3434549150877167,0.0014637250078262662
R32_RankAdjTempo_Avg,0.001478494623655924,5.0,0.009295613524982422,-0.0063386242776705725,0.6367690913055825,0.0037965354189560857
E8_RankAdjDE_Avg,0.0013440860215054046,5.0,0.005149707330241806,-0.0024615352872309967,0.304189630608874,0.0018482738042144957
NCG_DR5_Avg,0.0013104838709677637,5.0,0.0044360142877550215,-0.0018150465458194938,0.35636143681234245,0.0015179744711755396
F4_RankOff_3_Avg,0.0012432795698925044,5.0,0.003344383455496562,-0.0008578243157115537,0.4680216816500151,0.0010204418560460235
F4_RankAdjEM_Avg,0.001243279569892482,5.0,0.006180709849843025,-0.003694150710058061,0.4534365605330408,0.002397958784185516
F4_AdjOE_Avg,0.0012096774193548487,5.0,0.005474346369006281,-0.003054991530296584,0.16598963315321189,0.0020712191949295343
F4_Actual_Full,0.001142473118279567,5.0,0.0032986228989215403,-0.0010136766623624063,0.20325595298673502,0.0010471759626673417
S16_DR4Rank_Avg,0.0011088709677419559,5.0,0.003308516284838888,-0.0010907743493549767,0.3901009600229684,0.0010683004136066419
S16_Actual_Full,0.0010752688172043373,5.0,0.005346248103423635,-0.0031957104690149593,0.4549458356389205,0.002074283932281983
OR2Rank,0.00107526881720433,5.0,0.00592200680316068,-0.0037714691687520206,0.2240752607533535,0.002353912312496707
Hgt5Rank,0.0010752688172043297,5.0,0.005239651713026656,-0.003089114078617996,0.37084391745621964,0.0020225133276918065
S16_DR5Rank_Avg,0.0010416666666666961,5.0,0.0027048731004744573,-0.0006215397671410651,0.3086064947605481,0.0008077684649155465
E8_HgtEff_Avg,0.001041666666666689,5.0,0.0036754973143063295,-0.0015921639809729517,0.35436732087550427,0.0012791709410482585
S16_Hgt5_Avg,0.0010416666666666814,5.0,0.004937251666059611,-0.002853918332726248,0.3687531016860535,0.0018919664155600336
R32_RankAdjDE_Avg,0.0010080645161290554,5.0,0.00499244874477598,-0.002976319712517869,0.19175526852998925,0.0019350934836389886
E8_RankAdjEM_Avg,0.0009744623655914072,5.0,0.006664716314393253,-0.004715791583210439,0.2862716068548608,0.0027635822010862667
E8_RankAdjOE_Avg,0.0009408602150537959,5.0,0.007011329737995034,-0.005129609307887442,0.2707960240262068,0.0029482412695077506
NCG_Hgt2_Avg,0.0009408602150537885,5.0,0.0064212104085738944,-0.004539489978466317,0.5195476604686172,0.0026616383709414052
NCG_RankDef_2_Avg,0.0009072580645161328,5.0,0.0050128558410334235,-0.003198339712001158,0.3595541269712285,0.0019939631942774033
Conf Tourney,0.0009072580645161033,5.0,0.002578626255046747,-0.0007641101260145406,0.4698471447734847,0.0008117323803772991
Off_1_Seed_Avg,0.0008400537634409028,5.0,0.004718942542793058,-0.003038835015911252,0.4596326379752969,0.001883857572449469
R32_HgtEff_Avg,0.0008400537634408808,5.0,0.0026547992043346146,-0.0009746916774528531,0.3817469417337696,0.0008813663230289371
NCG_DR4Rank_Avg,0.0008400537634408732,5.0,0.004209139574085388,-0.0025290320472036412,0.3782142992931255,0.0016362618723176616
Off_2,0.0008064516129032548,5.0,0.0030843345579753853,-0.0014714313321688762,0.3743403657263959,0.0011062980351667473
E8_Actual_Full,0.0008064516129032325,5.0,0.003499913394210409,-0.001887010168403944,0.2445677946601943,0.0013081319577475036
E8_Hgt5Rank_Avg,0.0007728494623656213,5.0,0.003354631170174704,-0.0018089322454434614,0.3429902271672188,0.0012538923638537507
NCG_Size_Avg,0.0007392473118279951,5.0,0.0021207245519351448,-0.0006422299282791544,0.3368852735214591,0.0006709412174424638
S16_Pts5_Avg,0.000739247311827988,5.0,0.0019689525203952104,-0.000490457896739235,0.6099011159305304,0.0005972301864831579
S16_RankDE_Avg,0.0007392473118279878,5.0,0.004562289434710542,-0.0030837948110545663,0.360092412669105,0.0018567345605069062
R32_Hgt5Rank_Avg,0.000739247311827973,5.0,0.004030439175581536,-0.0025519445519255894,0.601813887871633,0.0015984311661423212
R32_Hgt3_Avg,0.000739247311827973,5.0,0.0016866333301691653,-0.0002081387065132193,0.477063068316534,0.00046011639575365467
S16_OR1_Avg,0.0007056451612903321,5.0,0.004314073079709455,-0.002902782757128791,0.6497212335503467,0.0017525030093508613
AdjDE,0.0007056451612903173,5.0,0.003953386625187308,-0.0025420963026066734,0.26143185500018684,0.0015773286366675184
NCG_Hgt5Rank_Avg,0.0006720430107527061,5.0,0.003913470666844565,-0.002569384645339153,0.32785278772787346,0.0015742622134413608
Def_3,0.0006384408602151023,5.0,0.0022905051641239076,-0.001013623443693703,0.6234400703225358,0.0008023570734121094
NCG_Tempo_Avg,0.0006048387096774613,5.0,0.0021920972325152666,-0.0009824198131603444,0.38886471415895624,0.0007708828888314687
F4_RankOff_2_Avg,0.0006048387096774392,5.0,0.0023665666637575264,-0.0011568892444026478,0.6303737410359302,0.0008556173522056978
E8_AdjEM_Avg,0.0006048387096774392,5.0,0.007591620052924291,-0.006381942633569413,0.3707407031762793,0.0033932658782556187
NCG_OR2Rank_Avg,0.0006048387096774318,5.0,0.002620996829497652,-0.0014113194101427883,0.19203755018773672,0.0009791862972449463
WinStreak_Avg,0.0006048387096774244,5.0,0.006555275855374062,-0.005345598436019214,0.4669312031616398,0.0028899452172942825
S16_RankAdjOE_Avg,0.0006048387096774169,5.0,0.003467985868381844,-0.00225830844902701,0.29249682812534655,0.0013905429525781282
NCG_RankAdjOE_Avg,0.0005712365591397835,5.0,0.004276034886417261,-0.0031335617681376945,0.36569058691844764,0.0017993071676588458
S16_AdjDE_Avg,0.0005712365591397762,5.0,0.0035475831149202434,-0.0024051099966406913,0.4158026094251562,0.001445520435437028
S16_HgtEffRank_Avg,0.0005376344086021795,5.0,0.0038234998242500703,-0.002748231007045711,0.3557586799189601,0.0015958442733055005
