,importance,n,p99_high,p99_low,p_value,stddev
Conf,0.0052777777777777216,5.0,0.019330637100182353,-0.008775081544626908,0.10496869413130316,0.006825043705816347
E8_Actual_12,0.0040624999999998804,5.0,0.01438072261604017,-0.00625572261604041,0.07204476262970493,0.005011244950594686
F4_Actual_12,0.00369791666666659,5.0,0.011806801265753692,-0.004410967932420513,0.05184900383735548,0.003938237089298673
WinStreak,0.001909722222222173,5.0,0.009545725059911494,-0.005726280615467149,0.3968534737311043,0.0037085728896380584
DR5Rank,0.0011979166666665987,5.0,0.0039330307760909585,-0.0015371974427577607,0.3039983295562791,0.0013283612188058243
S16_Actual_12,0.001145833333333246,5.0,0.004420615776973468,-0.002128949110306976,0.09123985893840139,0.0015904616129794218
F4_Actual_Full,0.001093749999999923,5.0,0.005516994542990302,-0.003329494542990455,0.43879153064784354,0.002148234507641629
F4_DR5Rank_Avg,0.0010590277777777102,5.0,0.003815928600010361,-0.0016978730444549412,0.31894024826567136,0.0013389423584665334
S16_Actual_6,0.0009722222222221743,5.0,0.004773979978348792,-0.002829535533904444,0.45557378271302373,0.0018463973949502648
F4_Actual_6,0.0009548611111110419,5.0,0.0041860262531286324,-0.0022763040309065484,0.5267027088413879,0.0015692780244246267
RankAdjOE,0.0009201388888888218,5.0,0.005286861169937994,-0.0034465833921603507,0.25067966307853917,0.0021207833747974186
Wins,0.0008506944444443888,5.0,0.002191782944902941,-0.0004903940560141636,0.16745278934998178,0.00065132564263307
R32_DR5Rank_Avg,0.0007291666666666327,5.0,0.0019340627968185478,-0.00047572946348528237,0.6164628477198394,0.0005851811763421721
S16_BenchRank_Avg,0.0007118055555554782,5.0,0.0027766936908001634,-0.0013530825796892066,0.34070410720227423,0.0010028529744262108
E8_DR5Rank_Avg,0.0006597222222221403,5.0,0.0027988982350750542,-0.001479453790630773,0.31454485759065876,0.0010389323231093754
F4_DR5_Avg,0.0005902777777777073,5.0,0.0020703476703780657,-0.0008897921148226514,0.35448312387459985,0.0007188246514754016
F4_RankAdjEM_Avg,0.0005555555555554869,5.0,0.0038678492273199285,-0.002756738116208955,0.2682811641906708,0.0016086796685034304
F4_OR5_Avg,0.0005208333333332741,5.0,0.0020911705102358087,-0.0010495038435692605,0.34248088783131764,0.0007626647089635938
AdjEM,0.0005034722222221714,5.0,0.002814100738020797,-0.001807156293576454,0.19781077901405522,0.001122201556738611
E8_DR5_Avg,0.0005034722222221566,5.0,0.001690739476780382,-0.0006837950323360689,0.33326529454542964,0.0005766193709721072
E8_Actual_Full,0.0005034722222221418,5.0,0.005152808887534506,-0.004145864443090223,0.6121861723889364,0.002258040532236792
DR5,0.00048611111111103905,5.0,0.0022740542714596514,-0.0013018320492375736,0.32350654335012147,0.0008683492756125184
