,importance,n,p99_high,p99_low,p_value,stddev
R32_RankAdjEM_Avg,0.0270849609375,5.0,0.046253880906012734,0.007916040968987258,0.08540938420233264,0.009309757792125157
R32_AdjEM_Avg,0.00801855468749999,5.0,0.015467128469493533,0.000569980905506447,0.04207276061754819,0.003617544333276997
Seed,0.005604329427083339,5.0,0.012340874664743087,-0.0011322158105764074,0.3324451556434221,0.003271733859879658
R32_AdjDE_Avg,0.0037151692708333292,5.0,0.011565261566891217,-0.004134923025224558,0.12323074101100928,0.0038125495876749093
AdjEM,0.002575358072916667,5.0,0.00777518266149399,-0.002624466515660657,0.35829413779319325,0.0025253956696939376
R32_RankAdjOE_Avg,0.002107910156249996,5.0,0.00627811010438406,-0.0020622897918840684,0.039206297872790945,0.002025338491977294
R32_AdjOE_Avg,0.0019856770833333406,5.0,0.005859635220017805,-0.0018882810533511235,0.23236023113103232,0.0018814629102008333
RankDef_3,0.0015218098958333333,5.0,0.0023063404968626604,0.0007372792948040063,0.48073895933980754,0.0003810225035156267
Conf,0.0013956705729166665,5.0,0.002288051570178504,0.0005032895756548293,0.3336618964919631,0.00043340214036312184
Hgt4_Seed_Avg,0.0012776692708333333,5.0,0.0021738370194220877,0.0003815015222445787,0.4675166063502545,0.00043524124959465484
Def_3,0.0012145182291666574,5.0,0.003553695172976828,-0.0011246587146435136,0.5549562983029529,0.0011360666545411988
BenchRank_Seed_Avg,0.001147135416666667,5.0,0.002201789639116217,9.24811942171169e-05,0.07315928478701651,0.0005122132797035821
RankAdjDE,0.001117513020833331,5.0,0.006055917131535256,-0.0038208910898685933,0.4208586682455473,0.0023984317439788047
R32_Pts1_Avg,0.0010512695312499874,5.0,0.0029471433582071702,-0.0008446042957071949,0.030261099680639714,0.000920767897325109
Region,0.0010172526041666667,5.0,0.0024765303457782244,-0.0004420251374448912,0.33876749206242746,0.0007087265400533186
Hgt5,0.0009562174479166666,5.0,0.0020158880944550132,-0.0001034531986216799,0.17136884168546948,0.000514649603363235
Hgt4Rank,0.0009487304687500068,5.0,0.0023756050620982933,-0.00047814412459828,0.10225596048261448,0.0006929893225925072
R32_HgtEffRank_Avg,0.00076904296875,5.0,0.001506423750800544,3.166218669945607e-05,0.17303174248560474,0.00035812327938844306
R32_RankAdjDE_Avg,0.0007433268229166531,5.0,0.005120510712933742,-0.003633857067100437,0.3986192545842416,0.0021258642581109917
RankAdjEM,0.0007349446614583292,5.0,0.004383345344520838,-0.0029134560216041803,0.26500661215932403,0.0017719165578305267
R32_RankOff_3_Avg,0.0006998697916666667,5.0,0.0014606223009858144,-6.088271765248123e-05,0.3355516594218009,0.0003694742120654911
ExpRank_Seed_Avg,0.0006962890624999957,5.0,0.0036684324543879245,-0.0022758543293879335,0.345868619027544,0.0014434790873660668
Bench_Seed_Avg,0.00067138671875,5.0,0.0020246148815794007,-0.0006818414440794007,0.23432775532021824,0.0006572215051300923
RankAdjOE,0.0006712239583333297,5.0,0.0025984605970707573,-0.0012560126804040976,0.1268514752067065,0.0009359998551940813
R32_OR1_Avg,0.00062255859375,5.0,0.001367904540120397,-0.00012278735262039714,0.4791746794224769,0.0003619917159364654
OR2Rank_Seed_Avg,0.0006103515625,5.0,0.0012560099459974078,-3.530682099740789e-05,0.17222928998556972,0.00031357651744018915
R32_Off_2_Avg,0.0006103515625,5.0,0.001374180805426479,-0.00015347768042647898,0.2949150000599641,0.0003709684874196683
Wins,0.0005914713541666691,5.0,0.00483255707552501,-0.003649614367191672,0.6402242895702782,0.00205976554267757
R32_Hgt3Rank_Avg,0.000553548177083322,5.0,0.0020925854536736916,-0.0009854890995070476,0.15747226502022463,0.0007474633052693549
R32_RankOff_2_Avg,0.0005330403645833333,5.0,0.0011608110449375035,-9.473031577083673e-05,0.17164193541931796,0.0003048890074503449
BenchRank,0.0005208333333333333,5.0,0.0012595024860360248,-0.00021783581936935816,0.177135773741568,0.00035874900158550365
AdjOE,0.0005133463541666587,5.0,0.0022277515756039374,-0.0012010588672706198,0.1615242704602651,0.0008326341492036655
R32_AdjTempo_Avg,0.0005045572916666666,5.0,0.0019451986078253183,-0.0009360840244919849,0.2311911278038645,0.0006996753985512126
R32_Hgt3_Avg,0.0004894205729166619,5.0,0.001157529829780092,-0.00017868868394676834,0.2844424696732943,0.00032448021955813164
OR4Rank,0.0004845377604166664,5.0,0.0021485932774599433,-0.0011795177566266107,0.24472843880723658,0.0008081808386580935
R32_OR4_Avg,0.0004837239583333227,5.0,0.0011975766823228051,-0.0002301287656561598,0.26154113234126636,0.00034669642162977224
Tempo_Seed_Avg,0.00046549479166668,5.0,0.0018299880407147047,-0.0008989984573813447,0.08897340351865235,0.0006626926127550949
DR5_Seed_Avg,0.0004638671874999999,5.0,0.0012053676292445093,-0.00027763325424450935,0.4425031273156961,0.0003601240720256807
