Feature,Importance,Importance_Normalized,Baseline_Loss
Seed,0.011867377419581104,1.0,0.5231949077864247
R32_Actual_Full,0.006634653677380253,0.5590665437532233,0.5231949077864247
Conf_Big Ten,0.006311048317089951,0.5317980623652162,0.5231949077864247
R32_Actual_6,0.006302408328171749,0.5310700170176447,0.5231949077864247
R32_Actual_12,0.005931808559198393,0.4998415698325177,0.5231949077864247
Conf Tourney,0.0030952780666281265,0.2608224173877655,0.5231949077864247
RankAdjEM,0.002535104971714275,0.21361964670739858,0.5231949077864247
R32_AdjEM_Avg,0.002446484232924262,0.20615205419249388,0.5231949077864247
RankAdjOE,0.0024315336882070326,0.20489225228440244,0.5231949077864247
RankAdjDE,0.0024041127417685493,0.20258163676515226,0.5231949077864247
R32_RankAdjTempo_Avg,0.0022214510351575845,0.18718971821796138,0.5231949077864247
R32_RankAdjDE_Avg,0.002086539933443099,0.17582148605135958,0.5231949077864247
R32_AdjDE_Avg,0.0020740835393797674,0.1747718527901153,0.5231949077864247
R32_OR1Rank_Avg,0.0018462552440898783,0.15557398899638666,0.5231949077864247
Conf_MWC,0.0015929745301400677,0.13423138692055658,0.5231949077864247
AdjEM,0.0014062559115614048,0.11849761424466797,0.5231949077864247
Conf_Big West,0.0013297373843227378,0.1120498099376766,0.5231949077864247
R32_RankAdjOE_Avg,0.0012903977710945203,0.10873487253935073,0.5231949077864247
Conf_ACC,0.0012178720140756383,0.10262351748130606,0.5231949077864247
Bench_Seed_Avg,0.0011513848976393293,0.09702100615250939,0.5231949077864247
AdjDE,0.0011182634486782694,0.09423003997775795,0.5231949077864247
R32_AdjOE_Avg,0.0010613682501934285,0.08943578793088497,0.5231949077864247
OR4Rank,0.001048319236283568,0.08833621778589829,0.5231949077864247
R32_RankAdjEM_Avg,0.0009858783687112238,0.08307466206345895,0.5231949077864247
Region_West,0.0009709092882953518,0.08181329825184097,0.5231949077864247
Hgt5Rank_Seed_Avg,0.0009530096775069996,0.08030499442400299,0.5231949077864247
Conf_Big Sky,0.0009478284182976582,0.07986839760685008,0.5231949077864247
Conf_MEAC,0.0008613967723892779,0.07258526816278534,0.5231949077864247
R32_RankOff_2_Avg,0.0008599441385525042,0.07246286253048642,0.5231949077864247
RankOff_2,0.0008546994660649787,0.07202092221780437,0.5231949077864247
RankDef_2,0.0007377437364496364,0.062165692584476455,0.5231949077864247
Conf_AEC,0.0006824440534216603,0.05750588603473852,0.5231949077864247
AdjOE,0.0006480796388521615,0.0546101818404152,0.5231949077864247
Conf_Patriot,0.0006330013358889497,0.05333961443279803,0.5231949077864247
R32_Hgt3Rank_Avg,0.0005975980214953935,0.050356367743842056,0.5231949077864247
Pts5Rank,0.0005916435182116153,0.04985461381175987,0.5231949077864247
R32_SizeRank_Avg,0.0005422147460616422,0.04568951731213933,0.5231949077864247
DR3Rank,0.0005359459279954404,0.045161277765644554,0.5231949077864247
HgtEffRank_Seed_Avg,0.000516962091037021,0.043561612036037256,0.5231949077864247
BenchRank,0.0005161665636541635,0.04349457722668292,0.5231949077864247
Conf_Big South,0.0004995668793279506,0.042095811202875213,0.5231949077864247
DR4_Seed_Avg,0.00048760226372379645,0.041087617464601364,0.5231949077864247
OR5Rank,0.00048307216137299935,0.04070589013002427,0.5231949077864247
R32_RankOff_1_Avg,0.0004784642163901953,0.040317603415960475,0.5231949077864247
R32_Hgt3_Avg,0.0004383352211763114,0.03693614904781412,0.5231949077864247
RankOff_3,0.0004217497330347708,0.03553857926005506,0.5231949077864247
Pts5_Seed_Avg,0.0004135790183292798,0.0348500771237693,0.5231949077864247
SizeRank_Seed_Avg,0.0004084814417942839,0.0344205317950276,0.5231949077864247
