model,fit_order,fit_time,fit_time_marginal,pred_time_test,pred_time_test_marginal,pred_time_val,pred_time_val_marginal,roc_auc,score_test,score_val,stack_level,log_loss_score,roc_auc_score
LightGBM_r196_Prune,34.0,10.53454820315043,10.53454820315043,0.016924142837524414,0.016924142837524414,0.005527655283610026,0.005527655283610026,0.7199868136186098,-0.5442761944328508,-0.5442761944328508,1.0,-0.5442761944328508,0.7199868136186098
CatBoost_r12_Prune,74.0,2.887132406234741,2.887132406234741,0.003428379694620768,0.003428379694620768,0.00195463498433431,0.00195463498433431,0.7118481050125286,-0.5507412195507435,-0.5507412195507435,1.0,-0.5507412195507434,0.7118481050125286
CatBoost_r180_Prune,69.0,3.832413673400879,3.832413673400879,0.003038326899210612,0.003038326899210612,0.0021079381306966147,0.0021079381306966147,0.712498930150482,-0.5510785631643326,-0.5510785631643326,1.0,-0.5510785631643326,0.712498930150482
CatBoost_r128_Prune,50.0,5.966050465901692,5.966050465901692,0.0036371548970540366,0.0036371548970540366,0.0021926561991373696,0.0021926561991373696,0.7038013654906967,-0.552394730345791,-0.552394730345791,1.0,-0.5523947303457911,0.7038013654906967
RandomForest_r15_Prune,64.0,0.6553400357564291,0.6553400357564291,0.02880708376566569,0.02880708376566569,0.029944737752278645,0.029944737752278645,0.7056769257822557,-0.5528761871184842,-0.5528761871184842,1.0,-0.5528761871184842,0.7056769257822557
RandomForest_r39_Prune,35.0,0.6985995769500732,0.6985995769500732,0.03208422660827637,0.03208422660827637,0.0305935541788737,0.0305935541788737,0.70502411985399,-0.553186629050321,-0.553186629050321,1.0,-0.553186629050321,0.70502411985399
RandomForestGini_Prune,3.0,0.22963953018188477,0.22963953018188477,0.030038992563883465,0.030038992563883465,0.02918696403503418,0.02918696403503418,0.7012286096953498,-0.5540415982713807,-0.5540415982713807,1.0,-0.5540415982713807,0.7012286096953498
CatBoost_r13_Prune,20.0,5.526212135950725,5.526212135950725,0.004015684127807617,0.004015684127807617,0.002040386199951172,0.002040386199951172,0.7033700745015944,-0.5542190151789442,-0.5542190151789442,1.0,-0.5542190151789442,0.7033700745015944
LightGBM_r188_Prune,22.0,3.5852855841318765,3.5852855841318765,0.00433198610941569,0.00433198610941569,0.0017943382263183594,0.0017943382263183594,0.7071347531129794,-0.5545181839750941,-0.5545181839750941,1.0,-0.5545181839750941,0.7071347531129794
RandomForestEntr_Prune,4.0,0.2540926933288574,0.2540926933288574,0.02984937032063802,0.02984937032063802,0.030722538630167644,0.030722538630167644,0.7012466977318299,-0.5545435698883957,-0.5545435698883957,1.0,-0.5545435698883957,0.7012466977318299
RandomForest_r166_Prune,60.0,0.2398256460825602,0.2398256460825602,0.03470619519551595,0.03470619519551595,0.030161380767822266,0.030161380767822266,0.7035819649394567,-0.5555725338498065,-0.5555725338498065,1.0,-0.5555725338498064,0.7035819649394567
NeuralNetTorch_r14_Prune,31.0,0.3333601156870524,0.3333601156870524,0.006367921829223633,0.006367921829223633,0.004653612772623698,0.004653612772623698,0.6952184084647429,-0.5556666262106823,-0.5556666262106823,1.0,-0.5556666262106823,0.6952184084647429
RandomForest_r16_Prune,73.0,0.9674320220947266,0.9674320220947266,0.03205577532450358,0.03205577532450358,0.030659596125284832,0.030659596125284832,0.6978005836743244,-0.5561956991185101,-0.5561956991185101,1.0,-0.55619569911851,0.6978005836743244
CatBoost_r143_Prune,58.0,1.8544576168060303,1.8544576168060303,0.002346038818359375,0.002346038818359375,0.001784960428873698,0.001784960428873698,0.7020373848703381,-0.5562317450716124,-0.5562317450716124,1.0,-0.5562317450716124,0.7020373848703381
RandomForest_r195_Prune,21.0,0.758106549580892,0.758106549580892,0.024743318557739258,0.024743318557739258,0.030542373657226562,0.030542373657226562,0.701954266397899,-0.5564538356558931,-0.5564538356558931,1.0,-0.5564538356558931,0.701954266397899
ExtraTrees_r42_Prune,18.0,0.23530125617980957,0.23530125617980957,0.03467861811319987,0.03467861811319987,0.030310948689778645,0.030310948689778645,0.7004566324627314,-0.5564589830820382,-0.5564589830820382,1.0,-0.5564589830820382,0.7004566324627314
CatBoost_r9_Prune,14.0,6.547291358311971,6.547291358311971,0.004247585932413737,0.004247585932413737,0.002368291219075521,0.002368291219075521,0.7018022055606948,-0.556511729882707,-0.556511729882707,1.0,-0.556511729882707,0.7018022055606948
RandomForest_r127_Prune,46.0,0.8011584281921387,0.8011584281921387,0.027725617090861004,0.027725617090861004,0.024580955505371094,0.024580955505371094,0.7063204258992019,-0.5565706651384082,-0.5565706651384082,1.0,-0.5565706651384084,0.7063204258992019
CatBoost_r167_Prune,36.0,1.8234836260477703,1.8234836260477703,0.002981980641682943,0.002981980641682943,0.0018124580383300781,0.0018124580383300781,0.7028340586381349,-0.5577494192971816,-0.5577494192971816,1.0,-0.5577494192971816,0.7028340586381349
ExtraTreesGini_Prune,6.0,0.19166962305704752,0.19166962305704752,0.03682684898376465,0.03682684898376465,0.030841668446858723,0.030841668446858723,0.6941573113064701,-0.5582568054735733,-0.5582568054735733,1.0,-0.5582568054735733,0.6941573113064701
ExtraTrees_r49_Prune,44.0,0.19804771741231283,0.19804771741231283,0.03342111905415853,0.03342111905415853,0.029158353805541992,0.029158353805541992,0.6941573113064701,-0.5582568054735733,-0.5582568054735733,1.0,-0.5582568054735733,0.6941573113064701
ExtraTrees_r197_Prune,71.0,0.27021972338358563,0.27021972338358563,0.03457283973693848,0.03457283973693848,0.029779831568400066,0.029779831568400066,0.6919440501034316,-0.5584108182981109,-0.5584108182981109,1.0,-0.5584108182981109,0.6919440501034316
ExtraTreesEntr_Prune,7.0,0.19154063860575357,0.19154063860575357,0.03366374969482422,0.03366374969482422,0.030730326970418293,0.030730326970418293,0.6903367303741349,-0.5590870390878747,-0.5590870390878747,1.0,-0.5590870390878747,0.6903367303741349
CatBoost_r86_Prune,41.0,3.767664988835653,3.767664988835653,0.0029767354329427085,0.0029767354329427085,0.0018510023752848308,0.0018510023752848308,0.6946719188026175,-0.559120468679786,-0.559120468679786,1.0,-0.559120468679786,0.6946719188026176
CatBoost_Prune,5.0,1.40822966893514,1.40822966893514,0.003583987553914388,0.003583987553914388,0.0018343130747477214,0.0018343130747477214,0.7057738863214854,-0.5597837148941855,-0.5597837148941855,1.0,-0.5597837148941855,0.7057738863214853
