model,fit_order,fit_time,fit_time_marginal,pred_time_test,pred_time_test_marginal,pred_time_val,pred_time_val_marginal,score_test,score_val,stack_level,auc_score
CatBoost_r69,30.0,1.8460907141367595,1.8460907141367595,0.004967292149861653,0.004967292149861653,0.0036149024963378906,0.0036149024963378906,0.8178653971354167,0.8178653971354167,1.0,0.8178653971354167
CatBoost_r137,19.0,1.419335126876831,1.419335126876831,0.00490562121073405,0.00490562121073405,0.003558079401652018,0.003558079401652018,0.8171875000000001,0.8171875000000001,1.0,0.8171875000000001
CatBoost_r198,79.0,3.3610002994537354,3.3610002994537354,0.003965616226196289,0.003965616226196289,0.0051797231038411455,0.0051797231038411455,0.8156868489583333,0.8156868489583333,1.0,0.8156868489583333
CatBoost_r60,63.0,2.1577792167663574,2.1577792167663574,0.004857937494913737,0.004857937494913737,0.003682216008504232,0.003682216008504232,0.8147403971354166,0.8147403971354166,1.0,0.8147403971354166
CatBoost_r143,58.0,4.7302470207214355,4.7302470207214355,0.004432121912638347,0.004432121912638347,0.003598292668660482,0.003598292668660482,0.8144694010416668,0.8144694010416668,1.0,0.8144694010416668
CatBoost_r13,20.0,14.233804066975912,14.233804066975912,0.0053853193918863935,0.0053853193918863935,0.0038406848907470703,0.0038406848907470703,0.8143733723958334,0.8143733723958334,1.0,0.8143733723958334
CatBoost,5.0,3.5419675509134927,3.5419675509134927,0.005287965138753255,0.005287965138753255,0.0038843154907226562,0.0038843154907226562,0.8141349283854167,0.8141349283854167,1.0,0.8141349283854167
CatBoost_r86,41.0,10.244624296824137,10.244624296824137,0.004797538121541341,0.004797538121541341,0.00414427121480306,0.00414427121480306,0.8139331054687501,0.8139331054687501,1.0,0.8139331054687501
LightGBM_r130,25.0,0.5975933074951172,0.5975933074951172,0.0025363763173421225,0.0025363763173421225,0.0017136732737223308,0.0017136732737223308,0.8138338216145833,0.8138338216145833,1.0,0.8138338216145833
ExtraTreesEntr,7.0,0.20282443364461264,0.20282443364461264,0.03397687276204427,0.03397687276204427,0.026448965072631836,0.026448965072631836,0.813826904296875,0.813826904296875,1.0,0.813826904296875
LightGBM_r94,48.0,0.7596613566080729,0.7596613566080729,0.0029964447021484375,0.0029964447021484375,0.0019311110178629558,0.0019311110178629558,0.8136197916666666,0.8136197916666666,1.0,0.8136197916666666
CatBoost_r12,74.0,5.831139802932739,5.831139802932739,0.005404313405354817,0.005404313405354817,0.0037053426106770835,0.0037053426106770835,0.8135213216145832,0.8135213216145832,1.0,0.8135213216145832
CatBoost_r50,27.0,2.49121356010437,2.49121356010437,0.004540284474690755,0.004540284474690755,0.004274686177571614,0.004274686177571614,0.8132063802083334,0.8132063802083334,1.0,0.8132063802083334
CatBoost_r70,33.0,7.3517082532246905,7.3517082532246905,0.005316257476806641,0.005316257476806641,0.004086494445800781,0.004086494445800781,0.8129012044270834,0.8129012044270834,1.0,0.8129012044270834
LightGBM_r30,53.0,1.6241895357767742,1.6241895357767742,0.00486000378926595,0.00486000378926595,0.0024010340372721353,0.0024010340372721353,0.81254150390625,0.81254150390625,1.0,0.81254150390625
CatBoost_r163,78.0,1.737122376759847,1.737122376759847,0.004707018534342448,0.004707018534342448,0.0035393238067626953,0.0035393238067626953,0.8124894205729166,0.8124894205729166,1.0,0.8124894205729166
LightGBM_r96,15.0,0.6772591272989908,0.6772591272989908,0.003554264704386393,0.003554264704386393,0.002097447713216146,0.002097447713216146,0.81247314453125,0.81247314453125,1.0,0.81247314453125
