model,fit_order,fit_time,fit_time_marginal,pred_time_test,pred_time_test_marginal,pred_time_val,pred_time_val_marginal,score_test,score_val,stack_level,auc_score
ExtraTrees_r197,71.0,0.4804039001464844,0.4804039001464844,0.023729721705118816,0.023729721705118816,0.03066094716389974,0.03066094716389974,0.8390766059027778,0.8390766059027778,1.0,0.8390766059027778
CatBoost_r128,50.0,22.24248242378235,22.24248242378235,0.006072521209716797,0.006072521209716797,0.004953225453694661,0.004953225453694661,0.8388292100694444,0.8388292100694444,1.0,0.8388292100694444
RandomForestEntr,4.0,0.3477655251820882,0.3477655251820882,0.024701992670694988,0.024701992670694988,0.025740623474121094,0.025740623474121094,0.8384488932291666,0.8384488932291666,1.0,0.8384488932291667
ExtraTrees_r4,52.0,0.2995156447092692,0.2995156447092692,0.02294309933980306,0.02294309933980306,0.0308225154876709,0.0308225154876709,0.8384201388888889,0.8384201388888889,1.0,0.8384201388888889
CatBoost_r13,20.0,17.681161244710285,17.681161244710285,0.0057383378346761065,0.0057383378346761065,0.004781961441040039,0.004781961441040039,0.8374772135416665,0.8374772135416665,1.0,0.8374772135416665
ExtraTrees_r178,59.0,0.33965571721394855,0.33965571721394855,0.028035322825113933,0.028035322825113933,0.025352636973063152,0.025352636973063152,0.8369042968750001,0.8369042968750001,1.0,0.8369042968750001
ExtraTrees_r42,18.0,0.3991393248240153,0.3991393248240153,0.02525790532430013,0.02525790532430013,0.028954426447550457,0.028954426447550457,0.8367936197916667,0.8367936197916667,1.0,0.8367936197916667
RandomForestGini,3.0,0.3398928642272949,0.3398928642272949,0.025312105814615887,0.025312105814615887,0.02564104398091634,0.02564104398091634,0.8367833116319444,0.8367833116319444,1.0,0.8367833116319444
ExtraTrees_r126,76.0,0.21566327412923178,0.21566327412923178,0.03370515505472819,0.03370515505472819,0.030745665232340496,0.030745665232340496,0.8367610677083334,0.8367610677083334,1.0,0.8367610677083334
ExtraTreesEntr,7.0,0.20943339665730795,0.20943339665730795,0.0317683219909668,0.0317683219909668,0.030720074971516926,0.030720074971516926,0.8367361111111111,0.8367361111111111,1.0,0.8367361111111111
ExtraTrees_r172,29.0,0.3854837417602539,0.3854837417602539,0.0236813227335612,0.0236813227335612,0.027775684992472332,0.027775684992472332,0.8365549045138888,0.8365549045138888,1.0,0.8365549045138888
CatBoost_r177,11.0,3.97613525390625,3.97613525390625,0.005352338155110677,0.005352338155110677,0.0044097105662028,0.0044097105662028,0.8363020833333333,0.8363020833333333,1.0,0.8363020833333333
RandomForest_r166,60.0,0.2641642888387044,0.2641642888387044,0.03398450215657552,0.03398450215657552,0.03002031644185384,0.03002031644185384,0.8355474175347223,0.8355474175347223,1.0,0.8355474175347221
CatBoost_r143,58.0,6.1149582862854,6.1149582862854,0.004813989003499349,0.004813989003499349,0.004456361134847005,0.004456361134847005,0.83546875,0.83546875,1.0,0.8354687500000001
ExtraTrees_r49,44.0,0.2164316177368164,0.2164316177368164,0.0321048895517985,0.0321048895517985,0.030638376871744793,0.030638376871744793,0.8348366970486111,0.8348366970486111,1.0,0.8348366970486111
ExtraTreesGini,6.0,0.20129243532816568,0.20129243532816568,0.03141244252522787,0.03141244252522787,0.03061199188232422,0.03061199188232422,0.8348366970486111,0.8348366970486111,1.0,0.8348366970486111
CatBoost_r167,36.0,6.513938029607137,6.513938029607137,0.005708217620849609,0.005708217620849609,0.004874626795450847,0.004874626795450847,0.8344769965277777,0.8344769965277777,1.0,0.8344769965277777
CatBoost_r180,69.0,14.356903155644735,14.356903155644735,0.005323012669881185,0.005323012669881185,0.0052489439646403,0.0052489439646403,0.834021267361111,0.834021267361111,1.0,0.834021267361111
CatBoost_r12,74.0,7.263376712799072,7.263376712799072,0.006042003631591797,0.006042003631591797,0.004553635915120442,0.004553635915120442,0.8333246527777778,0.8333246527777778,1.0,0.8333246527777778
CatBoost_r70,33.0,8.67079210281372,8.67079210281372,0.005913575490315755,0.005913575490315755,0.00475764274597168,0.00475764274597168,0.8333235677083333,0.8333235677083333,1.0,0.8333235677083333
RandomForest_r34,47.0,1.1443653106689453,1.1443653106689453,0.022072315216064453,0.022072315216064453,0.02028997739156087,0.02028997739156087,0.8331477864583333,0.8331477864583333,1.0,0.8331477864583333
LightGBM_r196,34.0,7.648864348729451,7.648864348729451,0.013562361399332682,0.013562361399332682,0.004404624303181966,0.004404624303181966,0.8327940538194444,0.8327940538194444,1.0,0.8327940538194444
