mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,param_smote__k_neighbors,params,split0_test_neg_log_loss,split1_test_neg_log_loss,split2_test_neg_log_loss,split3_test_neg_log_loss,split4_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision
0.042184305191040036,0.0056890902186150505,0.0012293815612792968,1.9774431776419083e-05,10,5,2,10,1,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 10, 'smote__k_neighbors': 1}",-0.31592497076116105,-0.31073846820990664,-0.31570956752186025,-0.3282721365618353,-0.31805865550477436,-0.3177407597119075,0.005787328806899999,298,0.33826527711406523,0.2214934824654689,0.367048222271785,0.2465357467769644,0.3071414665914978,0.2960968390439563,0.05469227080374879,574
0.05330972671508789,0.0074665807467499835,0.0024719715118408205,0.001315442099342641,10,5,2,10,2,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 10, 'smote__k_neighbors': 2}",-0.33261492835758544,-0.32470999949174173,-0.30169876087287134,-0.3214071147475012,-0.3406193879612014,-0.3242100382861802,0.0130749599327816,328,0.2847660714932221,0.2960192754487896,0.4272392359274104,0.2707968081587619,0.27836166219269176,0.31143661064417516,0.05848898300832471,556
0.06179347038269043,0.003591891542643533,0.001233386993408203,1.8049656426704655e-05,10,5,2,10,3,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 10, 'smote__k_neighbors': 3}",-0.3335090695894942,-0.314289119604946,-0.30110806165430853,-0.33966109109609705,-0.3489298793371212,-0.3274994442563934,0.017402887986156076,337,0.23766291430724698,0.3438941095597442,0.41634441683076717,0.26326693102376025,0.23724845363302188,0.2996833650709081,0.07019288008604341,571
0.1365865707397461,0.01409995671336704,0.0020522117614746095,0.0007208714898789496,10,5,2,25,1,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 25, 'smote__k_neighbors': 1}",-0.20262775841057748,-0.22061264341567818,-0.21372758929568184,-0.24791113180448943,-0.2453796477819755,-0.2260517541416805,0.017785119651144665,34,0.505911907809362,0.24935617065085783,0.45425921022914667,0.2671996889166604,0.3164703603640333,0.358639467594012,0.10287333235440109,475
0.14650340080261232,0.008814809798265528,0.0018787384033203125,0.0008300218273804379,10,5,2,25,2,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 25, 'smote__k_neighbors': 2}",-0.22517205422304545,-0.21783826205482737,-0.201516605869673,-0.2423602955127461,-0.281762458313319,-0.23372993519472218,0.027368184391633188,64,0.36855779319559323,0.38978409938566305,0.4838373013213468,0.29186919793177446,0.2758263966979024,0.361974957706456,0.07483783133249494,463
0.143890905380249,0.012498384592828371,0.0022916316986083983,0.0008511892733626024,10,5,2,25,3,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 25, 'smote__k_neighbors': 3}",-0.26086547448126723,-0.2293413264243884,-0.21643388655840182,-0.2560968437080315,-0.2854528298939784,-0.2496380722132135,0.024351357224016372,163,0.24910064904742332,0.4121104184561074,0.45922839928000947,0.2612637006788055,0.24768911027446747,0.3258784555473626,0.0909962974548581,541
0.2816780567169189,0.00446232526034834,0.0020288944244384764,0.0002458279109801849,10,5,2,50,1,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 50, 'smote__k_neighbors': 1}",-0.220645176071381,-0.22643030394236208,-0.23001730758912717,-0.2864643472557378,-0.31281840700567537,-0.2552751083728567,0.03729131613099224,208,0.48592525794620683,0.3162172244588641,0.4579079431387016,0.30774257216535417,0.3347988698811392,0.3805183735180532,0.07565842295023692,385
0.28601412773132323,0.005422289125694595,0.002868509292602539,0.0012969304043101491,10,5,2,50,2,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 50, 'smote__k_neighbors': 2}",-0.24609335706044763,-0.22044890166349407,-0.21414140033478837,-0.29336024322263216,-0.3355836895800804,-0.2619255183722885,0.046190815351382,241,0.33758814554167116,0.4300223472409452,0.5207529772260042,0.307994801090618,0.30319328908925414,0.37991031203769854,0.08390039393390937,388
0.29586095809936525,0.022967305722831104,0.0031281471252441405,0.0010404739173346732,10,5,2,50,3,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 50, 'smote__k_neighbors': 3}",-0.2870821022324203,-0.23962558980449378,-0.22972055638141395,-0.29151601084884876,-0.35232928021822246,-0.28005470789707987,0.04375477102956193,286,0.29554652649794344,0.447019881103578,0.45671897324878563,0.2960138272508421,0.308192717284347,0.3606983850770992,0.07464188619929908,466
0.5561117649078369,0.03645312582786382,0.002931022644042969,0.0005025612690937692,10,5,2,100,1,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 100, 'smote__k_neighbors': 1}",-0.3331135496144059,-0.34510278494778107,-0.3286017031028919,-0.46611317910448197,-0.4714089575159437,-0.38886803485710086,0.06547641818331737,544,0.4578496737743406,0.27493246784788733,0.45630895422942974,0.29553388457955754,0.30186036857888454,0.3572970698020199,0.08195855778363989,484
