"Season","TeamName","Off_1","RankOff_1","Off_2","RankOff_2","Off_3","RankOff_3","Def_1","RankDef_1","Def_2","RankDef_2","Def_3","RankDef_3"
2019,"Elon",13.9210019267823,344,43.1599229287091,330,42.9190751445087,9,16.7602591792657,277,47.8617710583153,239,35.377969762419,70
2019,"Evansville",21.569571497352,42,42.7539720751083,333,35.6764564275397,85,20.3096539162113,88,53.7340619307832,32,25.9562841530055,336
2019,"FIU",20.0932598558711,108,50.2755404832556,139,29.6311996608732,244,19.0048939641109,148,52.6101141924959,61,28.3849918433931,295
2019,"Fairfield",14.0444015444015,340,48.4555984555985,204,37.5,50,21.1813567143516,58,49.4693124134749,183,29.3493308721735,274
2019,"Fairleigh Dickinson",19.4852941176471,136,49.0196078431373,179,31.4950980392157,190,16.5560165975104,287,50.7053941908714,116,32.7385892116183,145
2019,"Florida",17.827868852459,222,46.3934426229508,272,35.7786885245902,80,19.4844910441241,120,50.2402795980778,143,30.2752293577982,234
2019,"Florida A&M",16.0224089635854,302,56.5826330532213,14,27.3949579831933,293,22.7366255144033,25,50.4115226337449,133,26.8518518518519,326
2019,"Florida Atlantic",18.5542168674699,194,43.566265060241,324,37.8795180722892,46,18.4503631961259,178,49.0072639225182,197,32.5423728813559,154
2019,"Florida Gulf Coast",16.9981060606061,267,47.6325757575758,227,35.3693181818182,92,15.5785682125169,321,47.2760018009905,261,37.1454299864926,34
2019,"Florida St.",20.8949837603753,64,49.6571634788885,165,29.4478527607362,249,21.4084507042254,52,46.1167002012072,283,32.4748490945674,156
2019,"Fordham",15.2847152847153,321,45.7542457542458,292,38.961038961039,26,20.5952952472396,76,50.0240038406145,153,29.3807009121459,272
2019,"Fresno St.",16.5888841747985,288,41.4085702163768,341,42.0025456088248,10,20.2953787517866,89,48.6898523106241,207,31.0147689375893,203
2019,"Furman",13.953488372093,343,46.6871434839842,260,39.3593681439228,21,14.7761194029851,340,52.8358208955224,55,32.3880597014925,158
2019,"Gardner Webb",20.04158004158,110,48.8981288981289,184,31.0602910602911,199,16.4891350660418,291,45.930975713677,286,37.5798892202812,25
2019,"George Mason",19.6197061365601,128,53.1547104580812,69,27.2255834053587,296,16.9506334643949,268,51.9877675840979,76,31.0615989515072,200
2019,"George Washington",19.5994277539342,130,52.3605150214592,83,28.0400572246066,273,16.2563667232598,303,48.7266553480475,206,35.0169779286927,75
2019,"Georgetown",21.6380952380952,38,47.6190476190476,229,30.7428571428571,211,17.8183229813665,226,48.2919254658385,222,33.889751552795,111
2019,"Georgia",22.5153913808267,19,49.7801231310466,162,27.7044854881267,284,17.7664974619289,230,52.0304568527919,73,30.2030456852792,237
2019,"Georgia Southern",18.4231697506034,200,58.6484312148029,4,22.9283990345937,344,17.7759056444819,228,50.8845829823083,109,31.3395113732098,193
2019,"Georgia St.",17.8557033454252,221,44.1757355904877,310,37.9685610640871,42,17.7126341866226,232,45.4995871180842,302,36.7877786952931,38
2019,"Georgia Tech",19.3687230989957,141,55.3802008608321,27,25.2510760401722,326,20.7981220657277,69,50.0469483568075,150,29.1549295774648,279
