Team,Seed,Region,R32,S16,E8,F4,NCG,Winner
Duke,1,South,0.930947,0.68543,0.417821,0.229014,0.48796,0.086941
Mount Saint Mary's,16,South,0.069053,0.003311,0.013223,8.3e-05,0.004978,0.0
Mississippi State,8,South,0.417745,0.152318,0.060879,0.063537,0.006258,0.020157
Baylor,9,South,0.582255,0.15894,0.089159,0.025676,0.011524,0.000181
Oregon,5,South,0.566946,0.29582,0.095002,0.073905,0.004477,0.012596
Liberty,12,South,0.433054,0.073955,0.041155,0.091244,0.010372,0.0
Arizona,4,South,0.858626,0.546624,0.245691,0.035628,0.006105,0.024749
Akron,13,South,0.141374,0.083601,0.037069,0.004066,0.013191,0.0
BYU,6,South,0.568431,0.186335,0.104934,0.063782,0.003721,0.0
VCU,11,South,0.431569,0.186335,0.085256,0.089992,0.013187,0.014448
Wisconsin,3,South,0.877872,0.590062,0.346601,0.178211,0.025528,0.057559
Montana,14,South,0.122128,0.037267,0.013595,0.00012,0.004692,0.0
Saint Mary's,7,South,0.742871,0.407018,0.10242,0.112356,0.068834,0.00456
Vanderbilt,10,South,0.257129,0.073684,0.046664,0.002052,0.003453,0.0
Alabama,2,South,0.923295,0.487719,0.277246,0.023499,0.058577,0.068924
Robert Morris,15,South,0.076705,0.031579,0.023284,0.006835,0.003198,0.0
Florida,1,East,0.91049,0.715789,0.442489,0.167567,0.319951,0.083426
Norfolk State,16,East,0.08951,0.039474,0.033144,9e-06,0.003488,0.0
Connecticut,8,East,0.642319,0.176316,0.089019,0.109884,0.003001,0.000337
Oklahoma,9,East,0.357681,0.068421,0.070896,0.038647,0.006049,0.002764
Memphis,5,East,0.43339,0.168539,0.078353,0.152401,0.011949,0.02045
Colorado State,12,East,0.56661,0.17603,0.053424,0.00202,0.003282,0.0
Maryland,4,East,0.865895,0.610487,0.205778,0.109233,0.006891,0.033792
Grand Canyon,13,East,0.134105,0.044944,0.026898,0.001122,0.004965,0.0
Missouri,6,East,0.569478,0.261719,0.133202,0.023642,0.009601,0.014809
Drake,11,East,0.430522,0.191406,0.066092,0.111629,0.005134,0.0
Texas Tech,3,East,0.877512,0.476563,0.282221,0.147336,0.087678,0.043278
UNC Wilmington,14,East,0.122488,0.070312,0.051005,0.004175,0.004764,0.0
Kansas,7,East,0.630064,0.286207,0.108762,0.091228,0.024627,0.021417
Arkansas,10,East,0.369936,0.110345,0.0275,0.008811,0.002347,0.002015
Saint John's,2,East,0.93259,0.586207,0.310708,0.030475,0.007948,0.000405
Omaha,15,East,0.06741,0.017241,0.02051,0.001821,0.003704,0.0
Houston,1,Midwest,0.942533,0.570064,0.344989,0.196033,0.135628,0.066343
SIUE,16,Midwest,0.057467,0.022293,0.011713,0.000669,0.003092,0.0
Gonzaga,8,Midwest,0.586166,0.210191,0.163053,0.013583,0.020127,0.017428
Georgia,9,Midwest,0.413834,0.197452,0.044387,0.04901,0.004785,8.6e-05
Clemson,5,Midwest,0.772534,0.466463,0.151633,0.119984,0.005405,0.013045
McNeese,12,Midwest,0.227466,0.021341,0.038041,0.005069,0.001895,0.0
Purdue,4,Midwest,0.839018,0.445122,0.199558,0.155749,0.00696,0.013278
High Point,13,Midwest,0.160982,0.067073,0.046627,0.023991,0.017869,0.000174
Illinois,6,Midwest,0.627216,0.340824,0.111513,0.058586,0.012719,0.06993
Xavier,11,Midwest,0.372784,0.179775,0.072108,0.013153,0.003416,6.2e-05
Kentucky,3,Midwest,0.789387,0.449438,0.230621,0.075478,0.005087,0.031014
Troy,14,Midwest,0.210613,0.029963,0.005516,0.004036,0.001722,0.0
UCLA,7,Midwest,0.764169,0.320388,0.122361,0.012955,0.003559,0.001171
Utah State,10,Midwest,0.235831,0.080906,0.085065,0.078087,0.005276,0.011792
Tennessee,2,Midwest,0.889094,0.556634,0.3224,0.184822,0.03893,0.044799
Wofford,15,Midwest,0.110906,0.042071,0.050415,0.008794,0.007476,0.0
Auburn,1,West,0.86492,0.627717,0.453793,0.171773,0.312538,0.071455
Alabama State,16,West,0.13508,0.046196,0.01186,1.1e-05,0.007297,0.0
Louisville,8,West,0.536784,0.144022,0.077976,0.114124,0.004797,0.031037
Creighton,9,West,0.463216,0.182065,0.059137,0.122772,0.007085,0.01054
Michigan,5,West,0.551218,0.329412,0.092747,0.074044,0.004893,0.009236
UC San Diego,12,West,0.448782,0.164706,0.094991,0.067771,0.005277,0.0
Texas A&M,4,West,0.755028,0.427451,0.156153,0.025922,0.006428,4e-05
Yale,13,West,0.244972,0.078431,0.053344,0.00702,0.002198,0.0
Mississippi,6,West,0.590112,0.15655,0.081167,0.06046,0.010029,1e-06
North Carolina,11,West,0.409888,0.166134,0.070257,0.045371,0.00506,0.013639
Iowa State,3,West,0.884348,0.607029,0.307475,0.046688,0.093374,0.023375
Lipscomb,14,West,0.115652,0.070288,0.048262,0.06741,0.007321,0.0
Marquette,7,West,0.707663,0.265018,0.094584,0.091587,0.002367,0.003057
New Mexico,10,West,0.292337,0.155477,0.050874,0.023013,0.004997,0.007086
Michigan State,2,West,0.832161,0.40636,0.324486,0.080542,0.015943,0.048603
Bryant,15,West,0.167839,0.173145,0.022896,0.001492,0.005016,0.0
