Team,Seed,Region,R32,S16,E8,F4,NCG,Winner
Virginia,1,East,0.882279,0.731343,0.391519,0.04007,0.245283,0.0
Coastal Carolina,16,East,0.117721,0.074627,0.019952,1e-06,0.006699,0.0
Memphis,8,East,0.595204,0.149254,0.065026,0.000199,0.009999,0.0
George Washington,9,East,0.404796,0.044776,0.045414,0.000211,0.008787,0.0
Cincinnati,5,East,0.504214,0.137931,0.055723,0.000519,0.007177,3.1e-05
Harvard,12,East,0.495786,0.124138,0.109299,0.000622,0.013955,0.0
Michigan State,4,East,0.817289,0.658621,0.285554,0.000836,0.029049,3.9e-05
Delaware,13,East,0.182711,0.07931,0.027514,2.3e-05,0.019098,0.0
North Carolina,6,East,0.528236,0.20524,0.092216,0.000244,0.009608,0.0
Providence,11,East,0.471764,0.131004,0.062468,0.754136,0.015351,0.000413
Iowa State,3,East,0.78975,0.480349,0.239578,0.001034,0.041217,0.0
North Carolina Central,14,East,0.21025,0.183406,0.105522,0.000969,0.027109,0.0
Connecticut,7,East,0.574657,0.199248,0.098604,0.099159,0.011807,1.5e-05
Saint Joseph's,10,East,0.425343,0.109023,0.07482,1.7e-05,0.008676,0.0
Villanova,2,East,0.853497,0.578947,0.291393,0.002572,0.056141,2.8e-05
Milwaukee,15,East,0.146503,0.112782,0.035399,0.099388,0.022608,0.0
Arizona,1,South,0.879299,0.573892,0.423435,0.174223,0.162349,7e-06
Weber State,16,South,0.120701,0.08867,0.072087,0.000239,0.020038,0.0
Gonzaga,8,South,0.496064,0.23399,0.119305,0.00144,0.012724,0.000145
Oklahoma State,9,South,0.503936,0.103448,0.048302,5e-06,0.016953,2e-06
Oklahoma,5,South,0.59931,0.236967,0.090876,3e-06,0.019345,0.0
North Dakota State,12,South,0.40069,0.222749,0.056083,0.004,0.022056,0.0
San Diego State,4,South,0.793241,0.374408,0.126654,0.464043,0.030647,1.7e-05
New Mexico State,13,South,0.206759,0.165877,0.063258,0.000144,0.02625,0.0
Baylor,6,South,0.611155,0.34413,0.201529,0.028493,0.034077,5e-06
Nebraska,11,South,0.388845,0.080972,0.042867,3e-06,0.010514,0.0
Creighton,3,South,0.844187,0.421053,0.222979,0.005101,0.032875,0.0
Louisiana,14,South,0.155813,0.153846,0.024468,1e-06,0.018065,0.0
Oregon,7,South,0.546712,0.188889,0.147272,1.5e-05,0.015794,0.0
BYU,10,South,0.453288,0.181481,0.051055,0.043127,0.019344,0.005673
Wisconsin,2,South,0.872072,0.574074,0.282006,0.279095,0.060339,0.0
American,15,South,0.127928,0.055556,0.027825,6.8e-05,0.010098,0.0
Wichita State,1,Midwest,0.900676,0.610667,0.286235,0.130516,0.055272,0.013189
Cal Poly,16,Midwest,0.099324,0.061333,0.02444,9.5e-05,0.011359,0.0
Kentucky,8,Midwest,0.460186,0.272,0.147559,0.002551,0.04196,0.0
Kansas State,9,Midwest,0.539814,0.056,0.020834,0.000125,0.00627,0.0
Saint Louis,5,Midwest,0.649714,0.193452,0.119834,0.036686,0.027724,0.0
North Carolina State,12,Midwest,0.350286,0.145833,0.058648,2.8e-05,0.025154,1.5e-05
Louisville,4,Midwest,0.859688,0.613095,0.331378,0.811431,0.093204,0.82087
Manhattan,13,Midwest,0.140312,0.047619,0.011071,1.1e-05,0.010109,0.0
Massachusetts,6,Midwest,0.504272,0.167939,0.080331,0.000639,0.013207,0.0
Tennessee,11,Midwest,0.495728,0.251908,0.137791,0.000423,0.031575,0.0
Duke,3,Midwest,0.80979,0.496183,0.257822,0.00571,0.038768,0.0
Mercer,14,Midwest,0.19021,0.083969,0.035819,6e-06,0.015996,0.0
Texas,7,Midwest,0.480277,0.290909,0.121155,0.011148,0.036936,0.042962
Arizona State,10,Midwest,0.519723,0.203636,0.069989,0.000177,0.019641,0.0
Michigan,2,Midwest,0.778183,0.389091,0.24882,0.000336,0.034043,0.0
Wofford,15,Midwest,0.221817,0.116364,0.048273,0.000118,0.027314,0.0
Florida,1,West,0.867714,0.69863,0.40566,0.119308,0.122514,0.000143
Albany,16,West,0.132286,0.032877,0.018798,1.3e-05,0.01251,0.0
Colorado,8,West,0.325668,0.054795,0.056218,0.000248,0.01516,0.001177
Pittsburgh,9,West,0.674332,0.213699,0.105458,0.002335,0.010269,0.0
VCU,5,West,0.656371,0.339223,0.107603,0.001374,0.024989,0.0
Stephen F Austin,12,West,0.343629,0.102473,0.070145,2.3e-05,0.017757,0.0
UCLA,4,West,0.746437,0.466431,0.211589,0.063484,0.032061,0.115259
Tulsa,13,West,0.253563,0.091873,0.02453,0.000157,0.006848,0.0
Ohio State,6,West,0.620275,0.217009,0.062057,0.01797,0.015318,0.0
Dayton,11,West,0.379725,0.170088,0.072453,0.000228,0.007877,0.0
Syracuse,3,West,0.888839,0.521994,0.323502,0.720134,0.033136,1e-06
Western Michigan,14,West,0.111161,0.090909,0.0162,3.8e-05,0.016509,1e-06
New Mexico,7,West,0.450582,0.165323,0.093987,0.015992,0.018423,0.0
Stanford,10,West,0.549418,0.112903,0.043692,0.058494,0.0211,0.0
Kansas,2,West,0.849903,0.612903,0.333918,0.000202,0.098634,4e-06
Eastern Kentucky,15,West,0.150097,0.108871,0.054191,0.0,0.01433,0.0
