mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__activation,param_clf__alpha,param_clf__hidden_layer_sizes,param_smote__k_neighbors,params,split0_test_neg_log_loss,split1_test_neg_log_loss,split2_test_neg_log_loss,split3_test_neg_log_loss,split4_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision
0.33229761123657225,0.05690954724729029,0.002230930328369141,0.0008713986006713973,tanh,0.0001,"(160,)",1,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (160,), 'smote__k_neighbors': 1}",-0.37654616601327245,-0.32170794734161956,-0.36017571656214414,-0.20171739395761135,-0.21914318730052681,-0.29585808223503485,0.07219859384978061,111,0.5506213450292398,0.5596256684491978,0.4731505081972372,0.3578382969687317,0.2946245133851246,0.44717206640590623,0.10514154611055242,90
0.325175142288208,0.0949214765690423,0.0013854026794433594,0.0002710512197546595,tanh,0.0001,"(160,)",2,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (160,), 'smote__k_neighbors': 2}",-0.3779619575516017,-0.3132590475891309,-0.34426124427056665,-0.22120306629439068,-0.2120326665404816,-0.2937435964492343,0.06627883901074533,97,0.5765219765219766,0.5641123882503193,0.4699939425406715,0.3561544067282948,0.28755482456140347,0.450867507720533,0.11368453983291456,70
0.30802383422851565,0.0676577590175642,0.0021275997161865233,0.0018421901075095694,tanh,0.0001,"(160,)",3,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (160,), 'smote__k_neighbors': 3}",-0.361808722283732,-0.326654555362729,-0.3578019633503746,-0.22944595027657297,-0.19741203783563854,-0.2946246458218094,0.06816090109409889,106,0.5765219765219766,0.5596256684491978,0.4774193548387097,0.36360698125404,0.2878028404344194,0.4529953642996688,0.11180718220979873,59
0.32144923210144044,0.07330078384421226,0.0018908023834228516,0.0007554621043720508,tanh,0.0001,"(200,)",1,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (200,), 'smote__k_neighbors': 1}",-0.3860035315494379,-0.31450666851104975,-0.3735612085429996,-0.21361385890227522,-0.21041114048927353,-0.2996192815990072,0.07550669726885921,115,0.5548048048048048,0.5596256684491978,0.4756921009062642,0.35805142569848447,0.29488892375001086,0.44861258472175247,0.10598705583968641,80
0.33228240013122556,0.12418546492886424,0.001878213882446289,0.0011462263085284382,tanh,0.0001,"(200,)",2,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (200,), 'smote__k_neighbors': 2}",-0.3815752046520151,-0.3135721586679642,-0.3593483807661142,-0.21314652071308524,-0.20464660255967973,-0.29445777347177166,0.07327095426932753,103,0.5765219765219766,0.5656862745098039,0.4700821104122991,0.3561544067282948,0.28805885681946797,0.4513007249983684,0.11385770559353992,64
0.31459817886352537,0.07498253715771463,0.002138566970825195,0.0011060578408234266,tanh,0.0001,"(200,)",3,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (200,), 'smote__k_neighbors': 3}",-0.3652628736728027,-0.3273247376733152,-0.3534652525092337,-0.2080997862819751,-0.21328912485557758,-0.29348835499858084,0.06872675569446232,91,0.5765219765219766,0.5618876941457587,0.47719298245614034,0.3485645491459445,0.25977704678362573,0.44478884981068917,0.1229668793846449,99
0.32803049087524416,0.06903087399080554,0.0015295982360839845,0.0005128414028934245,tanh,0.0001,"(240,)",1,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (240,), 'smote__k_neighbors': 1}",-0.3751574948121234,-0.3171289403346195,-0.36437878372505644,-0.22398811287687082,-0.22538182614540478,-0.301207031578815,0.06546002084416343,120,0.5506213450292398,0.5596256684491978,0.4736086353733413,0.35805142569848447,0.29914529914529914,0.44821047473911246,0.10382242436522467,83
0.37311639785766604,0.15055721704083058,0.001720762252807617,0.0008920502885399692,tanh,0.0001,"(240,)",2,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (240,), 'smote__k_neighbors': 2}",-0.37197328042115824,-0.325032721728175,-0.3449106758071398,-0.2165684907996229,-0.21242290952845452,-0.29418161565691003,0.0667608486678401,100,0.5548048048048048,0.5585503996319936,0.4715917722480479,0.35637389750968196,0.29488892375001086,0.4472419595889078,0.10584961039858552,86
0.3121664524078369,0.0665360403304975,0.0020417690277099608,0.0007959865176866582,tanh,0.0001,"(240,)",3,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (240,), 'smote__k_neighbors': 3}",-0.3462738917542129,-0.2988302529477898,-0.3377917836320838,-0.2216468428253532,-0.20588279481770747,-0.2820851131954295,0.058246733781043517,84,0.5765219765219766,0.5656862745098039,0.4776556776556776,0.3532928424232772,0.25553613053613056,0.44573858032937314,0.12428486112553207,94
1.4962013721466065,0.3287260473555837,0.001788330078125,0.0008078845183625934,tanh,0.0001,"(40, 20)",1,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (40, 20), 'smote__k_neighbors': 1}",-0.15145405431099088,-0.20488003930714718,-0.1859589412884044,-0.2176946230853349,-0.24287676565318295,-0.20057288472901208,0.030749148575752012,4,0.723715651135006,0.3978408029878618,0.3831094831094831,0.22199634298003718,0.3310702341137124,0.4115465028652201,0.16784026952901576,119
