mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__class_weight,param_clf__criterion,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,param_smote__k_neighbors,params,split0_test_neg_log_loss,split1_test_neg_log_loss,split2_test_neg_log_loss,split3_test_neg_log_loss,split4_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision
0.06313767433166503,0.023108696302716326,0.0031280040740966795,0.0017195471985329963,balanced,gini,5,1,4,50,1,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__n_estimators': 50, 'smote__k_neighbors': 1}",-0.17979678029331894,-0.19459683537513536,-0.19654062657127827,-0.16021490265846625,-0.16724430773002433,-0.1796786905256446,0.014424581739497294,1162,0.35073953823953824,0.3143947518947519,0.19725193107546052,0.16533201453936525,0.18497501806044903,0.242538650761913,0.0750946799547181,2275
0.050442743301391604,0.007387877009047039,0.0017811775207519532,0.0001161931324728034,balanced,gini,5,1,4,50,2,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__n_estimators': 50, 'smote__k_neighbors': 2}",-0.1903160221945838,-0.23365032738354108,-0.20725462920542362,-0.15291809336158213,-0.1641845931758191,-0.18966473306418993,0.029134564316569113,1361,0.5371496116176967,0.31666666666666665,0.1898989898989899,0.19238567945464496,0.16460431241793838,0.28014105201118733,0.13898265619825426,2027
0.06304469108581542,0.021955019386735063,0.0019683361053466795,0.0005126819855442343,balanced,gini,5,1,4,50,3,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__n_estimators': 50, 'smote__k_neighbors': 3}",-0.19882231430732325,-0.2478382645733461,-0.25594327602300015,-0.17764120345816,-0.16133685140256762,-0.20831638195287944,0.03759915007417434,1683,0.537608225108225,0.3841861629217951,0.19747669417820823,0.16953812713306385,0.1640749601275917,0.29057683389377675,0.1477213209676529,1871
0.10103302001953125,0.006561840877508281,0.004472160339355468,0.0017358681078894508,balanced,gini,5,1,4,100,1,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__n_estimators': 100, 'smote__k_neighbors': 1}",-0.1823546046269624,-0.1971553124900597,-0.19275576972412867,-0.15260259861823464,-0.1690995171702175,-0.1787935605259206,0.016277095675880048,1144,0.3598970473970474,0.2854970193205487,0.19447415329768275,0.1907251234039453,0.1694094304388422,0.2400005547716133,0.07201239536709403,2285
0.10707077980041504,0.00773078102716076,0.003761005401611328,0.0015982756900681907,balanced,gini,5,1,4,100,2,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__n_estimators': 100, 'smote__k_neighbors': 2}",-0.19483340930518622,-0.23180043960300786,-0.20205885666166767,-0.1549397120658933,-0.16483153295738243,-0.1896927901186275,0.027489118771777846,1362,0.5465367965367965,0.3255409410140868,0.19175084175084178,0.18336046669380002,0.17327876465807499,0.28409356213072,0.14251216815709986,1962
0.10661821365356446,0.0023879345909142667,0.003595924377441406,0.0022335637565022008,balanced,gini,5,1,4,100,3,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__n_estimators': 100, 'smote__k_neighbors': 3}",-0.1971848743743533,-0.2411009018159207,-0.2535602611514762,-0.17754684836786147,-0.16384724677022086,-0.20664802649596647,0.03508873021309891,1654,0.5142807122849139,0.3732043318999841,0.17733499377334994,0.29690704032809295,0.16328268152676623,0.3050019519626214,0.13030571405099547,1643
0.15347609519958497,0.003480095024954253,0.00572657585144043,0.0025399208086751652,balanced,gini,5,1,4,150,1,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__n_estimators': 150, 'smote__k_neighbors': 1}",-0.17875867210063445,-0.19595700685065798,-0.19903517766653056,-0.1512910516720029,-0.17108060861089222,-0.17922450338014362,0.017431335193821076,1154,0.49010989010989015,0.24108309990662932,0.19656401745651242,0.18180697645753727,0.15689955469367234,0.2532927077248483,0.12153307897156196,2232
0.15860424041748047,0.008674132462329733,0.004906988143920899,0.0033138341873154903,balanced,gini,5,1,4,150,2,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__n_estimators': 150, 'smote__k_neighbors': 2}",-0.19611480743934764,-0.2279134153831833,-0.20150286352141164,-0.14997213955849767,-0.16439548501467122,-0.1879797421834223,0.027729217068505275,1343,0.5538003663003663,0.32656646952421603,0.18977334620716974,0.3253706692972229,0.16658439816334553,0.31241904989846414,0.13779880123982846,1503
0.1579672336578369,0.009109384557863438,0.003294086456298828,0.00011561492896526022,balanced,gini,5,1,4,150,3,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__n_estimators': 150, 'smote__k_neighbors': 3}",-0.20108420549993636,-0.24383854789848614,-0.25365450868622746,-0.17733614267483364,-0.16238632369907754,-0.20765994569171223,0.03587998138098899,1670,0.5265522875816993,0.3599619334913452,0.17728015448603685,0.1760629307799119,0.1582979357627245,0.2796310484203436,0.1437685182181345,2035
0.1997861385345459,0.007041625735524557,0.006064462661743164,0.001821529799068281,balanced,gini,5,1,4,200,1,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__n_estimators': 200, 'smote__k_neighbors': 1}",-0.17785516427063805,-0.19660790301751252,-0.1973142760131402,-0.15054293595626786,-0.1659698282510016,-0.17765802150171206,0.017985254748014916,1103,0.4786967418546366,0.2402894491129785,0.19598930481283422,0.18522408963585435,0.18996130666422648,0.25803217841610604,0.11206394026491015,2213
