Year,Team,Conf,Round,Wins,Conf Tourney,Region,Seed,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,Off_1,RankOff_1,Off_2,RankOff_2,Off_3,RankOff_3,Def_1,RankDef_1,Def_2,RankDef_2,Def_3,RankDef_3,R32_Actual,S16_Actual,E8_Actual,F4_Actual,NCG_Actual,Winner_Actual,First_Year
2006,Texas A&M,Big 12,2,21,0,West,12,65.5277,227,62.8202,257,104.75,109,106.596,99,91.747,15,90.7951,10,15.8005,31,22.3944,58,49.0141,248,28.5915,138,27.0733,3,47.084,299,25.8427,233,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,LSU,SEC,5,23,0,West,4,69.6427,71,67.0837,86,106.801,67,111.476,39,93.9086,33,91.2092,11,20.2666,13,20.5629,146,62.7834,2,16.6536,334,15.3709,322,54.1093,85,30.5198,84,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Iona,MAAC,1,23,1,West,13,71.9994,28,69.0528,36,111.44,15,109.77,63,99.8496,124,98.2748,91,11.4947,66,20.8889,129,55.3535,66,23.7576,272,20.5094,155,52.815,131,26.6756,211,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,West Virginia,Big East,3,20,0,West,6,63.7773,283,61.7855,280,109.939,30,115.841,14,101.677,163,97.8497,86,17.9911,20,14.0826,333,42.7366,325,43.1808,4,12.6699,334,58.3495,13,28.9806,131,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Southern Illinois,MVC,1,22,1,West,11,61.7381,318,60.1962,311,97.1214,242,103.568,157,88.4421,4,88.8149,3,14.7533,44,20.2073,168,51.8135,178,27.9793,162,25.8929,9,49.6652,242,24.442,275,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Iowa,Big Ten,1,25,1,West,3,66.1966,203,64.5806,180,98.9323,210,104.054,145,87.7591,3,84.7443,1,19.3097,15,22.2272,64,52.3514,157,25.4215,234,16.4254,304,52.1218,156,31.4528,60,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Northwestern State,Southland,2,25,1,West,14,70.2234,58,67.2275,78,106.708,70,106.895,96,98.0041,87,99.6838,113,7.21097,98,20.6048,142,52.6998,141,26.6955,195,23.1378,45,52.1415,152,24.7207,268,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,California,Pac-10,1,20,0,West,7,64.1661,274,61.715,282,105.487,94,110.331,51,99.3147,115,96.9581,69,13.3727,50,24.6711,11,51.5038,192,23.8252,270,18.4,247,51.9,163,29.7,109,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,North Carolina State,ACC,2,21,0,West,10,67.1868,158,63.9921,214,110.473,29,113.287,23,98.6248,95,96.6036,61,16.6834,23,21.3596,102,42.3836,327,36.2568,17,20.4914,157,53.7784,96,25.7302,237,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Texas,Big 12,4,27,0,West,2,66.7989,180,63.5205,233,113.877,6,118.329,3,90.4525,10,91.9877,17,26.3414,2,19.6332,192,51.3484,199,29.0183,131,16.7265,295,50.0448,229,33.2287,23,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Penn,Ivy,1,20,0,West,15,65.3428,235,64.1402,208,103.913,133,101.536,191,90.4078,9,94.3154,36,7.22088,97,18.7467,237,51.8016,179,29.4517,120,20.3924,163,52.6754,139,26.9322,203,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Memphis,CUSA,4,30,1,East,1,74.0205,9,71.0562,12,109.287,36,112.334,30,88.929,5,90.0369,5,22.2972,10,20.8038,134,51.1314,206,28.0648,159,26.2288,5,49.4837,249,24.2875,280,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Oral Roberts,Mid-Cont,1,21,1,East,16,68.8336,104,66.538,104,108.22,49,106.189,108,98.3572,92,100.139,118,6.0496,109,21.3266,104,52.225,161,26.4484,203,18.7614,231,56.9217,26,24.3169,278,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Arkansas,SEC,1,22,0,East,8,68.5258,113,65.6813,128,107.964,53,111.988,32,94.3345,37,93.8808,33,18.107,19,21.1106,115,56.1255,54,22.7639,293,17.2745,281,51.0557,193,31.6699,56,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Bucknell,Patriot,2,26,1,East,9,63.0613,301,61.6852,283,104.722,111,105.571,122,87.6654,2,92.9644,23,12.6066,57,22.1786,67,50.1472,228,27.6742,171,22.6881,59,45.606,320,31.7059,55,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Pittsburgh,Big East,2,24,0,East,5,66.1915,204,64.3893,187,108.38,45,111.569,37,93.853,32,90.0027,4,21.5662,12,21.1209,114,53.0322,130,25.8469,225,18.1556,256,49.5677,245,32.2767,39,0.0,0.0,0.0,0.0,0.0,0.0,1
