Feature,Importance,Importance_Normalized,Baseline_Loss
S16_Actual_6,0.7376839208119115,1.0,0.4056136431417652
Seed,0.6212573811975421,0.8421728651937707,0.4056136431417652
S16_Actual_Full,0.5504180587973626,0.7461434948881089,0.4056136431417652
Region_East,0.5007759898127351,0.6788489970902033,0.4056136431417652
Conf_Pac-12,0.4923281074153911,0.6673970972195297,0.4056136431417652
S16_AdjEM_Avg,0.3853030976099236,0.5223146211264174,0.4056136431417652
S16_AdjDE_Avg,0.36852056171378883,0.4995643138163928,0.4056136431417652
R32_AdjDE_Avg,0.3257934406843177,0.44164367894279455,0.4056136431417652
S16_Pts2Rank_Avg,0.3127023806833797,0.4238975147231248,0.4056136431417652
S16_Actual_12,0.29961969585778425,0.40616270384206843,0.4056136431417652
Region_West,0.2977287351208386,0.40359932854867114,0.4056136431417652
DR4Rank,0.29228877522243696,0.3962249507902211,0.4056136431417652
DR1Rank,0.2874119653834639,0.38961397595210134,0.4056136431417652
Conf_Big 12,0.26526366942081403,0.35958987574089846,0.4056136431417652
DR4Rank_Seed_Avg,0.2478125907036305,0.33593329570052494,0.4056136431417652
Pts2Rank,0.23450978840967687,0.31790009486931764,0.4056136431417652
Pts2Rank_Seed_Avg,0.22260715968016137,0.3017649611166188,0.4056136431417652
Conf_WCC,0.20955661078206825,0.2840737135105582,0.4056136431417652
S16_DE_Avg,0.19532756326646408,0.26478490008496075,0.4056136431417652
Conf_Big East,0.1946452861535153,0.26386000922899927,0.4056136431417652
AdjDE,0.19340989531843494,0.26218532065273115,0.4056136431417652
RankAdjEM,0.1880721346944791,0.2549494836318008,0.4056136431417652
BenchRank_Seed_Avg,0.1868169856390546,0.25324801092782345,0.4056136431417652
R32_OR4Rank_Avg,0.1788386902112166,0.24243268040108928,0.4056136431417652
RankAdjEM_Seed_Avg,0.1750023320541916,0.23723213576565436,0.4056136431417652
S16_BenchRank_Avg,0.16481676661720826,0.22342464294979783,0.4056136431417652
R32_OR1Rank_Avg,0.16225507894486269,0.21995203415343675,0.4056136431417652
R32_Pts2Rank_Avg,0.16081346390663614,0.2179977892559204,0.4056136431417652
S16_RankDef_2_Avg,0.15028509362039175,0.20372559219534647,0.4056136431417652
S16_Pts2_Avg,0.1483980862862124,0.2011675761115711,0.4056136431417652
S16_Bench_Avg,0.14790083220978217,0.20049350139962274,0.4056136431417652
Bench_Seed_Avg,0.1475239313667278,0.19998257682553208,0.4056136431417652
RankAdjDE,0.1423714497900635,0.1929979029953185,0.4056136431417652
DE,0.14008527542607577,0.18989877842517533,0.4056136431417652
Conf_ACC,0.13747088643867578,0.18635472803497227,0.4056136431417652
BenchRank,0.13668076373953345,0.18528364233437478,0.4056136431417652
RankDef_2,0.13618278541839202,0.18460858584054018,0.4056136431417652
Bench,0.13594319165660043,0.184283793941148,0.4056136431417652
Conf_A-10,0.1289984062297652,0.17486948351508957,0.4056136431417652
Hgt4Rank,0.12356752144469421,0.16750740792708757,0.4056136431417652
Conf_OVC,0.12058086399485436,0.16345871259080766,0.4056136431417652
R32_Bench_Avg,0.10684975622402851,0.14484490336515302,0.4056136431417652
Hgt5Rank_Seed_Avg,0.10242523098716796,0.13884704288313138,0.4056136431417652
AdjEM_Seed_Avg,0.10206530529841323,0.1383591297287297,0.4056136431417652
R32_DR4Rank_Avg,0.10008494369060562,0.13567456313870838,0.4056136431417652
R32_AdjEM_Avg,0.0994022454441491,0.13474910139663174,0.4056136431417652
S16_Hgt4Rank_Avg,0.09417233508616492,0.12765946556421717,0.4056136431417652
Pts3Rank,0.09343335761597475,0.1266577120362606,0.4056136431417652
DR4_Seed_Avg,0.08731463622683627,0.11836320917871684,0.4056136431417652
R32_DR5Rank_Avg,0.08454290454582261,0.11460586595512723,0.4056136431417652
R32_BenchRank_Avg,0.08422365669204619,0.11417309543543765,0.4056136431417652
Pts4Rank,0.08279910347725664,0.11224197944578497,0.4056136431417652
Pts5Rank,0.08254035665912463,0.11189122377546044,0.4056136431417652
RankDef_1,0.08236970310199107,0.11165988681349205,0.4056136431417652
S16_RankOff_3_Avg,0.07929194570759501,0.10748769692624521,0.4056136431417652
S16_Pts1_Avg,0.0719046439259607,0.09747351392290188,0.4056136431417652
Pts2,0.07148112698434184,0.09689939683878171,0.4056136431417652
S16_RankDef_1_Avg,0.06985322479051567,0.09469262216483403,0.4056136431417652
Hgt5_Seed_Avg,0.06924964508852192,0.09387441305797233,0.4056136431417652
R32_RankAdjOE_Avg,0.06819716116010169,0.09244767201248248,0.4056136431417652
R32_RankDef_2_Avg,0.06772972577754018,0.09181401934719591,0.4056136431417652
R32_OR1_Avg,0.06732934825668244,0.09127126992625546,0.4056136431417652
S16_RankAdjTempo_Avg,0.0644778384499137,0.0874057799429164,0.4056136431417652
R32_Actual_12,0.062461778021993805,0.0846728202415568,0.4056136431417652
Conf_Southland,0.06174463117283901,0.08370066017554169,0.4056136431417652
S16_RankOff_2_Avg,0.06018736222454968,0.08158963551531138,0.4056136431417652
S16_AdjTempo_Avg,0.05907578285877067,0.08008278504125525,0.4056136431417652
RankAdjTempo,0.058515477872021965,0.07932323888477671,0.4056136431417652
Hgt2,0.05829179261773512,0.07902001246492925,0.4056136431417652
DR4,0.05528017200580985,0.07493747721241809,0.4056136431417652
RankDef_2_Seed_Avg,0.055050848135001565,0.07462660711705817,0.4056136431417652
Pts4,0.05460708629771427,0.07402504617101113,0.4056136431417652
R32_DR1Rank_Avg,0.053991008818887465,0.07318989515111533,0.4056136431417652
