mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__activation,param_clf__alpha,param_clf__hidden_layer_sizes,param_clf__learning_rate,param_clf__max_iter,param_clf__solver,param_smote__k_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.838457536697388,1.3858358644713429,0.0015863418579101563,0.000756951595922136,tanh,1e-05,"(200,)",constant,10000,adam,3,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (200,), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 3}",-0.5156009584074068,-0.5288336954048863,-0.5441054624334692,-0.5591837249101173,-0.5644641639284139,-0.5424376010168588,0.0182956581477518,376
3.4343358516693114,2.5364109028736785,0.0012753963470458984,0.0006270532933152583,tanh,1e-05,"(200,)",constant,10000,adam,4,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (200,), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 4}",-0.5236383834019307,-0.4601249622026404,-0.5239653960083795,-0.5262182846089055,-0.6675389055502913,-0.5402971863544295,0.06835276028872703,368
2.660392999649048,2.1347198192842796,0.0015697479248046875,0.000741893494550169,tanh,1e-05,"(200,)",constant,10000,adam,5,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (200,), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 5}",-0.5764244473483343,-0.45661884372846856,-0.5333345195002206,-0.5318604480593724,-0.5110393143082311,-0.5218555145889254,0.03894213164034596,319
4.0975573539733885,2.181407771930468,0.0010240554809570312,2.1113388777111886e-05,tanh,1e-05,"(240,)",constant,10000,adam,3,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (240,), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 3}",-0.5340378726084337,-0.47925615717098086,-0.5927833046841351,-0.5292163794707225,-0.542564507952815,-0.5355716443774174,0.036155912830980484,360
1.9321813106536865,2.138941336623892,0.0009982585906982422,2.0712524009069735e-05,tanh,1e-05,"(240,)",constant,10000,adam,4,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (240,), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 4}",-0.5478747607781104,-0.45650115466002256,-0.5240502005461906,-0.522812811170874,-0.5039656793929392,-0.5110409213096274,0.030624159291393376,292
2.1292092323303224,2.1747176592394966,0.001621580123901367,0.0007611384681955997,tanh,1e-05,"(240,)",constant,10000,adam,5,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (240,), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 5}",-0.5272980736480706,-0.46752930783242136,-0.47472531689993613,-0.526110407416871,-0.5424135909180676,-0.5076153393430733,0.03042709116571996,284
3.0796103954315184,0.709222144560536,0.001116037368774414,0.0005386787399023083,tanh,1e-05,"(40, 20)",constant,10000,adam,3,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (40, 20), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 3}",-0.6318443498593668,-0.7195869593314949,-0.5658120121467834,-0.6344748569841431,-0.6905762007063512,-0.6484588758056279,0.05316986486783287,509
3.4470662117004394,0.5352242725849432,0.0012800216674804688,0.0005460028122419329,tanh,1e-05,"(40, 20)",constant,10000,adam,4,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (40, 20), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 4}",-0.5997494382385613,-0.6761021352661717,-0.6057542842990026,-0.696346422754394,-0.872457840807725,-0.6900820242731709,0.09875906264285421,519
4.190126991271972,0.5542067040797882,0.0008250236511230469,7.271727577479648e-06,tanh,1e-05,"(40, 20)",constant,10000,adam,5,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (40, 20), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 5}",-0.7871858710948455,-0.830446267461307,-0.7130021983855991,-0.7994438043094481,-0.7975071601706349,-0.785517060284367,0.0390321418261662,570
3.7483843326568604,0.6189438472515117,0.0011609554290771484,0.0004625573495450707,tanh,1e-05,"(60, 30)",constant,10000,adam,3,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (60, 30), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 3}",-0.6583448737000709,-0.6778662747397063,-0.7114654921937107,-0.6584829579057198,-0.6539785142368214,-0.6720276225552058,0.021381680423875872,515
4.276941013336182,0.21108685830934518,0.0013971328735351562,0.0006205818990970808,tanh,1e-05,"(60, 30)",constant,10000,adam,4,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (60, 30), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 4}",-0.7071104826424827,-0.9144879088058994,-0.6033685595363826,-0.7463152885174092,-0.7511617799900766,-0.7444888038984501,0.10025928644673332,538
4.6441810607910154,0.26276397745468444,0.0011795997619628907,0.0003755109908049013,tanh,1e-05,"(60, 30)",constant,10000,adam,5,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (60, 30), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 5}",-0.8836462913807339,-0.8452797323339208,-0.7565557610574327,-0.7321485167913484,-0.7155813279736236,-0.7866423259074119,0.06598872145112811,573
4.751262903213501,0.7883562369611998,0.0016195297241210938,0.0006166423653855186,tanh,1e-05,"(80, 40)",constant,10000,adam,3,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (80, 40), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 3}",-0.7541741658064002,-0.7599915511426452,-0.752637299780809,-0.7378387435346768,-0.6869157024413903,-0.7383114925411843,0.026715646459533362,533
5.26840763092041,0.6422483619918817,0.0009168624877929687,8.883259975894441e-06,tanh,1e-05,"(80, 40)",constant,10000,adam,4,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (80, 40), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 4}",-0.8317447871582023,-0.8293088645563446,-0.9094508661195809,-0.755897748767878,-0.8564726760398721,-0.8365749885283755,0.049581762617356945,610
5.571312427520752,0.49802453022856624,0.0015107154846191405,0.000703075403124719,tanh,1e-05,"(80, 40)",constant,10000,adam,5,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (80, 40), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 5}",-0.909740415021878,-0.8817853202533765,-0.8129851477672435,-0.8053747347006152,-0.925333874007551,-0.8670438983501327,0.049322322689805416,633
6.296781826019287,0.6593310579795534,0.0011551856994628906,0.00030696535665676155,tanh,1e-05,"(120, 60)",constant,10000,adam,3,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (120, 60), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 3}",-0.8698422049229384,-0.8500260576104685,-0.9195444801812794,-0.8000411556022983,-0.6707713129328505,-0.822045042249967,0.08478391190104952,597
6.540365505218506,0.6413652572457048,0.0016834735870361328,0.0005964509926282612,tanh,1e-05,"(120, 60)",constant,10000,adam,4,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (120, 60), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 4}",-0.8077357786396423,-0.900819436924596,-0.7848264502182034,-0.8729543347413355,-0.8959874795156563,-0.8524646960078867,0.047387439878631026,625
7.042447948455811,0.7301879183351052,0.001289224624633789,0.0005201567075535495,tanh,1e-05,"(120, 60)",constant,10000,adam,5,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (120, 60), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 5}",-0.9115831448780201,-1.027247239647821,-0.8897462058902281,-0.7727508009700133,-0.8539370823812353,-0.8910528947534635,0.0828795114714898,651
7.024153137207032,0.316406325191627,0.001963901519775391,0.001085493721911828,tanh,1e-05,"(160, 80)",constant,10000,adam,3,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (160, 80), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 3}",-0.8186749547961799,-0.8124107804240275,-0.70611849167752,-0.6574796365726683,-0.8309129417148062,-0.7651193610370404,0.07000126869832675,553
8.180021238327026,1.0679371016322845,0.001896810531616211,0.0009877827084148866,tanh,1e-05,"(160, 80)",constant,10000,adam,4,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (160, 80), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 4}",-0.8175275673927485,-0.9320944356085433,-1.1000758773313253,-0.9113272121690922,-0.898108586052938,-0.9318267357109293,0.09265990425126082,665
8.543218231201172,0.9387624317179137,0.001490020751953125,0.0007388920128915477,tanh,1e-05,"(160, 80)",constant,10000,adam,5,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (160, 80), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 5}",-0.9107111258669377,-1.0567343565000227,-0.9939611685676158,-0.8298735170613081,-0.8711235057509575,-0.9324807347493683,0.08244473640394152,666
9.737845087051392,3.2240890513422515,0.00160980224609375,0.0007962897861054681,tanh,1e-05,"(200, 100)",constant,10000,adam,3,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (200, 100), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 3}",-1.0462816284865282,-0.8570041556557823,-1.02179578752033,-0.7696785390812421,-0.6742948142852757,-0.8738109850058317,0.143232931146391,636
10.243320798873901,3.3056628180080336,0.0021268844604492186,0.0011061252250213812,tanh,1e-05,"(200, 100)",constant,10000,adam,4,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (200, 100), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 4}",-0.9021126811590653,-0.9107928786143619,-0.8609261400245259,-0.7856249438337143,-1.0260563790999166,-0.8971026045463167,0.07820179776270487,653
9.821673440933228,1.1600387553216118,0.0012388229370117188,2.4527698788415676e-05,tanh,1e-05,"(200, 100)",constant,10000,adam,5,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (200, 100), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 5}",-0.9241482989661831,-1.196183442218909,-0.9182822858934848,-0.6635839385821443,-0.8726878239946944,-0.9149771579310831,0.16979926178938837,658
10.354063749313354,1.2340775509505462,0.001987266540527344,0.0009453561221121208,tanh,1e-05,"(240, 120)",constant,10000,adam,3,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (240, 120), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 3}",-0.9014297020260793,-0.9381010878422207,-0.8677295329439799,-0.7077044264628919,-0.8188991848355873,-0.8467727868221517,0.0798553300607477,623
12.321389102935791,1.9259083863388846,0.0022600173950195314,0.0010587822271300284,tanh,1e-05,"(240, 120)",constant,10000,adam,4,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (240, 120), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 4}",-0.8599972244023729,-0.9097085861535343,-0.8742961591585535,-0.8149862443127193,-0.8848963965115645,-0.868776922107749,0.03142044131988526,635
10.835965394973755,2.2137345045486247,0.0015790462493896484,0.000784093876458433,tanh,1e-05,"(240, 120)",constant,10000,adam,5,"{'clf__activation': 'tanh', 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (240, 120), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 5}",-0.8340065226484503,-1.0658946157313036,-0.9579110829249619,-0.8062897889317102,-1.0222813453194657,-0.9372766711111783,0.10199650595297394,667
2.0677281856536864,0.8019980420441526,0.0010776519775390625,0.0004275052421424217,tanh,0.0001,"(40,)",constant,10000,adam,3,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (40,), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 3}",-0.5127970701992994,-0.5039497182302455,-0.5071130666980076,-0.5244159082307126,-0.5679096162101741,-0.523237075913688,0.02340087631301742,322
1.898987627029419,1.115220781283867,0.001064157485961914,0.00045476739000170543,tanh,0.0001,"(40,)",constant,10000,adam,4,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (40,), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 4}",-0.53293085481968,-0.5105695724845151,-0.524283959652739,-0.5225068046646072,-0.5856264400435189,-0.535183526333012,0.026210336215640135,357
