mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,param_smote__k_neighbors,params,split0_test_neg_log_loss,split1_test_neg_log_loss,split2_test_neg_log_loss,split3_test_neg_log_loss,split4_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision
0.04771738052368164,0.00847559245339593,0.001885223388671875,0.0008007334658202865,15,5,2,10,1,"{'clf__max_depth': 15, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 10, 'smote__k_neighbors': 1}",-0.3984049561635068,-0.3931969731915836,-0.38093478449619256,-0.42785962756927276,-0.39686535341650014,-0.39945233896741117,0.015471218279579252,193,0.3865895362443741,0.5420845864730124,0.48608995132676014,0.39239028954933375,0.3510435240032875,0.4316395775193536,0.07103334411096746,574
0.06178092956542969,0.005264205657792593,0.0020285606384277343,0.000978392970725413,15,5,2,10,2,"{'clf__max_depth': 15, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 10, 'smote__k_neighbors': 2}",-0.3865189652853403,-0.4122717878319404,-0.4059610405993436,-0.4166036418744065,-0.4085054986385425,-0.4059721868459147,0.01036878421579171,232,0.515108248073931,0.580607194830754,0.47131454000783923,0.38951579803945846,0.3542676201535931,0.46216268022111506,0.08226178482334992,529
0.06363215446472167,0.0036284697215685693,0.0020578861236572265,0.0009900439435197072,15,5,2,10,3,"{'clf__max_depth': 15, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 10, 'smote__k_neighbors': 3}",-0.3915535523243498,-0.4084114590316557,-0.3946486305194255,-0.42939014466072395,-0.41396995706577755,-0.4075947487203865,0.013720579722921549,244,0.4701474595767183,0.5132607715033364,0.47276137515838934,0.4309731998032882,0.3098913476545549,0.43940683073925746,0.06979584937593705,562
0.16284594535827637,0.005620386342632642,0.0017959117889404298,0.00039516668243602644,15,5,2,25,1,"{'clf__max_depth': 15, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 25, 'smote__k_neighbors': 1}",-0.361456546531576,-0.3428674462045643,-0.33771201323515515,-0.4102296949438187,-0.3638825552634078,-0.3632296512357044,0.025606028725216702,67,0.44587875347227507,0.5611926243902174,0.5307787470317726,0.399915283758332,0.37798587341130796,0.46315025641278107,0.07174379049713013,526
0.16032905578613282,0.005224023403153205,0.0027199745178222655,0.0005636477948372666,15,5,2,25,2,"{'clf__max_depth': 15, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 25, 'smote__k_neighbors': 2}",-0.34426689485774015,-0.3657321057970357,-0.3573118118995542,-0.40751823462816045,-0.3872355217775325,-0.3724129137920046,0.022436435163286778,103,0.5077224973296528,0.6021333009619058,0.5529600257169697,0.43933678176094476,0.35166212442091765,0.49076294603807813,0.08781019075629101,292
0.16180639266967772,0.008316148985523124,0.002185821533203125,0.0004863380203849562,15,5,2,25,3,"{'clf__max_depth': 15, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 25, 'smote__k_neighbors': 3}",-0.367822360786005,-0.3635470064991558,-0.3321416171164135,-0.407545055153039,-0.4074189785503359,-0.37569500362098984,0.028730771598438856,121,0.45527200872279866,0.564609530851737,0.6333078939555261,0.5040306432709492,0.34412943627099907,0.500269902614402,0.09824204166923714,145
0.33756003379821775,0.008042713461967037,0.0031319618225097655,0.0012105762985379384,15,5,2,50,1,"{'clf__max_depth': 15, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 50, 'smote__k_neighbors': 1}",-0.4219519250744283,-0.3832142999448658,-0.402639302157892,-0.5569585946478702,-0.49906202105744946,-0.45276522857650114,0.06526722052127519,406,0.4715131647038271,0.6436454573756927,0.5579311529336405,0.39117123845184687,0.3540696952719266,0.48366614174738676,0.10640198705018143,418
0.3404688358306885,0.008826763271929617,0.002460289001464844,0.0007711736328749095,15,5,2,50,2,"{'clf__max_depth': 15, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 50, 'smote__k_neighbors': 2}",-0.4228401798517784,-0.3916922749472735,-0.39869814690582733,-0.5290781066737636,-0.5011562167552245,-0.44869298502677346,0.05591259391106378,397,0.4841184417213815,0.6653421416338438,0.6162476430075255,0.39850777770430196,0.37399305557943185,0.5076418119292969,0.11574990019791992,76
0.3215074062347412,0.023343359003936998,0.0028279781341552734,0.0009868322070390734,15,5,2,50,3,"{'clf__max_depth': 15, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 50, 'smote__k_neighbors': 3}",-0.4258852227184184,-0.4240537816135748,-0.37976947214637535,-0.5286179191082617,-0.5499884573280293,-0.46166297058293193,0.06585651093727292,424,0.5036453439084754,0.5974727211619609,0.6199170528198963,0.44783201357381863,0.3366202557902754,0.5010974774508854,0.10324992668468053,136
0.700166893005371,0.07982742077743415,0.004244804382324219,0.0014182546201832865,15,5,2,100,1,"{'clf__max_depth': 15, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 100, 'smote__k_neighbors': 1}",-0.5297933360932544,-0.5069232093111842,-0.5347454133994027,-0.8050431882987663,-0.7808213119610988,-0.6314652918127412,0.1323927178337319,544,0.5019988521147472,0.6424045533678013,0.5874218194030834,0.4108797816269146,0.3422188856897256,0.49698477844045436,0.11019751565983464,208
