mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__class_weight,param_clf__criterion,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,param_smote__k_neighbors,params,split0_test_neg_log_loss,split1_test_neg_log_loss,split2_test_neg_log_loss,split3_test_neg_log_loss,split4_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision
0.2232332706451416,0.016184315854254065,0.007033777236938476,0.0027100999569017615,balanced,gini,20,1,2,150,1,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 150, 'smote__k_neighbors': 1}",-0.48733571016443955,-0.28645023960545934,-0.4637416444909051,-0.5135422645938627,-0.6976542884985832,-0.48974482947065,0.13099871818083553,1899,0.5280477191380835,0.6120428739918444,0.6167111074070638,0.4200267142513968,0.3349532504506654,0.5023563330478108,0.11006376079023635,2161
0.22511663436889648,0.013755585638875646,0.005609941482543945,0.002127678959405969,balanced,gini,20,1,2,150,2,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 150, 'smote__k_neighbors': 2}",-0.6533319511574203,-0.46584404665910323,-0.6302545696897633,-0.7099544649144836,-0.7142345600614982,-0.6347239184964537,0.09040821014322506,2277,0.5679692813634557,0.6331589101501001,0.5945656479296341,0.40930036759525085,0.3246875301243698,0.5059363474325621,0.11838789181147577,2103
0.23866162300109864,0.030727397645797926,0.007075786590576172,0.0030550109764613427,balanced,gini,20,1,2,150,3,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 150, 'smote__k_neighbors': 3}",-0.343186698790668,-0.3222827960801882,-0.6519348683149112,-0.3922749685185447,-0.7366552017358945,-0.4892669066880414,0.1710510980211676,1885,0.5567208522647085,0.5746780592902708,0.5518379765895217,0.43410131322455253,0.3396656560446427,0.49140077148273925,0.09073174588065071,2271
0.27789602279663084,0.00520928475503719,0.007207489013671875,0.0016698224787914204,balanced,gini,20,1,2,200,1,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200, 'smote__k_neighbors': 1}",-0.48475714468660835,-0.29289347387331466,-0.46573329399389046,-0.5170113225436389,-0.6963478132457454,-0.4913486096686396,0.1286602355280135,1935,0.535104596746489,0.5989883867381258,0.6283438837532593,0.4216183474193131,0.3562835908442241,0.5080677611002823,0.10389978998503728,2062
0.29224143028259275,0.014971966311257067,0.00799698829650879,0.0022915842480623447,balanced,gini,20,1,2,200,2,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200, 'smote__k_neighbors': 2}",-0.6537852970817793,-0.4614108434771757,-0.6294672312795829,-0.7133719814887401,-0.7153049650458229,-0.6346680636746201,0.09285170775309591,2276,0.5706978495420575,0.6411638632284811,0.6032528028906836,0.40146468590730194,0.3225216045519437,0.5078201612240936,0.1236839341891681,2067
0.2859659194946289,0.013031846394729955,0.007913017272949218,0.002767436393849038,balanced,gini,20,1,2,200,3,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200, 'smote__k_neighbors': 3}",-0.3470324781926088,-0.3224853705007285,-0.6481709678461489,-0.39191507293351263,-0.7367156818101471,-0.4892639142566292,0.16970886241736965,1884,0.5272390651951482,0.5422332477281401,0.5609817295057721,0.43606421526723277,0.33624838731680456,0.48055332900261966,0.083971299122054,2304
0.42938079833984377,0.01683659673078449,0.011937332153320313,0.0036600621264052135,balanced,gini,20,1,2,300,1,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 300, 'smote__k_neighbors': 1}",-0.48569638830049877,-0.29409973158206454,-0.4663210463919471,-0.3639825743687932,-0.6952330687955381,-0.4610665618877684,0.13621410644190324,1766,0.5515489181066622,0.6108600728949007,0.6362530730968833,0.42272925946276163,0.35697956660084856,0.5156741780324112,0.10835991793691097,1824
0.42371840476989747,0.006078402602127879,0.012619352340698243,0.0026953776120576907,balanced,gini,20,1,2,300,2,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 300, 'smote__k_neighbors': 2}",-0.4953349658576549,-0.462447195196699,-0.6322508711982723,-0.38387752683442233,-0.7133621058046961,-0.537454532978349,0.11909313614916651,2132,0.5836081245929324,0.6310708647385704,0.5955054094575464,0.409847682181617,0.3322168813974708,0.5104497924736274,0.1174936575302899,2009
0.4295224189758301,0.007400220126889777,0.010872840881347656,0.0020696675631290606,balanced,gini,20,1,2,300,3,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 300, 'smote__k_neighbors': 3}",-0.3525550487188347,-0.32807651413018907,-0.6484612975073629,-0.39687993304243335,-0.7341832256885077,-0.49203120381746557,0.16643105380289802,1946,0.5139540292934949,0.5658512739801279,0.5804523125597792,0.431947350027568,0.35572769354012823,0.48958653188021967,0.08474330628746922,2286
0.565593147277832,0.023184584969132782,0.017868757247924805,0.006892242425926793,balanced,gini,20,1,2,400,1,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 400, 'smote__k_neighbors': 1}",-0.4888089426805757,-0.2936027221899659,-0.4664359750087164,-0.3664116653040961,-0.5409364291493687,-0.4312391468665446,0.08914368132970223,1460,0.5406881135315349,0.6162144248717871,0.6229053657074243,0.4261378001547806,0.36385824906262426,0.5139607906656302,0.1032305444962225,1903
