Feature,Importance,Importance_Normalized,Baseline_Loss
S16_Pts4_Avg,0.0013316650520442952,1.0,0.33236006234005644
S16_DR1Rank_Avg,0.001266214030307522,0.9508502369749086,0.33236006234005644
R32_Pts4_Avg,0.0010516114874342675,0.7896966927380833,0.33236006234005644
AdjOE_Seed_Avg,0.0009250169840787081,0.6946318690714872,0.33236006234005644
E8_RankAdjTempo_Avg,0.0009042349381422898,0.6790258081445936,0.33236006234005644
Pts4Rank,0.000806422538499163,0.6055746054619289,0.33236006234005644
Def_3,0.0007867158742389524,0.5907760912034387,0.33236006234005644
E8_Hgt4Rank_Avg,0.0006923353179155711,0.519901995515117,0.33236006234005644
R32_RankDef_1_Avg,0.000670710278917408,0.5036628977292543,0.33236006234005644
Bench_Seed_Avg,0.0006391047758369517,0.47992907439887755,0.33236006234005644
Region_East,0.0006378886205108958,0.47901581522444103,0.33236006234005644
E8_AdjTempo_Avg,0.0005874355485597227,0.44112860636984175,0.33236006234005644
R32_RankDef_2_Avg,0.0005836191153440473,0.43826269559909903,0.33236006234005644
R32_BenchRank_Avg,0.0005784964121311464,0.43441585498025365,0.33236006234005644
Pts4,0.0005373269826214333,0.4035001007171886,0.33236006234005644
S16_BenchRank_Avg,0.0005330426497863194,0.4002828256009446,0.33236006234005644
S16_AdjOE_Avg,0.0005278054763864226,0.3963500247875141,0.33236006234005644
Hgt5,0.0005139419646341126,0.3859393650416361,0.33236006234005644
Hgt5Rank,0.00047389250454049625,0.3558646401458114,0.33236006234005644
Hgt1_Seed_Avg,0.0004705163014535607,0.35332931560473957,0.33236006234005644
R32_Off_2_Avg,0.0004542423301140963,0.3411085463396143,0.33236006234005644
S16_Pts4Rank_Avg,0.0004071699811699081,0.3057600562129676,0.33236006234005644
Hgt2,0.0003505131852881149,0.2632142254916335,0.33236006234005644
R32_Pts3_Avg,0.00034822823400942893,0.2614983651293162,0.33236006234005644
WinStreak,0.0003474282087780334,0.26089759451498834,0.33236006234005644
SizeRank_Seed_Avg,0.0003326429801050468,0.24979478104827674,0.33236006234005644
S16_RankTempo_Avg,0.00033022164893892203,0.2479765076300417,0.33236006234005644
E8_OR2_Avg,0.00032073930200032796,0.24085583796612184,0.33236006234005644
E8_DR5Rank_Avg,0.0003095701744940116,0.23246849800464264,0.33236006234005644
DR4Rank_Seed_Avg,0.0003091731470901138,0.2321703544111855,0.33236006234005644
S16_Pts3_Avg,0.0002984059350365498,0.22408482867253612,0.33236006234005644
Pts5Rank_Seed_Avg,0.0002981072854042477,0.22386056084194042,0.33236006234005644
OR3Rank,0.0002935263091107809,0.22042052441053125,0.33236006234005644
S16_OR3Rank_Avg,0.00029175693646921186,0.21909183245540872,0.33236006234005644
R32_Def_2_Avg,0.0002830599709779946,0.2125609368087398,0.33236006234005644
DR2Rank,0.0002768914415747781,0.20792874390576696,0.33236006234005644
S16_Hgt4_Avg,0.00025592787274703044,0.1921863702544005,0.33236006234005644
R32_RankOff_1_Avg,0.00025424389037631556,0.19092180123373745,0.33236006234005644
R32_RankOff_2_Avg,0.0002542060505435484,0.19089338580546658,0.33236006234005644
Conf Tourney,0.000247700307732468,0.1860079660063263,0.33236006234005644
DE_Seed_Avg,0.0002459516265805872,0.18469481210985939,0.33236006234005644
DR1Rank_Seed_Avg,0.00024122367970108582,0.18114440964773626,0.33236006234005644
Last10,0.0002272007268181997,0.17061401924561606,0.33236006234005644
HgtEffRank_Seed_Avg,0.00022427228213989236,0.1684149342175816,0.33236006234005644
OR2_Seed_Avg,0.0002206083233164402,0.16566352250348168,0.33236006234005644
R32_OR1_Avg,0.00021362234556271398,0.1604174752763642,0.33236006234005644
E8_Def_2_Avg,0.00020657439865506833,0.1551248929585914,0.33236006234005644
R32_Hgt5_Avg,0.00020629465149263337,0.1549148197408513,0.33236006234005644
Def_3_Seed_Avg,0.0002042115652990395,0.15335054786152547,0.33236006234005644
AdjEM_Seed_Avg,0.00019406224070761535,0.14572901827655702,0.33236006234005644
AdjOE,0.0001935302789293769,0.14532954712018642,0.33236006234005644
Conf_SEC,0.00018995883739242325,0.14264761029870796,0.33236006234005644
R32_Def_1_Avg,0.0001877518723314986,0.1409903128743018,0.33236006234005644
DR3Rank_Seed_Avg,0.00018493669441516092,0.13887628434136406,0.33236006234005644
RankDef_3,0.0001776862247991895,0.13343161970528242,0.33236006234005644
R32_OR3Rank_Avg,0.00017410647450161187,0.1307434435065587,0.33236006234005644
Pts2Rank,0.00016813213382438352,0.1262570746046664,0.33236006234005644
E8_DR3_Avg,0.00016765185780309722,0.12589641632911203,0.33236006234005644
BenchRank,0.0001650799327452268,0.12396505599648022,0.33236006234005644
R32_Hgt2_Avg,0.00016127553970918251,0.12110818667321908,0.33236006234005644
RankDE,0.00015994107192474072,0.12010608199051889,0.33236006234005644
S16_Hgt3_Avg,0.00015869054936512583,0.11916701510001579,0.33236006234005644
E8_ExpRank_Avg,0.00015810260435444867,0.1187255039183755,0.33236006234005644
S16_RankOff_1_Avg,0.0001437638838263089,0.10795799109213754,0.33236006234005644
S16_Pts5Rank_Avg,0.00014186918210945532,0.10653518457337748,0.33236006234005644
S16_Pts2_Avg,0.0001412198909146456,0.10604760611375434,0.33236006234005644
E8_Hgt2Rank_Avg,0.00014008056206293862,0.10519203897999353,0.33236006234005644
Hgt3Rank_Seed_Avg,0.00013916833743277124,0.10450701339584459,0.33236006234005644
Pts5Rank,0.000137349545764609,0.10314121073745829,0.33236006234005644
BenchRank_Seed_Avg,0.0001344301031224182,0.10094888569467891,0.33236006234005644
