mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__class_weight,param_clf__criterion,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,param_smote__k_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.07537803649902344,0.006778400214296142,0.0026547908782958984,0.0016501452215523635,balanced,gini,10,1,5,50,5,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 50, 'smote__k_neighbors': 5}",-0.47036860117046403,-0.5519389891112882,-0.7177250833962546,-0.755245643420289,-0.45051529868775214,-0.5891587231572096,0.1255647839963766,832
0.135744047164917,0.004056478660374898,0.004729223251342773,0.0019380068422900326,balanced,gini,10,1,5,100,3,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 100, 'smote__k_neighbors': 3}",-0.4270667259752316,-0.529616306022655,-0.5301300765552056,-0.6144165607354591,-0.5965214210615236,-0.5395502180700149,0.06586447434385292,677
0.12973408699035643,0.010141013135530822,0.003971529006958008,0.0020374531223189703,balanced,gini,10,1,5,100,4,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 100, 'smote__k_neighbors': 4}",-0.4306719233857033,-0.5447080742363628,-0.9010020190827586,-0.6164644579422037,-0.4707211629058288,-0.5927135275105715,0.16676333096067725,842
0.12962217330932618,0.00262664407242093,0.004649448394775391,0.00220605441897565,balanced,gini,10,1,5,100,5,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 100, 'smote__k_neighbors': 5}",-0.4677115188287148,-0.5313976820312646,-0.5545753665535972,-0.7606673045271649,-0.4525995387073674,-0.5533902821296218,0.1104069448346012,736
0.19375076293945312,0.008894707446220604,0.007355833053588867,0.0025721352426067872,balanced,gini,10,1,5,150,3,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 150, 'smote__k_neighbors': 3}",-0.4283415831099832,-0.518113098227583,-0.5323307800417054,-0.6131656797248014,-0.6048638294423486,-0.5393629941092843,0.06717731706959305,675
0.192787504196167,0.003479239028171548,0.006780004501342774,0.0024710074971821265,balanced,gini,10,1,5,150,4,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 150, 'smote__k_neighbors': 4}",-0.4305619677634966,-0.5490240937226081,-0.7378718695876637,-0.6210857992152323,-0.4729274069321138,-0.5622942274442229,0.10936166662041986,766
0.19179973602294922,0.005552300237693889,0.006994104385375977,0.0027985713761443185,balanced,gini,10,1,5,150,5,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 150, 'smote__k_neighbors': 5}",-0.46518902568410425,-0.5382093113795456,-0.5500386608035343,-0.5978245407860391,-0.4560286252796999,-0.5214580327865846,0.053621842011206504,596
0.07088046073913574,0.004080479849986513,0.0021626949310302734,0.0005470658183205838,balanced,gini,10,1,10,50,3,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 50, 'smote__k_neighbors': 3}",-0.4254102667188889,-0.5431756830936163,-0.5357090945253246,-0.7725132506217154,-0.4365645297207785,-0.5426745649360647,0.12480772856270887,688
0.07187132835388184,0.0037976910763647424,0.002317380905151367,0.0008314009460092555,balanced,gini,10,1,10,50,4,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 50, 'smote__k_neighbors': 4}",-0.44249341183440727,-0.5515132011486413,-0.7225430509857674,-0.7804275614436699,-0.6680731416659368,-0.6330100734156845,0.12158604124944089,904
0.06807112693786621,0.00730863025053267,0.0017807960510253906,6.165439918103586e-05,balanced,gini,10,1,10,50,5,"{'clf__class_weight': 'balanced', 'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 50, 'smote__k_neighbors': 5}",-0.4678631972033703,-0.5409273279727832,-0.5503654103283915,-0.597626869503039,-0.45634798847197783,-0.5226261586959123,0.05314373584773922,607
