mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__l1_ratio,param_clf__max_iter,param_clf__penalty,param_clf__solver,param_smote__k_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.016141986846923827,0.003929201085087128,0.0005814075469970703,0.0003282147992281003,0.0001,balanced,0.7,20000,elasticnet,saga,3,"{'clf__C': 0.0001, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 0.7, 'clf__max_iter': 20000, 'clf__penalty': 'elasticnet', 'clf__solver': 'saga', 'smote__k_neighbors': 3}",0.25,0.25,0.25,0.25,0.25,0.25,0.0,313
0.01393299102783203,0.004373434462322404,0.0005422115325927734,0.0002719482788241006,0.0001,balanced,0.7,20000,elasticnet,saga,4,"{'clf__C': 0.0001, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 0.7, 'clf__max_iter': 20000, 'clf__penalty': 'elasticnet', 'clf__solver': 'saga', 'smote__k_neighbors': 4}",0.25,0.25,0.25,0.25,0.25,0.25,0.0,313
0.014885997772216797,0.006464521550124395,0.0005400657653808593,0.00027890173996327074,0.0001,balanced,0.7,20000,elasticnet,saga,5,"{'clf__C': 0.0001, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 0.7, 'clf__max_iter': 20000, 'clf__penalty': 'elasticnet', 'clf__solver': 'saga', 'smote__k_neighbors': 5}",0.25,0.25,0.25,0.25,0.25,0.25,0.0,313
0.018906021118164064,0.005239210321985461,0.0008300304412841797,0.0007961552933291628,0.0001,balanced,0.9,20000,elasticnet,saga,3,"{'clf__C': 0.0001, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 0.9, 'clf__max_iter': 20000, 'clf__penalty': 'elasticnet', 'clf__solver': 'saga', 'smote__k_neighbors': 3}",0.25,0.25,0.25,0.25,0.25,0.25,0.0,313
0.013383102416992188,0.003667251698681729,0.0004092216491699219,2.2948998877557614e-05,0.0001,balanced,0.9,20000,elasticnet,saga,4,"{'clf__C': 0.0001, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 0.9, 'clf__max_iter': 20000, 'clf__penalty': 'elasticnet', 'clf__solver': 'saga', 'smote__k_neighbors': 4}",0.25,0.25,0.25,0.25,0.25,0.25,0.0,313
0.017786359786987303,0.008562329017876279,0.0006847858428955078,0.0005217326660874213,0.0001,balanced,0.9,20000,elasticnet,saga,5,"{'clf__C': 0.0001, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 0.9, 'clf__max_iter': 20000, 'clf__penalty': 'elasticnet', 'clf__solver': 'saga', 'smote__k_neighbors': 5}",0.25,0.25,0.25,0.25,0.25,0.25,0.0,313
0.017955684661865236,0.008479156411462765,0.0006221294403076172,0.0002734104846563336,0.0001,balanced,1.0,20000,elasticnet,saga,3,"{'clf__C': 0.0001, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 1.0, 'clf__max_iter': 20000, 'clf__penalty': 'elasticnet', 'clf__solver': 'saga', 'smote__k_neighbors': 3}",0.25,0.25,0.25,0.25,0.25,0.25,0.0,313
0.014212369918823242,0.0025956330836808083,0.0005544662475585937,0.00026987532384586363,0.0001,balanced,1.0,20000,elasticnet,saga,4,"{'clf__C': 0.0001, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 1.0, 'clf__max_iter': 20000, 'clf__penalty': 'elasticnet', 'clf__solver': 'saga', 'smote__k_neighbors': 4}",0.25,0.25,0.25,0.25,0.25,0.25,0.0,313
0.013239717483520508,0.006810511240308569,0.000501251220703125,0.00019917908765219536,0.0001,balanced,1.0,20000,elasticnet,saga,5,"{'clf__C': 0.0001, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 1.0, 'clf__max_iter': 20000, 'clf__penalty': 'elasticnet', 'clf__solver': 'saga', 'smote__k_neighbors': 5}",0.25,0.25,0.25,0.25,0.25,0.25,0.0,313
0.017706775665283205,0.009282597860823007,0.0008057117462158203,0.00046515455250858837,0.0001,,0.0,20000,elasticnet,saga,3,"{'clf__C': 0.0001, 'clf__class_weight': None, 'clf__l1_ratio': 0.0, 'clf__max_iter': 20000, 'clf__penalty': 'elasticnet', 'clf__solver': 'saga', 'smote__k_neighbors': 3}",0.6943831988684991,0.6624740275721474,0.6652177434368051,0.5832189121170677,0.6553971049882992,0.6521381973965636,0.03694058045437064,309
0.01626420021057129,0.0049670326250263646,0.00043787956237792967,3.0860833096046656e-05,0.0001,,0.0,20000,elasticnet,saga,4,"{'clf__C': 0.0001, 'clf__class_weight': None, 'clf__l1_ratio': 0.0, 'clf__max_iter': 20000, 'clf__penalty': 'elasticnet', 'clf__solver': 'saga', 'smote__k_neighbors': 4}",0.6917472914968054,0.6572414021186751,0.6729227654779414,0.5745064192113204,0.6571632557011433,0.650716226801177,0.040171521000588274,311
0.014007043838500977,0.0019486398824763277,0.0007913589477539062,0.00030989427898858073,0.0001,,0.0,20000,elasticnet,saga,5,"{'clf__C': 0.0001, 'clf__class_weight': None, 'clf__l1_ratio': 0.0, 'clf__max_iter': 20000, 'clf__penalty': 'elasticnet', 'clf__solver': 'saga', 'smote__k_neighbors': 5}",0.6911470139064396,0.6715027692945712,0.6766463506089269,0.5802362093238226,0.6502209809344391,0.6539506648136398,0.039126641566227915,307
0.014791011810302734,0.0018802784765191078,0.0005632400512695313,0.0002514195350746342,0.0001,,0.1,20000,elasticnet,saga,3,"{'clf__C': 0.0001, 'clf__class_weight': None, 'clf__l1_ratio': 0.1, 'clf__max_iter': 20000, 'clf__penalty': 'elasticnet', 'clf__solver': 'saga', 'smote__k_neighbors': 3}",0.25,0.25,0.25,0.25,0.25,0.25,0.0,313
0.01261448860168457,0.0027455685280419096,0.0005559921264648438,0.0002748848142511587,0.0001,,0.1,20000,elasticnet,saga,4,"{'clf__C': 0.0001, 'clf__class_weight': None, 'clf__l1_ratio': 0.1, 'clf__max_iter': 20000, 'clf__penalty': 'elasticnet', 'clf__solver': 'saga', 'smote__k_neighbors': 4}",0.25,0.25,0.25,0.25,0.25,0.25,0.0,313
0.012475156784057617,0.0032661661278686072,0.0004199028015136719,2.6239651704179856e-05,0.0001,,0.1,20000,elasticnet,saga,5,"{'clf__C': 0.0001, 'clf__class_weight': None, 'clf__l1_ratio': 0.1, 'clf__max_iter': 20000, 'clf__penalty': 'elasticnet', 'clf__solver': 'saga', 'smote__k_neighbors': 5}",0.25,0.25,0.25,0.25,0.25,0.25,0.0,313
0.012440013885498046,0.003055096775576894,0.000864410400390625,0.0006025417539226444,0.0001,,0.3,20000,elasticnet,saga,3,"{'clf__C': 0.0001, 'clf__class_weight': None, 'clf__l1_ratio': 0.3, 'clf__max_iter': 20000, 'clf__penalty': 'elasticnet', 'clf__solver': 'saga', 'smote__k_neighbors': 3}",0.25,0.25,0.25,0.25,0.25,0.25,0.0,313
0.01138753890991211,0.0027340451996188076,0.0005507946014404296,0.00027386130020096155,0.0001,,0.3,20000,elasticnet,saga,4,"{'clf__C': 0.0001, 'clf__class_weight': None, 'clf__l1_ratio': 0.3, 'clf__max_iter': 20000, 'clf__penalty': 'elasticnet', 'clf__solver': 'saga', 'smote__k_neighbors': 4}",0.25,0.25,0.25,0.25,0.25,0.25,0.0,313
