mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,param_smote__k_neighbors,params,split0_test_neg_log_loss,split1_test_neg_log_loss,split2_test_neg_log_loss,split3_test_neg_log_loss,split4_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision
0.06327147483825683,0.006687841972354772,0.001669597625732422,0.0006619064756292285,10,5,2,10,1,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 10, 'smote__k_neighbors': 1}",-0.4847695784200671,-0.47924128845323083,-0.5074213799192848,-0.49140740625837176,-0.5253276507216497,-0.49763346075452086,0.016764765102890055,217,0.6091235006931338,0.5959696678843924,0.593508466127378,0.5829853958862405,0.5840376050321772,0.5931249271246644,0.009482441931590918,517
0.07347946166992188,0.003734568907190831,0.001338958740234375,5.168725640189605e-05,10,5,2,10,2,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 10, 'smote__k_neighbors': 2}",-0.4437907353839608,-0.5341196370417237,-0.49806113966552723,-0.5204989632539742,-0.6246379177054008,-0.5242216786101174,0.05890460031423426,379,0.7222917927061643,0.48472096837716977,0.5654216739961756,0.5217344182654227,0.37325562279010094,0.5334848952270066,0.11389241975667837,574
0.07174029350280761,0.005289241800350576,0.0022918701171875,0.0009144427088391574,10,5,2,10,3,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 10, 'smote__k_neighbors': 3}",-0.4428646303150856,-0.4639743743297832,-0.48084013029371836,-0.5506507560972191,-0.6286773072361077,-0.5134014396543829,0.06805108720340833,292,0.7600209579621253,0.6445522379955314,0.6451009507188064,0.4563208255583292,0.37669035557122516,0.5765370655612035,0.13955934985089072,547
0.16549153327941896,0.01688173344148028,0.0027686595916748048,0.001453022954962522,10,5,2,25,1,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 25, 'smote__k_neighbors': 1}",-0.420514348785422,-0.4701900656060303,-0.48008300120292335,-0.49432008383297416,-0.4833251731872481,-0.46968653452291964,0.02576458084040979,46,0.7153035343103598,0.636274398241991,0.6721820822734893,0.5853038423379234,0.6557539788138287,0.6529635671955184,0.04270778839239077,304
0.1607541561126709,0.016016754838281248,0.0019541263580322267,0.0007143252105425587,10,5,2,25,2,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 25, 'smote__k_neighbors': 2}",-0.39388406103403883,-0.5388695418277138,-0.49346548717570893,-0.5134859239735815,-0.6566524070993099,-0.5192714842220706,0.08447369995116395,346,0.7540954208150601,0.5399403421295091,0.6124731272462623,0.5481269992912549,0.41720864464518026,0.5743689068254534,0.10984249016784199,550
0.16289210319519043,0.017194045917844892,0.0021658897399902343,0.0008908201368882789,10,5,2,25,3,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 25, 'smote__k_neighbors': 3}",-0.39189871010495175,-0.4194820932321364,-0.4521590271874594,-0.579097648015023,-0.6618418603084709,-0.5008958677696083,0.10286203735218727,235,0.7839837476370295,0.6920184544869601,0.6820189376056756,0.5002165581365626,0.49916332470966596,0.6314802045151787,0.11332632126636198,415
0.3100441455841064,0.006414063376700615,0.0025600433349609376,0.0010116127856089187,10,5,2,50,1,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 50, 'smote__k_neighbors': 1}",-0.4313611216763827,-0.49717020910809967,-0.530765155819943,-0.5707962484455539,-0.4980161905865615,-0.5056217851273082,0.04587770722324062,253,0.7510131087995708,0.6758747815892642,0.671423328425597,0.5859951577136534,0.6810415303442483,0.6730695813744667,0.05240473259300982,82
0.3085313320159912,0.008486793766085545,0.001985502243041992,3.974642945673296e-05,10,5,2,50,2,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 50, 'smote__k_neighbors': 2}",-0.4183163567184262,-0.5654435184372497,-0.5474836903106477,-0.5699929792426227,-0.6219105980737106,-0.5446294285565314,0.06784107034864775,439,0.7156353542145765,0.6093536263125673,0.6698987547208561,0.5641249301106299,0.6001078687734457,0.631824106826415,0.053977819110809205,412
0.3076610088348389,0.003754559740675823,0.0028639793395996093,0.0010388418540906033,10,5,2,50,3,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 50, 'smote__k_neighbors': 3}",-0.40036326472906625,-0.46382541654360515,-0.4999930284883034,-0.6538127929071681,-0.661035812828097,-0.5358060630992479,0.10432316814022512,418,0.7824489423370339,0.6860061088861625,0.6941792635570226,0.522246278963439,0.6150235006012281,0.6599808188689773,0.08699109673313134,241
0.603422212600708,0.017060530567960405,0.004750204086303711,0.0015634533252834345,10,5,2,100,1,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 100, 'smote__k_neighbors': 1}",-0.4674152908751316,-0.5917437209583198,-0.6506515151865933,-0.7401360923955179,-0.5897617630001765,-0.6079416764831478,0.08903936431710698,520,0.7737464831839634,0.6711573822223524,0.666255526270876,0.5868035569401332,0.6814800411700176,0.6758885979574686,0.059428536821484294,58
