Team,Seed,Region,R32,S16,E8,F4,NCG,Winner
Villanova,1,South,0.93395,0.516302,0.171664,0.313604,0.335517,0.027629
Radford,16,South,0.06605,0.087596,0.090126,0.021769,0.001738,0.014579
Virginia Tech,8,South,0.552018,0.23872,0.096266,0.023174,0.005842,0.014587
Alabama,9,South,0.447982,0.157382,0.126028,0.017931,0.004215,0.01458
West Virginia,5,South,0.850566,0.233152,0.147844,0.039495,0.003606,0.014579
Murray State,12,South,0.149434,0.077588,0.077542,0.027381,0.005544,0.014579
Wichita State,4,South,0.932093,0.532663,0.216308,0.060587,0.003187,0.014592
Marshall,13,South,0.067907,0.156597,0.074223,0.019551,0.002056,0.014579
Florida,6,South,0.749809,0.344569,0.134063,0.039459,0.005578,0.014584
Saint Bonaventure,11,South,0.250191,0.287802,0.075179,0.063208,0.001983,0.014579
Texas Tech,3,South,0.802118,0.303428,0.189694,0.06956,0.030912,0.014579
Stephen F Austin,14,South,0.197882,0.064201,0.070258,0.015588,0.002077,0.014578
Arkansas,7,South,0.464716,0.339883,0.148177,0.04603,0.010669,0.014583
Butler,10,South,0.535284,0.272584,0.110844,0.02178,0.004393,0.014597
Purdue,2,South,0.928888,0.31508,0.1998,0.204674,0.041066,0.014824
Cal State Fullerton,15,South,0.071112,0.072453,0.071987,0.016208,0.001998,0.014579
Kansas,1,Midwest,0.924258,0.487738,0.266406,0.280222,0.081487,0.040613
Penn,16,Midwest,0.075742,0.069675,0.074861,0.016959,0.002505,0.014581
Seton Hall,8,Midwest,0.61966,0.149988,0.131085,0.010297,0.123991,0.014765
North Carolina State,9,Midwest,0.38034,0.292599,0.128929,0.015869,0.003693,0.015081
Clemson,5,Midwest,0.558627,0.554045,0.117223,0.019915,0.013811,0.014591
New Mexico State,12,Midwest,0.441373,0.082842,0.076931,0.005149,0.00464,0.01458
Auburn,4,Midwest,0.873327,0.258993,0.129783,0.02279,0.010178,0.020674
Charleston,13,Midwest,0.126673,0.10412,0.074782,0.022346,0.004709,0.014582
TCU,6,Midwest,0.766817,0.332364,0.071006,0.00222,0.034316,0.014663
Syracuse,11,Midwest,0.233183,0.273144,0.019297,0.004032,0.0075,0.014583
Michigan State,3,Midwest,0.929806,0.329066,0.41638,0.176355,0.193573,0.014583
Bucknell,14,Midwest,0.070194,0.065425,0.020755,0.003735,0.002668,0.01458
Rhode Island,7,Midwest,0.643381,0.186103,0.044224,0.062969,0.018515,0.01458
Oklahoma,10,Midwest,0.356619,0.225115,0.013343,0.003731,0.002237,0.014594
Duke,2,Midwest,0.920343,0.523714,0.412096,0.350783,0.034264,0.016968
Iona,15,Midwest,0.079657,0.065069,0.002898,0.002629,0.001533,0.01458
Xavier,1,East,0.923264,0.403366,0.258209,0.06088,0.200965,0.016764
Texas Southern,16,East,0.076736,0.071454,0.002672,0.001575,0.002058,0.014593
Missouri,8,East,0.571674,0.428375,0.06945,0.010691,0.006145,0.01458
Florida State,9,East,0.428326,0.096804,0.101213,0.002079,0.004471,0.014584
Ohio State,5,East,0.636492,0.325578,0.226026,0.092686,0.024614,0.0146
South Dakota State,12,East,0.363508,0.073575,0.014166,0.00632,0.004279,0.014579
Gonzaga,4,East,0.831098,0.380329,0.304373,0.206389,0.003225,0.014932
UNC Greensboro,13,East,0.168902,0.220518,0.023891,0.012269,0.002958,0.014579
Houston,6,East,0.869097,0.359797,0.144894,0.165719,0.00287,0.014601
San Diego State,11,East,0.130903,0.204073,0.107655,0.007273,0.005072,0.01479
Michigan,3,East,0.825641,0.372064,0.230671,0.298087,0.049792,0.014582
Montana,14,East,0.174359,0.064067,0.073546,0.004115,0.005201,0.014579
Texas A&M,7,East,0.841285,0.303131,0.131349,0.021348,0.008558,0.014607
Providence,10,East,0.158715,0.103657,0.073063,0.002789,0.003239,0.014579
North Carolina,2,East,0.855209,0.529016,0.169654,0.106432,0.210981,0.014617
Lipscomb,15,East,0.144791,0.064196,0.069169,0.001349,0.001968,0.014578
Virginia,1,West,0.891272,0.497858,0.179491,0.18941,0.160119,0.027617
UMBC,16,West,0.108728,0.069321,0.072849,0.011399,0.001326,0.014601
Creighton,8,West,0.669706,0.193682,0.093366,0.008171,0.007112,0.014583
Kansas State,9,West,0.330294,0.239138,0.092356,0.037125,0.00377,0.014585
Kentucky,5,West,0.87093,0.307895,0.20794,0.118903,0.006774,0.014799
Davidson,12,West,0.12907,0.143945,0.085113,0.019054,0.00357,0.014582
Arizona,4,West,0.839863,0.405159,0.197634,0.053574,0.004915,0.014622
Buffalo,13,West,0.160137,0.143002,0.07125,0.002975,0.003241,0.014579
Miami FL,6,West,0.348705,0.19502,0.044793,0.017301,0.008718,0.014709
Loyola Chicago,11,West,0.651295,0.233596,0.027122,0.033829,0.007336,0.014654
Tennessee,3,West,0.887405,0.340356,0.396918,0.316275,0.127092,0.015398
Wright State,14,West,0.112595,0.231028,0.043013,0.011665,0.041366,0.01458
Nevada,7,West,0.497569,0.365261,0.036982,0.016838,0.002151,0.014579
Texas,10,West,0.50243,0.258867,0.046589,0.003434,0.003048,0.015587
Cincinnati,2,West,0.914587,0.317609,0.393574,0.153473,0.077381,0.014595
Georgia State,15,West,0.085413,0.058264,0.01101,0.006573,0.005686,0.014582
