Team,Seed,Region,R32,S16,E8,F4,NCG,Winner
Indiana,1,Midwest,0.91585,0.512255,0.217872,0.171318,0.179126,0.034476
James Madison,16,Midwest,0.08415,0.069302,0.08515,0.016953,0.004671,0.0146
North Carolina State,8,Midwest,0.589754,0.259475,0.099914,0.048521,0.026178,0.01459
Temple,9,Midwest,0.410246,0.158968,0.079395,0.01803,0.006676,0.0146
UNLV,5,Midwest,0.68629,0.160571,0.136947,0.073463,0.018717,0.014586
California,12,Midwest,0.31371,0.219964,0.080513,0.017343,0.007853,0.014591
Syracuse,4,Midwest,0.89463,0.531846,0.223605,0.120733,0.010869,0.014623
Montana,13,Midwest,0.10537,0.087619,0.076604,0.028795,0.010752,0.014584
Butler,6,Midwest,0.435763,0.17251,0.105931,0.029112,0.00476,0.014651
Bucknell,11,Midwest,0.564237,0.378684,0.124529,0.161786,0.006727,0.0146
Marquette,3,Midwest,0.675849,0.29999,0.181336,0.035329,0.012698,0.014587
Davidson,14,Midwest,0.324151,0.148815,0.100443,0.096807,0.04511,0.014596
Illinois,7,Midwest,0.509844,0.206785,0.08413,0.024787,0.005807,0.014644
Colorado,10,Midwest,0.490156,0.137585,0.096368,0.030475,0.006476,0.014581
Miami FL,2,Midwest,0.894096,0.574087,0.219881,0.110351,0.140114,0.014605
Pacific,15,Midwest,0.105904,0.081543,0.087383,0.016199,0.004636,0.014588
Kansas,1,South,0.906403,0.641878,0.206428,0.213908,0.178316,0.01987
Western Kentucky,16,South,0.093597,0.081406,0.080585,0.00723,0.00351,0.014579
North Carolina,8,South,0.638302,0.15829,0.088151,0.005926,0.008233,0.014652
Villanova,9,South,0.361698,0.118426,0.080389,0.02509,0.00731,0.014629
VCU,5,South,0.786642,0.374013,0.147051,0.136781,0.005071,0.014579
Akron,12,South,0.213358,0.144411,0.102037,0.04166,0.003459,0.014688
Michigan,4,South,0.794507,0.327024,0.210783,0.174865,0.003528,0.014596
South Dakota State,13,South,0.205493,0.154552,0.084576,0.039954,0.004709,0.01458
UCLA,6,South,0.32432,0.169539,0.037625,0.00338,0.005,0.014703
Minnesota,11,South,0.67568,0.222368,0.054944,0.064277,0.005259,0.014698
Florida,3,South,0.877039,0.543103,0.406969,0.217014,0.023726,0.014624
Northwestern State,14,South,0.122961,0.06499,0.047552,0.009307,0.126926,0.014589
San Diego State,7,South,0.748506,0.078078,0.045581,0.011835,0.021399,0.014589
Oklahoma,10,South,0.251494,0.10249,0.027811,0.006669,0.005894,0.014579
Georgetown,2,South,0.840864,0.640079,0.350986,0.04036,0.103055,0.014613
Florida Gulf Coast,15,South,0.159136,0.179353,0.028533,0.001742,0.00343,0.014588
Gonzaga,1,East,0.858795,0.297403,0.165535,0.159933,0.191793,0.040406
Southern,16,East,0.141205,0.078514,0.082092,0.018516,0.00565,0.01458
Pittsburgh,8,East,0.496771,0.322737,0.151732,0.093908,0.037639,0.014636
Wichita State,9,East,0.503229,0.301346,0.130142,0.154957,0.009433,0.014582
Wisconsin,5,East,0.797361,0.262984,0.141621,0.027634,0.051285,0.014588
Mississippi,12,East,0.202639,0.167287,0.126337,0.034325,0.005694,0.014581
Kansas State,4,East,0.776117,0.31903,0.126716,0.035268,0.007948,0.014598
La Salle,13,East,0.223883,0.250699,0.075825,0.020993,0.018745,0.01458
Arizona,6,East,0.749467,0.343936,0.094278,0.044107,0.01197,0.014855
Belmont,11,East,0.250533,0.319205,0.101518,0.047271,0.008685,0.014581
New Mexico,3,East,0.867919,0.313644,0.331985,0.153889,0.1142,0.014591
Harvard,14,East,0.132081,0.023215,0.024706,0.025887,0.005566,0.014583
Notre Dame,7,East,0.690055,0.330233,0.046112,0.041638,0.007966,0.014584
Iowa State,10,East,0.309945,0.185777,0.028137,0.017049,0.007829,0.014634
Ohio State,2,East,0.816681,0.35369,0.322146,0.107295,0.022047,0.014589
Iona,15,East,0.183319,0.130301,0.051118,0.01733,0.007763,0.01458
Louisville,1,West,0.886282,0.357101,0.173417,0.153273,0.195918,0.028296
North Carolina A&T,16,West,0.113718,0.09239,0.07976,0.020314,0.024994,0.014581
Colorado State,8,West,0.418028,0.376022,0.118896,0.098006,0.050941,0.01463
Missouri,9,West,0.581972,0.174487,0.121735,0.024379,0.005565,0.014587
Oklahoma State,5,West,0.618072,0.353728,0.13255,0.043029,0.00782,0.014631
Oregon,12,West,0.381928,0.19803,0.122191,0.02074,0.01204,0.014588
Saint Louis,4,West,0.807117,0.296718,0.177097,0.05979,0.005163,0.014627
New Mexico State,13,West,0.192883,0.151524,0.074355,0.026617,0.014045,0.014634
Memphis,6,West,0.480062,0.150407,0.089994,0.021794,0.020844,0.014627
Saint Mary's,11,West,0.519938,0.277485,0.107909,0.114012,0.025887,0.014581
Michigan State,3,West,0.840857,0.450706,0.20185,0.137697,0.007464,0.014604
Valparaiso,14,West,0.159143,0.121402,0.109421,0.104217,0.028707,0.014585
Creighton,7,West,0.576152,0.404533,0.170665,0.037507,0.011867,0.014585
Cincinnati,10,West,0.423848,0.074271,0.078115,0.016996,0.004795,0.014582
Duke,2,West,0.890153,0.436756,0.150599,0.092917,0.061551,0.01497
Albany,15,West,0.109847,0.08444,0.091446,0.028712,0.008186,0.014688
