Team,Seed,Region,R32,S16,E8,F4,NCG,Winner
Duke,1,West,0.884378,0.40097,0.190774,0.220963,0.174567,0.027087
North Dakota State,16,West,0.115622,0.08029,0.085461,0.005864,0.002595,0.014583
VCU,8,West,0.352196,0.188903,0.100563,0.008144,0.005201,0.01458
UCF,9,West,0.647804,0.329836,0.083294,0.024117,0.061323,0.015273
Mississippi State,5,West,0.439515,0.423095,0.232856,0.032898,0.002656,0.014696
Liberty,12,West,0.560485,0.192772,0.08334,0.005482,0.002604,0.014625
Virginia Tech,4,West,0.681366,0.369371,0.15465,0.022597,0.003757,0.015923
Saint Louis,13,West,0.318634,0.014763,0.069062,0.00097,0.00205,0.01458
Maryland,6,West,0.685309,0.395149,0.100201,0.027359,0.006784,0.014597
Belmont,11,West,0.314691,0.147156,0.11282,0.006381,0.003374,0.014586
LSU,3,West,0.876814,0.37037,0.200546,0.068903,0.005226,0.014814
Yale,14,West,0.123186,0.087326,0.121511,0.007807,0.002624,0.014584
Louisville,7,West,0.534017,0.325235,0.138558,0.06002,0.008492,0.023253
Minnesota,10,West,0.465983,0.103126,0.082912,0.008494,0.002471,0.014581
Michigan State,2,West,0.90307,0.489726,0.167125,0.49144,0.066865,0.015298
Bradley,15,West,0.09693,0.081913,0.076328,0.00856,0.002636,0.014595
Gonzaga,1,East,0.924977,0.49421,0.229535,0.25442,0.252907,0.031494
Fairleigh Dickinson,16,East,0.075023,0.161312,0.109782,0.018304,0.002379,0.014583
Syracuse,8,East,0.634107,0.174092,0.166125,0.018865,0.011391,0.014584
Baylor,9,East,0.365893,0.170387,0.09476,0.01518,0.001479,0.014588
Marquette,5,East,0.762224,0.277258,0.093681,0.020425,0.008536,0.014588
Murray State,12,East,0.237776,0.130829,0.076412,0.016233,0.002895,0.014579
Florida State,4,East,0.764093,0.511402,0.158043,0.022752,0.007966,0.014592
Vermont,13,East,0.235907,0.08051,0.071663,0.018491,0.003718,0.014578
Buffalo,6,East,0.796257,0.144134,0.087817,0.017814,0.011397,0.014582
Arizona State,11,East,0.203743,0.273171,0.084274,0.014321,0.001398,0.014581
Texas Tech,3,East,0.818161,0.457455,0.257028,0.262229,0.141009,0.014778
Northern Kentucky,14,East,0.181839,0.12524,0.112076,0.036683,0.027093,0.014583
Nevada,7,East,0.625236,0.434978,0.101705,0.019563,0.009384,0.0146
Florida,10,East,0.374764,0.088107,0.085333,0.01553,0.002874,0.014582
Michigan,2,East,0.838136,0.411192,0.196713,0.230385,0.160598,0.014607
Montana,15,East,0.161864,0.065722,0.075054,0.018804,0.001751,0.014581
North Carolina,1,Midwest,0.930901,0.303608,0.139308,0.065014,0.111942,0.025478
Iona,16,Midwest,0.069099,0.07575,0.073301,0.004369,0.002311,0.014804
Utah State,8,Midwest,0.583755,0.359819,0.122431,0.011961,0.021171,0.014582
Washington,9,Midwest,0.416245,0.260823,0.178608,0.099159,0.003728,0.014584
Auburn,5,Midwest,0.733986,0.489065,0.170371,0.201943,0.004832,0.015658
New Mexico State,12,Midwest,0.266014,0.045518,0.081006,0.004726,0.003487,0.014651
Kansas,4,Midwest,0.877355,0.453304,0.152282,0.030995,0.006583,0.014596
Northeastern,13,Midwest,0.122645,0.012113,0.082692,0.019628,0.00179,0.014585
Iowa State,6,Midwest,0.50399,0.349599,0.094548,0.024255,0.002184,0.014582
Ohio State,11,Midwest,0.49601,0.250063,0.108044,0.010284,0.005062,0.014586
Houston,3,Midwest,0.859041,0.320028,0.213745,0.083842,0.083758,0.018886
Georgia State,14,Midwest,0.140959,0.08031,0.067426,0.003132,0.001435,0.01458
Wofford,7,Midwest,0.787652,0.427091,0.187108,0.157848,0.020869,0.014997
Seton Hall,10,Midwest,0.212348,0.156244,0.07847,0.005745,0.002511,0.014585
Kentucky,2,Midwest,0.853309,0.402295,0.169576,0.274147,0.108316,0.014948
Abilene Christian,15,Midwest,0.146691,0.01437,0.081084,0.002953,0.002622,0.014579
Virginia,1,South,0.925547,0.582068,0.214961,0.28121,0.264503,0.021068
Gardner Webb,16,South,0.074453,0.124402,0.078031,0.005042,0.002414,0.01458
Mississippi,8,South,0.287197,0.178345,0.103511,0.007024,0.006883,0.014623
Oklahoma,9,South,0.712803,0.115185,0.124275,0.009636,0.003951,0.01458
Wisconsin,5,South,0.702556,0.363175,0.135589,0.021912,0.01111,0.014584
Oregon,12,South,0.297444,0.145217,0.101589,0.004746,0.00479,0.014579
Kansas State,4,South,0.670897,0.348256,0.155876,0.068006,0.005218,0.014588
UC Irvine,13,South,0.329103,0.143352,0.086168,0.005657,0.004551,0.014657
Villanova,6,South,0.589081,0.253684,0.092352,0.031743,0.003153,0.014588
Saint Mary's,11,South,0.410919,0.331603,0.148081,0.017919,0.003798,0.014664
Purdue,3,South,0.8606,0.328001,0.203544,0.061046,0.122509,0.014587
Old Dominion,14,South,0.1394,0.086713,0.076816,0.003123,0.002675,0.014578
Cincinnati,7,South,0.633237,0.270703,0.118319,0.151021,0.026075,0.01481
Iowa,10,South,0.366763,0.158292,0.08842,0.002743,0.002636,0.01458
Tennessee,2,South,0.759081,0.348943,0.170741,0.304407,0.150642,0.015529
Colgate,15,South,0.240919,0.222062,0.101729,0.024766,0.002491,0.014589
