Team,Seed,Region,R32,S16,E8,F4,NCG,Winner
Baylor,1,East,0.907709,0.434509,0.202123,0.244605,0.352372,0.039563
Norfolk State,16,East,0.092291,0.0702,0.069425,0.014182,0.002681,0.014579
North Carolina,8,East,0.465991,0.409895,0.127724,0.062383,0.00581,0.014585
Marquette,9,East,0.534009,0.085395,0.069286,0.013949,0.001905,0.014579
Saint Mary's,5,East,0.750797,0.350461,0.15831,0.04611,0.020124,0.014586
Indiana,12,East,0.249203,0.131015,0.071163,0.014855,0.00226,0.014578
UCLA,4,East,0.731383,0.420828,0.224615,0.032253,0.007178,0.014581
Akron,13,East,0.268617,0.097696,0.077354,0.028835,0.002013,0.014578
Texas,6,East,0.494587,0.13926,0.080206,0.020021,0.107913,0.014595
Virginia Tech,11,East,0.505413,0.376723,0.150084,0.060887,0.002731,0.01459
Purdue,3,East,0.884472,0.413222,0.157178,0.05299,0.04119,0.014582
Yale,14,East,0.115528,0.070796,0.067282,0.013974,0.00215,0.014579
Murray State,7,East,0.483513,0.316786,0.189848,0.228231,0.048385,0.014595
San Francisco,10,East,0.516487,0.248843,0.114067,0.016987,0.006854,0.014578
Kentucky,2,East,0.929523,0.369135,0.171795,0.134418,0.057334,0.014607
Saint Peter's,15,East,0.070477,0.065236,0.06954,0.015321,0.00495,0.014582
Gonzaga,1,West,0.883124,0.467892,0.213686,0.395624,0.270893,0.028428
Georgia State,16,West,0.116876,0.070217,0.070556,0.002752,0.003867,0.014674
Boise State,8,West,0.494345,0.39352,0.166042,0.074123,0.010511,0.014584
Memphis,9,West,0.505655,0.068371,0.110598,0.006556,0.001061,0.01458
Connecticut,5,West,0.838817,0.47895,0.12853,0.005154,0.003478,0.014585
New Mexico State,12,West,0.161183,0.062467,0.075388,0.002898,0.002184,0.0146
Arkansas,4,West,0.537577,0.38993,0.160968,0.019088,0.007484,0.014592
Vermont,13,West,0.462423,0.068652,0.074231,0.001481,0.002843,0.014586
Alabama,6,West,0.539192,0.234819,0.097363,0.003216,0.003068,0.014591
Notre Dame,11,West,0.460808,0.31044,0.127729,0.012702,0.001288,0.014583
Texas Tech,3,West,0.888953,0.380509,0.140986,0.004498,0.003594,0.01458
Montana State,14,West,0.111047,0.074232,0.074348,0.000873,0.004075,0.014581
Michigan State,7,West,0.464129,0.246382,0.111364,0.025804,0.002842,0.014579
Davidson,10,West,0.535871,0.304937,0.141817,0.010885,0.003776,0.014586
Duke,2,West,0.922551,0.382039,0.234244,0.422808,0.010386,0.014692
Cal State Fullerton,15,West,0.077449,0.066642,0.072149,0.011537,0.002801,0.014579
Kansas,1,Midwest,0.912235,0.603511,0.27502,0.50327,0.475291,0.02978
Texas Southern,16,Midwest,0.087765,0.072747,0.071156,0.015063,0.003371,0.014579
San Diego State,8,Midwest,0.232004,0.214685,0.092594,0.020286,0.005061,0.014758
Creighton,9,Midwest,0.767996,0.109057,0.102684,0.019602,0.004108,0.014584
Iowa,5,Midwest,0.656341,0.245395,0.205777,0.070293,0.00709,0.014586
Richmond,12,Midwest,0.343659,0.139221,0.087726,0.018661,0.001795,0.014597
Providence,4,Midwest,0.498964,0.545117,0.094104,0.025286,0.007916,0.014587
South Dakota State,13,Midwest,0.501037,0.070267,0.070938,0.014825,0.007854,0.014581
LSU,6,Midwest,0.627823,0.21349,0.102218,0.020055,0.005853,0.014579
Iowa State,11,Midwest,0.372177,0.260223,0.096625,0.020772,0.005712,0.014589
Wisconsin,3,Midwest,0.855954,0.347082,0.159912,0.035648,0.029511,0.014592
Colgate,14,Midwest,0.144046,0.179205,0.074448,0.017917,0.006699,0.014589
USC,7,Midwest,0.746109,0.42658,0.125398,0.077761,0.005435,0.014595
Miami FL,10,Midwest,0.253891,0.286397,0.167125,0.059591,0.002624,0.014589
Auburn,2,Midwest,0.902432,0.239828,0.199088,0.06075,0.035994,0.014892
Jacksonville State,15,Midwest,0.097568,0.047195,0.075186,0.02022,0.006322,0.0146
Arizona,1,South,0.85894,0.622864,0.233252,0.221109,0.211911,0.026294
Wright State,16,South,0.14106,0.065234,0.070645,0.0016,0.013502,0.01458
Seton Hall,8,South,0.358302,0.182807,0.086707,0.0027,0.005704,0.014579
TCU,9,South,0.641698,0.129095,0.079753,0.001617,0.00604,0.014581
Houston,5,South,0.784687,0.378241,0.266698,0.199822,0.039758,0.014671
UAB,12,South,0.215313,0.228098,0.082504,0.004697,0.00592,0.014597
Illinois,4,South,0.749089,0.377707,0.105827,0.043694,0.00828,0.014593
Chattanooga,13,South,0.250911,0.015954,0.074614,0.002864,0.008146,0.014579
Colorado State,6,South,0.356688,0.126987,0.061584,0.06166,0.023989,0.014581
Michigan,11,South,0.643312,0.376959,0.218473,0.014273,0.003658,0.014579
Tennessee,3,South,0.894739,0.418124,0.30254,0.161077,0.021302,0.014615
Longwood,14,South,0.105261,0.07793,0.005508,0.004059,0.005452,0.014582
Ohio State,7,South,0.383666,0.117657,0.095841,0.03613,0.013229,0.014579
Loyola Chicago,10,South,0.616334,0.405136,0.114672,0.011643,0.009495,0.014579
Villanova,2,South,0.858089,0.368435,0.176851,0.227004,0.007748,0.014618
Delaware,15,South,0.141911,0.108772,0.024532,0.006052,0.005229,0.014579
