Team,Seed,Region,R32,S16,E8,F4,NCG,Winner
Connecticut,1,West,0.92902,0.548053,0.302625,0.339801,0.502834,0.021033
Stetson,16,West,0.07098,0.134202,0.009117,0.016985,0.002235,0.014586
Florida Atlantic,8,West,0.230693,0.118504,0.072739,0.038258,0.012782,0.014582
Northwestern,9,West,0.769307,0.199241,0.070283,0.020367,0.00325,0.014588
San Diego State,5,West,0.892069,0.302322,0.169254,0.020448,0.013141,0.014579
UAB,12,West,0.107931,0.070144,0.018026,0.02059,0.00281,0.014579
Auburn,4,West,0.908899,0.526072,0.352609,0.222695,0.11445,0.015849
Yale,13,West,0.091101,0.101462,0.005346,0.014936,0.002933,0.014581
BYU,6,West,0.624923,0.082248,0.071376,0.014971,0.005252,0.014579
Duquesne,11,West,0.375077,0.173705,0.085862,0.021586,0.001582,0.014585
Illinois,3,West,0.682254,0.672493,0.161424,0.028551,0.005266,0.014578
Morehead State,14,West,0.317746,0.071554,0.072174,0.017938,0.001834,0.014579
Washington State,7,West,0.625525,0.221897,0.078829,0.040602,0.0159,0.014579
Drake,10,West,0.374475,0.164576,0.153554,0.062535,0.002426,0.014579
Iowa State,2,West,0.919011,0.545945,0.303822,0.105135,0.012104,0.014585
South Dakota State,15,West,0.080989,0.067582,0.072959,0.014602,0.001772,0.01458
North Carolina,1,East,0.923211,0.551824,0.223188,0.316327,0.187415,0.015136
Wagner,16,East,0.076789,0.141599,0.081351,0.017616,0.001501,0.014581
Mississippi State,8,East,0.519288,0.123624,0.125723,0.024831,0.010011,0.014583
Michigan State,9,East,0.480712,0.182953,0.198795,0.060263,0.006262,0.014589
Saint Mary's,5,East,0.801195,0.485706,0.115374,0.03325,0.012265,0.014579
Grand Canyon,12,East,0.198805,0.00893,0.072615,0.017815,0.002119,0.014712
Alabama,4,East,0.858794,0.485525,0.102953,0.032267,0.008273,0.014583
Charleston,13,East,0.141206,0.019839,0.080002,0.033435,0.0043,0.01458
Clemson,6,East,0.471362,0.464418,0.088948,0.018891,0.005434,0.014578
New Mexico,11,East,0.528638,0.172817,0.160072,0.039574,0.003716,0.014578
Baylor,3,East,0.81138,0.354645,0.173094,0.028911,0.012994,0.014593
Colgate,14,East,0.18862,0.00812,0.06811,0.01539,0.002719,0.01458
Dayton,7,East,0.452088,0.16016,0.110905,0.062387,0.01339,0.014589
Nevada,10,East,0.547912,0.084189,0.126738,0.02867,0.002969,0.01458
Arizona,2,East,0.935783,0.684337,0.202533,0.255036,0.023825,0.022047
Long Beach State,15,East,0.064217,0.071314,0.0696,0.015337,0.002236,0.014586
Purdue,1,Midwest,0.892112,0.637292,0.261772,0.556044,0.385278,0.025499
Grambling,16,Midwest,0.107888,0.070533,0.069702,0.014963,0.001608,0.014579
Utah State,8,Midwest,0.206489,0.216801,0.110684,0.065913,0.004568,0.014579
TCU,9,Midwest,0.793511,0.075374,0.07932,0.014534,0.002182,0.014578
Gonzaga,5,Midwest,0.784787,0.563984,0.211169,0.022927,0.004336,0.014579
McNeese State,12,Midwest,0.215213,0.068872,0.069317,0.017261,0.002415,0.01458
Kansas,4,Midwest,0.567313,0.362308,0.125982,0.032838,0.011705,0.014582
Samford,13,Midwest,0.432687,0.004836,0.072054,0.015718,0.003307,0.014594
South Carolina,6,Midwest,0.691725,0.161802,0.093696,0.041536,0.017346,0.014579
Oregon,11,Midwest,0.308275,0.307485,0.17592,0.019859,0.005516,0.014963
Creighton,3,Midwest,0.847678,0.43931,0.172454,0.037411,0.017488,0.02453
Akron,14,Midwest,0.152322,0.091403,0.071725,0.016558,0.001703,0.014578
Texas,7,Midwest,0.444763,0.53103,0.083297,0.024329,0.01023,0.014579
Colorado State,10,Midwest,0.555237,0.11111,0.082796,0.030906,0.00295,0.01458
Tennessee,2,Midwest,0.83143,0.353841,0.253184,0.073224,0.111565,0.02452
Saint Peter's,15,Midwest,0.16857,0.004019,0.066927,0.015979,0.0016,0.014578
Houston,1,South,0.896994,0.572738,0.369197,0.321163,0.34707,0.034253
Longwood,16,South,0.103006,0.068794,0.00776,0.014886,0.001395,0.014579
Nebraska,8,South,0.514265,0.27997,0.034522,0.018763,0.003313,0.01458
Texas A&M,9,South,0.485735,0.078498,0.07177,0.024241,0.002089,0.014579
Wisconsin,5,South,0.553271,0.39505,0.128057,0.023901,0.009002,0.014582
James Madison,12,South,0.446729,0.082717,0.015026,0.015032,0.004737,0.014608
Duke,4,South,0.683565,0.458452,0.370455,0.078415,0.01344,0.014599
Vermont,13,South,0.316435,0.063781,0.003213,0.016002,0.001073,0.014578
Texas Tech,6,South,0.529799,0.191863,0.103928,0.033972,0.005736,0.014599
North Carolina State,11,South,0.470202,0.203757,0.306925,0.231647,0.002351,0.014586
Kentucky,3,South,0.777151,0.413558,0.172569,0.019083,0.003181,0.014594
Oakland,14,South,0.222849,0.190822,0.00644,0.015699,0.006532,0.014579
Florida,7,South,0.254714,0.383854,0.067686,0.029216,0.006089,0.014579
Colorado,10,South,0.745286,0.180754,0.046263,0.038174,0.001763,0.014578
Marquette,2,South,0.784933,0.372403,0.293642,0.105796,0.007336,0.014579
Western Kentucky,15,South,0.215067,0.062989,0.002547,0.014009,0.001097,0.014579
