Team,Seed,Region,R32,S16,E8,F4,NCG,Winner
Michigan,1,East,0.932323,0.387946,0.177149,0.32485,0.374398,0.035201
Texas Southern,16,East,0.067677,0.022294,0.069384,0.014523,0.001553,0.014578
LSU,8,East,0.188019,0.200386,0.107051,0.019304,0.001418,0.014596
Saint Bonaventure,9,East,0.811981,0.389374,0.159832,0.083604,0.003543,0.014639
Colorado,5,East,0.903792,0.433096,0.165616,0.063724,0.004499,0.014579
Georgetown,12,East,0.096208,0.085048,0.070069,0.016483,0.00242,0.014596
Florida State,4,East,0.886255,0.372305,0.178718,0.02631,0.002751,0.01463
UNC Greensboro,13,East,0.113745,0.10955,0.07218,0.016152,0.001554,0.014582
BYU,6,East,0.371047,0.36291,0.090982,0.021231,0.00318,0.014582
UCLA,11,East,0.628953,0.12127,0.191517,0.015474,0.001134,0.014579
Texas,3,East,0.890635,0.43052,0.225382,0.269614,0.053167,0.014762
Abilene Christian,14,East,0.109365,0.0853,0.022036,0.022223,0.002087,0.01458
Connecticut,7,East,0.398523,0.447791,0.301634,0.029625,0.003118,0.01459
Maryland,10,East,0.601477,0.145256,0.010849,0.016976,0.001152,0.014579
Alabama,2,East,0.945661,0.392584,0.14325,0.044557,0.013754,0.014579
Iona,15,East,0.054339,0.014368,0.014351,0.01535,0.00194,0.014602
Gonzaga,1,West,0.937958,0.548648,0.220997,0.277773,0.373649,0.017073
Norfolk State,16,West,0.062042,0.062553,0.069115,0.014513,0.001401,0.014583
Oklahoma,8,West,0.508393,0.283082,0.103199,0.049925,0.004285,0.01458
Missouri,9,West,0.491607,0.105717,0.109108,0.024751,0.002581,0.014598
Creighton,5,West,0.800035,0.445305,0.131807,0.030834,0.006188,0.015025
UC Santa Barbara,12,West,0.199965,0.098338,0.071589,0.015648,0.001415,0.014597
Virginia,4,West,0.827937,0.431308,0.218878,0.099929,0.013358,0.015169
Ohio,13,West,0.172063,0.025049,0.075307,0.015103,0.002106,0.014593
USC,6,West,0.510579,0.429359,0.178069,0.025151,0.001239,0.014581
Drake,11,West,0.489421,0.138425,0.18243,0.03596,0.004549,0.014587
Kansas,3,West,0.929769,0.429085,0.145216,0.049513,0.006783,0.014581
Eastern Washington,14,West,0.070231,0.003131,0.068715,0.014451,0.002388,0.014581
Oregon,7,West,0.846716,0.380483,0.09704,0.02891,0.000985,0.014579
VCU,10,West,0.153284,0.119907,0.101797,0.015921,0.002506,0.014623
Iowa,2,West,0.918153,0.378146,0.142497,0.282133,0.101246,0.016875
Grand Canyon,15,West,0.081847,0.121464,0.084236,0.019486,0.003653,0.014579
Illinois,1,Midwest,0.918304,0.419985,0.216231,0.26981,0.305772,0.029974
Drexel,16,Midwest,0.081696,0.072982,0.082073,0.021811,0.001888,0.014611
Loyola Chicago,8,Midwest,0.53259,0.348917,0.149971,0.140686,0.023512,0.014583
Georgia Tech,9,Midwest,0.46741,0.158116,0.142373,0.034397,0.011357,0.014606
Tennessee,5,Midwest,0.898684,0.625549,0.136936,0.019909,0.001617,0.014582
Oregon State,12,Midwest,0.101316,0.150481,0.067606,0.014412,0.001298,0.014579
Oklahoma State,4,Midwest,0.712969,0.159417,0.131663,0.015605,0.006386,0.014592
Liberty,13,Midwest,0.287031,0.064553,0.073147,0.016442,0.002301,0.01458
San Diego State,6,Midwest,0.694239,0.210238,0.066244,0.039005,0.104909,0.014755
Syracuse,11,Midwest,0.305761,0.226521,0.129229,0.017298,0.00094,0.014579
West Virginia,3,Midwest,0.883498,0.440145,0.261346,0.124383,0.127508,0.014657
Morehead State,14,Midwest,0.116502,0.123095,0.015153,0.015635,0.001995,0.014583
Clemson,7,Midwest,0.209597,0.251109,0.197578,0.025821,0.002968,0.014589
Rutgers,10,Midwest,0.790403,0.117355,0.07947,0.020752,0.011255,0.014652
Houston,2,Midwest,0.909652,0.561466,0.23579,0.207998,0.026746,0.014584
Cleveland State,15,Midwest,0.090348,0.07007,0.01519,0.016037,0.007784,0.014838
Baylor,1,South,0.921028,0.378112,0.220803,0.312506,0.30434,0.038144
Hartford,16,South,0.078972,0.089328,0.085736,0.014901,0.001079,0.014747
North Carolina,8,South,0.442578,0.186257,0.126411,0.019112,0.004773,0.014579
Wisconsin,9,South,0.557422,0.346302,0.112528,0.030329,0.003327,0.01458
Villanova,5,South,0.807231,0.569631,0.157461,0.044992,0.002133,0.014581
Winthrop,12,South,0.192769,0.012455,0.070457,0.014281,0.00164,0.01459
Purdue,4,South,0.877079,0.396249,0.149572,0.022689,0.005856,0.014594
North Texas,13,South,0.122921,0.021665,0.077031,0.017417,0.001556,0.01459
Texas Tech,6,South,0.851693,0.288489,0.023011,0.020487,0.003005,0.014579
Utah State,11,South,0.148307,0.207393,0.180088,0.020824,0.002825,0.01458
Arkansas,3,South,0.915987,0.428216,0.238001,0.082472,0.012484,0.01458
Colgate,14,South,0.084013,0.075902,0.010491,0.01469,0.002077,0.014585
Florida,7,South,0.360524,0.431133,0.223316,0.111803,0.005924,0.0146
Virginia Tech,10,South,0.639476,0.086235,0.08245,0.034126,0.002546,0.014615
Ohio State,2,South,0.934056,0.404783,0.227353,0.222858,0.007109,0.014669
Oral Roberts,15,South,0.065944,0.077849,0.015291,0.016514,0.001089,0.01458
